"MeanDecreaseGini","Feature","Iteration"
0,"PTX3",1
0,"TNFSF10",1
0,"CCL19",1
0.684671532846715,"ITGAM",1
4.1036496350365,"IL10",1
0,"ELANE",1
0,"PDCD1",1
0,"LBP",1
0,"IFNG",1
0,"ICAM1",1
0.565748638628201,"C5AR1",1
0,"PLAUR",1
0.683637109593369,"LCN2",1
0,"TREM1",1
4.7778102189781,"SOCS3",1
0,"CCR2",1
2.01223481667277,"S100A9",1
0.645782643957827,"C3AR1",1
4.07910698187793,"MMP8",1
0,"IFNA2",1
0,"CD177",1
0,"CALCA",1
0.0197368421052631,"CCR2.1",1
4.04750443874532,"CCR7",1
0,"VCAM1",1
2.03398141198538,"BCL2",1
0.0197402597402598,"MYD88",1
0,"TNF",1
2.85989904810689,"MMP9",1
0,"CX3CR1",1
7.49234957585323,"S100A8",1
0,"CCL25",1
0,"NOTCH1",1
0,"IL6",1
0,"IFNB1",1
4.844099590041,"S100A12",1
0,"IL1B",1
0,"CCL2",1
0,"TLR2",1
0,"NLRP3",1
0,"HMGB1",1
0.591812818718128,"OLFM4",1
0.0389189189189189,"CALCA.1",1
4.19244543287607,"MAPK14",1
0,"CXCL10",1
0.0388888888888889,"P2RX7",1
0,"CRP",1
0,"HIF1A",1
0.659095274683058,"IL1R2",1
0.433752107369908,"TLR4",1
0,"TLR4.1",1
0,"IL8",1
2.69693430656934,"HLA.DRA",1
0,"TNFSF10.1",1
0,"HIF1A.1",1
6.92949489051095,"CD177.1",1
0,"IL8.1",1
0,"P2RX7.1",1
0,"NLRP3.1",1
0,"CD14",1
0,"CCL25.1",1
0,"CRP.1",1
0,"CALCA.2",1
0,"TREM1.1",1
1.34904081422844,"ARG1",1
0,"CXCL10.1",1
1.3493496023532,"ARG1.1",1
3.3593550149428,"BCL2.1",1
5.40321167883212,"GATA3",1
0,"NOTCH1.1",1
0,"CCL19.1",1
2.0737329083993,"S100A12.1",1
0,"IL6.1",1
0,"PTX3",2
0,"TNFSF10",2
1.23048687438948,"CCL19",2
1.25264848862336,"ITGAM",2
3.39649635036496,"IL10",2
0,"ELANE",2
0,"PDCD1",2
0,"LBP",2
0,"IFNG",2
0.414140930853151,"ICAM1",2
0.510656965796086,"C5AR1",2
0,"PLAUR",2
0,"LCN2",2
0,"TREM1",2
1.64297910831306,"SOCS3",2
0,"CCR2",2
4.69249459625037,"S100A9",2
1.36408759124088,"C3AR1",2
0.684963503649635,"MMP8",2
0,"IFNA2",2
3.38861313868613,"CD177",2
0,"CALCA",2
0,"CCR2.1",2
4.80852392538524,"CCR7",2
0,"VCAM1",2
4.12285071595548,"BCL2",2
0,"MYD88",2
0,"TNF",2
2.73401459854015,"MMP9",2
0.541738199513382,"CX3CR1",2
4.23811581508516,"S100A8",2
0,"CCL25",2
0,"NOTCH1",2
0,"IL6",2
0.0197222222222223,"IFNB1",2
1.47574157071967,"S100A12",2
0,"IL1B",2
0.0573913043478261,"CCL2",2
0,"TLR2",2
0.0197058823529412,"NLRP3",2
0,"HMGB1",2
1.8619545590853,"OLFM4",2
0,"CALCA.1",2
2.85691484184915,"MAPK14",2
0,"CXCL10",2
0,"P2RX7",2
0,"CRP",2
0,"HIF1A",2
1.97257167616397,"IL1R2",2
0.42373947609568,"TLR4",2
0,"TLR4.1",2
0,"IL8",2
2.72407900386432,"HLA.DRA",2
0,"TNFSF10.1",2
0,"HIF1A.1",2
4.84949130801206,"CD177.1",2
0,"IL8.1",2
0,"P2RX7.1",2
0,"NLRP3.1",2
0,"CD14",2
0.0197142857142858,"CCL25.1",2
0,"CRP.1",2
0,"CALCA.2",2
0.0197260273972603,"TREM1.1",2
2.97218807704815,"ARG1",2
0,"CXCL10.1",2
1.37919789398109,"ARG1.1",2
2.7746015569814,"BCL2.1",2
6.15670888558074,"GATA3",2
0,"NOTCH1.1",2
0,"CCL19.1",2
3.43169683031697,"S100A12.1",2
0,"IL6.1",2
0.0587995797215656,"PTX3",3
0,"TNFSF10",3
1.11079519902435,"CCL19",3
1.98100673049578,"ITGAM",3
4.04857177615572,"IL10",3
0,"ELANE",3
0,"PDCD1",3
0,"LBP",3
0,"IFNG",3
0,"ICAM1",3
0,"C5AR1",3
0,"PLAUR",3
1.26265626310932,"LCN2",3
0,"TREM1",3
2.73051094890511,"SOCS3",3
0,"CCR2",3
2.01160992205864,"S100A9",3
0.678832116788321,"C3AR1",3
4.70249653352957,"MMP8",3
0,"IFNA2",3
0.952566098945661,"CD177",3
0.0197297297297297,"CALCA",3
0,"CCR2.1",3
1.91729094219779,"CCR7",3
0,"VCAM1",3
3.29717705478617,"BCL2",3
0,"MYD88",3
0,"TNF",3
1.99760697249748,"MMP9",3
0,"CX3CR1",3
8.11328467153285,"S100A8",3
0,"CCL25",3
0,"NOTCH1",3
0.0390000000000001,"IL6",3
0,"IFNB1",3
2.71737226277372,"S100A12",3
0,"IL1B",3
0.40626601784266,"CCL2",3
0,"TLR2",3
0,"NLRP3",3
0,"HMGB1",3
0.668905109489051,"OLFM4",3
0,"CALCA.1",3
2.79074161847884,"MAPK14",3
0,"CXCL10",3
0,"P2RX7",3
0.0196969696969697,"CRP",3
0,"HIF1A",3
1.27224421929991,"IL1R2",3
0,"TLR4",3
0,"TLR4.1",3
0,"IL8",3
4.13588388287608,"HLA.DRA",3
0.0196774193548387,"TNFSF10.1",3
0.399446262270325,"HIF1A.1",3
2.0414598540146,"CD177.1",3
0.0388571428571429,"IL8.1",3
0,"P2RX7.1",3
0,"NLRP3.1",3
0,"CD14",3
0.0197435897435898,"CCL25.1",3
0,"CRP.1",3
0,"CALCA.2",3
0,"TREM1.1",3
4.18113419427288,"ARG1",3
0,"CXCL10.1",3
2.07112712105413,"ARG1.1",3
5.44759124087591,"BCL2.1",3
2.10466506120062,"GATA3",3
0,"NOTCH1.1",3
0,"CCL19.1",3
4.50996882288783,"S100A12.1",3
0,"IL6.1",3
0,"PTX3",4
0,"TNFSF10",4
0.0388888888888889,"CCL19",4
0,"ITGAM",4
6.76350364963504,"IL10",4
0.0387301587301587,"ELANE",4
0,"PDCD1",4
0,"LBP",4
0,"IFNG",4
0,"ICAM1",4
0,"C5AR1",4
0,"PLAUR",4
0.0752238805970149,"LCN2",4
0,"TREM1",4
4.73343065693431,"SOCS3",4
0,"CCR2",4
2.9637311340751,"S100A9",4
3.41197080291971,"C3AR1",4
0.0197333333333333,"MMP8",4
0.0388235294117646,"IFNA2",4
2.04657145879615,"CD177",4
0,"CALCA",4
0,"CCR2.1",4
2.03021085391461,"CCR7",4
0,"VCAM1",4
2.0141543274244,"BCL2",4
0.0389473684210526,"MYD88",4
0,"TNF",4
2.6459832857294,"MMP9",4
0,"CX3CR1",4
6.79153284671533,"S100A8",4
0,"CCL25",4
0,"NOTCH1",4
0,"IL6",4
0,"IFNB1",4
4.7021897810219,"S100A12",4
0,"IL1B",4
0,"CCL2",4
0,"TLR2",4
0,"NLRP3",4
0,"HMGB1",4
0.661507018528916,"OLFM4",4
0.0389041095890411,"CALCA.1",4
5.43065693430657,"MAPK14",4
0,"CXCL10",4
0,"P2RX7",4
0,"CRP",4
0,"HIF1A",4
0.683211678832117,"IL1R2",4
0.0197499999999999,"TLR4",4
0,"TLR4.1",4
0,"IL8",4
4.14726661544372,"HLA.DRA",4
0,"TNFSF10.1",4
0,"HIF1A.1",4
5.42832116788321,"CD177.1",4
0,"IL8.1",4
0,"P2RX7.1",4
0,"NLRP3.1",4
0,"CD14",4
0,"CCL25.1",4
0,"CRP.1",4
0,"CALCA.2",4
0,"TREM1.1",4
0.0197142857142858,"ARG1",4
0.375709233200391,"CXCL10.1",4
1.8906228859544,"ARG1.1",4
5.24040803651464,"BCL2.1",4
2.0414598540146,"GATA3",4
0,"NOTCH1.1",4
0.0387692307692308,"CCL19.1",4
3.3778102189781,"S100A12.1",4
0,"IL6.1",4
0,"PTX3",5
0,"TNFSF10",5
0,"CCL19",5
1.91345781503488,"ITGAM",5
4.09794048287479,"IL10",5
0.552770847915209,"ELANE",5
0,"PDCD1",5
0,"LBP",5
0.436379089853818,"IFNG",5
0,"ICAM1",5
0,"C5AR1",5
0,"PLAUR",5
0.772306943250764,"LCN2",5
0,"TREM1",5
3.27868110879746,"SOCS3",5
0,"CCR2",5
2.73574817518248,"S100A9",5
1.96365369018654,"C3AR1",5
4.02726922569181,"MMP8",5
0,"IFNA2",5
1.36379562043796,"CD177",5
0,"CALCA",5
0,"CCR2.1",5
2.64392256426531,"CCR7",5
0,"VCAM1",5
0.612452838868106,"BCL2",5
0,"MYD88",5
0.0197222222222223,"TNF",5
3.74867046741201,"MMP9",5
0.966382190748104,"CX3CR1",5
6.0978102189781,"S100A8",5
0,"CCL25",5
0,"NOTCH1",5
0.0389041095890411,"IL6",5
0,"IFNB1",5
4.10442763040769,"S100A12",5
0,"IL1B",5
0,"CCL2",5
0,"TLR2",5
0,"NLRP3",5
0.439643146796432,"HMGB1",5
0.625611678832117,"OLFM4",5
0,"CALCA.1",5
2.79219854014599,"MAPK14",5
0,"CXCL10",5
0.0197260273972603,"P2RX7",5
0.0197260273972603,"CRP",5
0,"HIF1A",5
0.205714285714286,"IL1R2",5
0.0197058823529412,"TLR4",5
0,"TLR4.1",5
0,"IL8",5
7.47284456848433,"HLA.DRA",5
0.0197222222222223,"TNFSF10.1",5
0,"HIF1A.1",5
4.40639730881865,"CD177.1",5
0,"IL8.1",5
0,"P2RX7.1",5
