"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.941421356237309,0.971428571428571,1,0.95,1,1,0.933333333333333
"CCR2.1",0.955319504686453,0.978888888888889,1,0.965,0.995,0.998,0.953333333333333
"IL10",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"HIF1A",0.947279220613579,0.974285714285714,1,0.955,1,1,0.94
"IFNB1",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"ITGAM",0.96278174593052,0.980952380952381,1,0.9675,1,1,0.958333333333333
"TREM1",0.964852813742386,0.982857142857143,1,0.97,1,1,0.96
"IFNA1",0.928492424049175,0.963333333333333,1,0.9375,1,1,0.92
"HLA.DRA",0.95778174593052,0.977619047619048,1,0.9625,1,1,0.953333333333333
"C5AR1",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"PLAUR",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"LCN2",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"NLRP3",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"IFNA2",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"IL6",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"BCL2",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"CALCA",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
"TLR4",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"ELANE",0.964852813742386,0.982857142857143,1,0.97,1,1,0.96
"NLRP3.1",0.96778174593052,0.984285714285714,1,0.9725,1,1,0.963333333333333
"CCR7",0.958994949366117,0.98,1,0.965,1,1,0.953333333333333
"CCL2",0.971679894379664,0.985079365079365,1,0.9775,0.995,0.998,0.973333333333333
"MAPK14",0.96778174593052,0.984285714285714,1,0.9725,1,1,0.963333333333333
"TNF",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"NOTCH1",0.973639610306789,0.987142857142857,1,0.9775,1,1,0.97
"S100A8",0.948994949366117,0.973333333333333,1,0.955,1,1,0.943333333333333
"LBP",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"MAPK14.1",0.932634559672906,0.967142857142857,1,0.9425,1,1,0.923333333333333
"CCL25",0.970710678118655,0.985714285714286,1,0.975,1,1,0.966666666666667
"MYD88",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"CD14",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"CX3CR1",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"S100A12",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"S100A9",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"OLFM4",0.96278174593052,0.980952380952381,1,0.9675,1,1,0.958333333333333
"IL1R2",0.927634559672906,0.963809523809524,1,0.9375,1,1,0.918333333333333
"P2RX7",0.93556349186104,0.968571428571429,1,0.945,1,1,0.926666666666667
"HIF1A.1",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"VCAM1",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"CCL19",0.958994949366117,0.98,1,0.965,1,1,0.953333333333333
"CCR2.2",0.968639610306789,0.983809523809524,1,0.9725,1,1,0.965
"IL1R2.1",0.958248436874588,0.98031746031746,1,0.9675,0.995,0.998,0.956666666666667
"TLR2",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"CD177",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"IL1B",0.95278174593052,0.974285714285714,1,0.9575,1,1,0.948333333333333
"CCR2.3",0.941421356237309,0.971428571428571,1,0.95,1,1,0.933333333333333
"CCR2.4",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"CRP",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"SOCS3",0.946066017177982,0.971904761904762,1,0.9525,1,1,0.94
"CCL25.1",0.947390572498319,0.974126984126984,1,0.9575,0.995,0.998,0.945
"C3AR1",0.948994949366117,0.973333333333333,1,0.955,1,1,0.943333333333333
"MAPK14.2",0.947279220613579,0.974285714285714,1,0.955,1,1,0.94
"HMGB1",0.96778174593052,0.984285714285714,1,0.9725,1,1,0.963333333333333
"CXCL10",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"MMP9",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"BCL2.1",0.970710678118655,0.985714285714286,1,0.975,1,1,0.966666666666667
"TNFSF10",0.961177369062722,0.981746031746032,1,0.97,0.995,0.998,0.96
"PDCD1",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"CALCA.1",0.938492424049175,0.97,1,0.9475,1,1,0.93
"ICAM1",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"ARG1",0.933492424049175,0.966666666666667,1,0.9425,1,1,0.925
"IL10.1",0.940208152801713,0.969047619047619,1,0.9475,1,1,0.933333333333333
"CX3CR1.1",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
"OLFM4.1",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"HLA.DRA.1",0.936421356237309,0.968095238095238,1,0.945,1,1,0.928333333333333
"FCGR1A",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"IL8",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
