"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.93,0.958,1,0.93,1,1,0.93
"CCR2.1",0.927415816237972,0.955,1,0.926666666666667,1,1,0.928333333333333
"IL10",0.904831632475944,0.94,1,0.903333333333333,1,1,0.906666666666667
"HIF1A",0.931498299142611,0.956,1,0.93,1,1,0.933333333333333
"IFNB1",0.892247448713916,0.931,1,0.89,1,1,0.895
"ITGAM",0.917415816237972,0.949,1,0.916666666666667,1,1,0.918333333333333
"TREM1",0.910749149571305,0.945,1,0.91,1,1,0.911666666666667
"IFNA1",0.909663264951888,0.94,1,0.906666666666667,1,1,0.913333333333333
"HLA.DRA",0.926666666666667,0.956,1,0.926666666666667,1,1,0.926666666666667
"C5AR1",0.902996598285221,0.936,1,0.9,1,1,0.906666666666667
"PLAUR",0.934082482904639,0.959,1,0.933333333333333,1,1,0.935
"LCN2",0.913333333333333,0.948,1,0.913333333333333,1,1,0.913333333333333
"NLRP3",0.91,0.946,1,0.91,1,1,0.91
"IFNA2",0.92,0.952,1,0.92,1,1,0.92
"IL6",0.930749149571305,0.957,1,0.93,1,1,0.931666666666667
"BCL2",0.913333333333333,0.948,1,0.913333333333333,1,1,0.913333333333333
"CALCA",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"TLR4",0.91353954059493,0.947571428571429,1,0.916666666666667,0.995,0.9975,0.918333333333333
"ELANE",0.934082482904639,0.959,1,0.933333333333333,1,1,0.935
"NLRP3.1",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"CCR7",0.926666666666667,0.956,1,0.926666666666667,1,1,0.926666666666667
"CCL2",0.926666666666667,0.956,1,0.926666666666667,1,1,0.926666666666667
"MAPK14",0.934082482904639,0.959,1,0.933333333333333,1,1,0.935
"TNF",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"NOTCH1",0.924082482904639,0.953,1,0.923333333333333,1,1,0.925
"S100A8",0.906329931618554,0.938,1,0.903333333333333,1,1,0.91
"LBP",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"MAPK14.1",0.927415816237972,0.955,1,0.926666666666667,1,1,0.928333333333333
"CCL25",0.904831632475944,0.94,1,0.903333333333333,1,1,0.906666666666667
"MYD88",0.943333333333333,0.966,1,0.943333333333333,1,1,0.943333333333333
"CD14",0.935580782047249,0.957,1,0.933333333333333,1,1,0.938333333333333
"CX3CR1",0.914082482904639,0.947,1,0.913333333333333,1,1,0.915
"S100A12",0.926666666666667,0.956,1,0.926666666666667,1,1,0.926666666666667
"S100A9",0.933333333333333,0.96,1,0.933333333333333,1,1,0.933333333333333
"OLFM4",0.893333333333333,0.936,1,0.893333333333333,1,1,0.893333333333333
"IL1R2",0.915580782047249,0.945,1,0.913333333333333,1,1,0.918333333333333
"P2RX7",0.916666666666667,0.95,1,0.916666666666667,1,1,0.916666666666667
"HIF1A.1",0.917415816237972,0.949,1,0.916666666666667,1,1,0.918333333333333
"VCAM1",0.934082482904639,0.959,1,0.933333333333333,1,1,0.935
"CCL19",0.91,0.946,1,0.91,1,1,0.91
"CCR2.2",0.930749149571305,0.957,1,0.93,1,1,0.931666666666667
"IL1R2.1",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"TLR2",0.93,0.958,1,0.93,1,1,0.93
"CD177",0.910749149571305,0.945,1,0.91,1,1,0.911666666666667
"IL1B",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"CCR2.3",0.944082482904639,0.965,1,0.943333333333333,1,1,0.945
"CCR2.4",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"CRP",0.890749149571305,0.933,1,0.89,1,1,0.891666666666667
"SOCS3",0.914082482904639,0.947,1,0.913333333333333,1,1,0.915
"CCL25.1",0.917415816237972,0.949,1,0.916666666666667,1,1,0.918333333333333
"C3AR1",0.918164965809277,0.948,1,0.916666666666667,1,1,0.92
"MAPK14.2",0.94,0.964,1,0.94,1,1,0.94
"HMGB1",0.917415816237972,0.949,1,0.916666666666667,1,1,0.918333333333333
"CXCL10",0.953333333333333,0.972,1,0.953333333333333,1,1,0.953333333333333
"MMP9",0.936666666666667,0.962,1,0.936666666666667,1,1,0.936666666666667
"BCL2.1",0.924082482904639,0.953,1,0.923333333333333,1,1,0.925
"TNFSF10",0.936666666666667,0.962,1,0.936666666666667,1,1,0.936666666666667
"PDCD1",0.880749149571305,0.927,1,0.88,1,1,0.881666666666667
"CALCA.1",0.918164965809277,0.948,1,0.916666666666667,1,1,0.92
"ICAM1",0.934831632475944,0.958,1,0.933333333333333,1,1,0.936666666666667
"ARG1",0.933333333333333,0.96,1,0.933333333333333,1,1,0.933333333333333
"IL10.1",0.910749149571305,0.945,1,0.91,1,1,0.911666666666667
"CX3CR1.1",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"OLFM4.1",0.92,0.952,1,0.92,1,1,0.92
"HLA.DRA.1",0.91,0.946,1,0.91,1,1,0.91
"FCGR1A",0.924082482904639,0.953,1,0.923333333333333,1,1,0.925
"IL8",0.928164965809277,0.954,1,0.926666666666667,1,1,0.93
"IFNG",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
"BCL2.2",0.89,0.934,1,0.89,1,1,0.89
"IL1R2.2",0.93,0.958,1,0.93,1,1,0.93
"CCR2.5",0.937415816237972,0.961,1,0.936666666666667,1,1,0.938333333333333
"VCAM1.1",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
"VCAM1.2",0.906666666666667,0.944,1,0.906666666666667,1,1,0.906666666666667
"CALCA.2",0.904831632475944,0.94,1,0.903333333333333,1,1,0.906666666666667
"BCL2.3",0.933333333333333,0.96,1,0.933333333333333,1,1,0.933333333333333
"PLAUR.1",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"CCR2.6",0.912247448713916,0.943,1,0.91,1,1,0.915
