"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
