"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"CCR2.1",0.950208152801713,0.975714285714286,0.99875,0.9575,1,1,0.943333333333333
"IL10",0.946066017177982,0.971904761904762,0.99875,0.9525,1,1,0.94
"HIF1A",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"IFNB1",0.93556349186104,0.968571428571429,1,0.945,1,1,0.926666666666667
"ITGAM",0.948994949366117,0.973333333333333,0.99875,0.955,1,1,0.943333333333333
"TREM1",0.918847763108502,0.95952380952381,0.99875,0.93,1,1,0.908333333333333
"IFNA1",0.942279220613579,0.970952380952381,0.99875,0.95,1,1,0.935
"HLA.DRA",0.936421356237309,0.968095238095238,1,0.945,1,1,0.928333333333333
"C5AR1",0.918847763108502,0.95952380952381,0.999375,0.93,1,1,0.908333333333333
"PLAUR",0.964852813742386,0.982857142857143,0.99875,0.97,1,1,0.96
"LCN2",0.923847763108502,0.962857142857143,0.99875,0.935,1,1,0.913333333333333
"NLRP3",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"IFNA2",0.947279220613579,0.974285714285714,1,0.955,1,1,0.94
"IL6",0.937279220613579,0.967619047619048,0.999375,0.945,1,1,0.93
"BCL2",0.964852813742386,0.982857142857143,0.99875,0.97,1,1,0.96
"CALCA",0.948994949366117,0.973333333333333,1,0.955,1,1,0.943333333333333
"TLR4",0.940208152801713,0.969047619047619,1,0.9475,1,1,0.933333333333333
"ELANE",0.918847763108502,0.95952380952381,1,0.93,1,1,0.908333333333333
"NLRP3.1",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"CCR7",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"CCL2",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"MAPK14",0.941421356237309,0.971428571428571,1,0.95,1,1,0.933333333333333
"TNF",0.938137084989848,0.967142857142857,1,0.945,1,1,0.931666666666667
"NOTCH1",0.935674843745781,0.968412698412698,0.99875,0.9475,0.995,0.998,0.931666666666667
"S100A8",0.92556349186104,0.961904761904762,0.9975,0.935,1,1,0.916666666666667
"LBP",0.936421356237309,0.968095238095238,0.9975,0.945,1,1,0.928333333333333
"MAPK14.1",0.941421356237309,0.971428571428571,1,0.95,1,1,0.933333333333333
"CCL25",0.949852813742386,0.972857142857143,0.99875,0.955,1,1,0.945
"MYD88",0.944350288425444,0.972857142857143,0.99875,0.9525,1,1,0.936666666666667
"CD14",0.961923881554251,0.981428571428571,0.9975,0.9675,1,1,0.956666666666667
"CX3CR1",0.933492424049175,0.966666666666667,1,0.9425,1,1,0.925
"S100A12",0.933492424049175,0.966666666666667,1,0.9425,1,1,0.925
"S100A9",0.923492424049175,0.96,1,0.9325,1,1,0.915
"OLFM4",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"IL1R2",0.931421356237309,0.964761904761905,1,0.94,1,1,0.923333333333333
"P2RX7",0.92556349186104,0.961904761904762,0.999375,0.935,1,1,0.916666666666667
"HIF1A.1",0.948994949366117,0.973333333333333,1,0.955,1,1,0.943333333333333
"VCAM1",0.939350288425444,0.96952380952381,0.9975,0.9475,1,1,0.931666666666667
"CCL19",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"CCR2.2",0.936421356237309,0.968095238095238,0.99875,0.945,1,1,0.928333333333333
"IL1R2.1",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
"TLR2",0.907989898732233,0.953333333333333,1,0.92,1,1,0.896666666666667
"CD177",0.937279220613579,0.967619047619048,0.99875,0.945,1,1,0.93
"IL1B",0.93056349186104,0.965238095238095,1,0.94,1,1,0.921666666666667
"CCR2.3",0.928137084989848,0.96047619047619,1,0.935,1,1,0.921666666666667
"CCR2.4",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"CRP",0.942279220613579,0.970952380952381,0.996875,0.95,1,1,0.935
"SOCS3",0.939350288425444,0.96952380952381,0.9975,0.9475,1,1,0.931666666666667
"CCL25.1",0.928492424049175,0.963333333333333,0.99875,0.9375,1,1,0.92
"C3AR1",0.914705627484771,0.955714285714286,0.99875,0.925,1,1,0.905
"MAPK14.2",0.940208152801713,0.969047619047619,0.999375,0.9475,1,1,0.933333333333333
"HMGB1",0.922634559672906,0.96047619047619,1,0.9325,1,1,0.913333333333333
"CXCL10",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"MMP9",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"BCL2.1",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"TNFSF10",0.944350288425444,0.972857142857143,0.99875,0.9525,1,1,0.936666666666667
"PDCD1",0.941066017177982,0.968571428571429,0.99875,0.9475,1,1,0.935
"CALCA.1",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"ICAM1",0.948248436874588,0.973650793650794,0.99875,0.9575,0.995,0.998,0.946666666666667
"ARG1",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"IL10.1",0.958994949366117,0.98,0.99875,0.965,1,1,0.953333333333333
"CX3CR1.1",0.933492424049175,0.966666666666667,1,0.9425,1,1,0.925
