"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.950208152801713,0.975714285714286,0.99875,0.9575,1,1,0.943333333333333
"CCR2.1",0.956923881554251,0.978095238095238,0.99875,0.9625,1,1,0.951666666666667
"IL10",0.932279220613579,0.964285714285714,1,0.94,1,1,0.925
"HIF1A",0.939350288425444,0.96952380952381,0.99875,0.9475,1,1,0.931666666666667
"IFNB1",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"ITGAM",0.932634559672906,0.967142857142857,0.9975,0.9425,1,1,0.923333333333333
"TREM1",0.939350288425444,0.96952380952381,0.99875,0.9475,1,1,0.931666666666667
"IFNA1",0.96278174593052,0.980952380952381,1,0.9675,1,1,0.958333333333333
"HLA.DRA",0.924705627484771,0.962380952380952,0.99875,0.935,1,1,0.915
"C5AR1",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"PLAUR",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"LCN2",0.931421356237309,0.964761904761905,1,0.94,1,1,0.923333333333333
"NLRP3",0.959106301250857,0.97984126984127,0.99875,0.9675,0.995,0.998,0.958333333333333
"IFNA2",0.964852813742386,0.982857142857143,1,0.97,1,1,0.96
"IL6",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"BCL2",0.964852813742386,0.982857142857143,1,0.97,1,1,0.96
"CALCA",0.933492424049175,0.966666666666667,0.99875,0.9425,1,1,0.925
"TLR4",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"ELANE",0.932279220613579,0.964285714285714,1,0.94,1,1,0.925
"NLRP3.1",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"CCR7",0.971568542494924,0.985238095238095,1,0.975,1,1,0.968333333333333
"CCL2",0.929705627484771,0.965714285714286,1,0.94,1,1,0.92
"MAPK14",0.938492424049175,0.97,1,0.9475,1,1,0.93
"TNF",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"NOTCH1",0.950208152801713,0.975714285714286,0.99875,0.9575,1,1,0.943333333333333
"S100A8",0.965710678118655,0.982380952380952,1,0.97,1,1,0.961666666666667
"LBP",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"MAPK14.1",0.941421356237309,0.971428571428571,1,0.95,1,1,0.933333333333333
"CCL25",0.943137084989848,0.97047619047619,1,0.95,1,1,0.936666666666667
"MYD88",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"CD14",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"CX3CR1",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"S100A12",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"S100A9",0.956066017177982,0.978571428571429,0.99875,0.9625,1,1,0.95
"OLFM4",0.943137084989848,0.97047619047619,1,0.95,1,1,0.936666666666667
"IL1R2",0.945208152801713,0.972380952380952,1,0.9525,1,1,0.938333333333333
"P2RX7",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"HIF1A.1",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"VCAM1",0.953994949366117,0.976666666666667,0.99875,0.96,1,1,0.948333333333333
"CCL19",0.951066017177982,0.975238095238095,0.99875,0.9575,1,1,0.945
"CCR2.2",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"IL1R2.1",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"TLR2",0.968639610306789,0.983809523809524,1,0.9725,1,1,0.965
"CD177",0.948137084989848,0.973809523809524,0.99875,0.955,1,1,0.941666666666667
"IL1B",0.945208152801713,0.972380952380952,0.99875,0.9525,1,1,0.938333333333333
"CCR2.3",0.943994949366117,0.97,1,0.95,1,1,0.938333333333333
"CCR2.4",0.946923881554251,0.971428571428571,1,0.9525,1,1,0.941666666666667
"CRP",0.92556349186104,0.961904761904762,0.999375,0.935,1,1,0.916666666666667
"SOCS3",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"CCL25.1",0.923847763108502,0.962857142857143,1,0.935,1,1,0.913333333333333
"C3AR1",0.961923881554251,0.981428571428571,1,0.9675,1,1,0.956666666666667
"MAPK14.2",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"HMGB1",0.931421356237309,0.964761904761905,1,0.94,1,1,0.923333333333333
"CXCL10",0.93556349186104,0.968571428571429,0.999375,0.945,1,1,0.926666666666667
"MMP9",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"BCL2.1",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"TNFSF10",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"PDCD1",0.96278174593052,0.980952380952381,1,0.9675,1,1,0.958333333333333
"CALCA.1",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"ICAM1",0.969964165627126,0.986031746031746,1,0.9775,0.995,0.998,0.97
"ARG1",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"IL10.1",0.96778174593052,0.984285714285714,1,0.9725,1,1,0.963333333333333
"CX3CR1.1",0.980355339059327,0.989523809523809,1,0.9825,1,1,0.978333333333333
"OLFM4.1",0.934816979369512,0.968888888888889,0.99875,0.9475,0.995,0.998,0.93
"HLA.DRA.1",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"FCGR1A",0.965710678118655,0.982380952380952,1,0.97,1,1,0.961666666666667
"IL8",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"IFNG",0.944350288425444,0.972857142857143,0.99875,0.9525,1,1,0.936666666666667
"BCL2.2",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
"IL1R2.2",0.936421356237309,0.968095238095238,1,0.945,1,1,0.928333333333333
"CCR2.5",0.938492424049175,0.97,1,0.9475,1,1,0.93
"VCAM1.1",0.938492424049175,0.97,0.99875,0.9475,1,1,0.93
"VCAM1.2",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"CALCA.2",0.933492424049175,0.966666666666667,0.9975,0.9425,1,1,0.925
"BCL2.3",0.941066017177982,0.968571428571429,1,0.9475,1,1,0.935
"PLAUR.1",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"CCR2.6",0.953248436874588,0.976984126984127,1,0.9625,0.995,0.998,0.951666666666667
"HIF1A.2",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"MAPK14.3",0.926421356237309,0.961428571428571,1,0.935,1,1,0.918333333333333
"CD14.1",0.947279220613579,0.974285714285714,1,0.955,1,1,0.94
"GATA3",0.950208152801713,0.975714285714286,1,0.9575,1,1,0.943333333333333
"PLAUR.2",0.941421356237309,0.971428571428571,0.99875,0.95,1,1,0.933333333333333
"CCR2.7",0.937279220613579,0.967619047619048,1,0.945,1,1,0.93
"CCR2.8",0.934070466877983,0.969206349206349,1,0.95,0.99,0.996,0.933333333333333
"CD177.1",0.96278174593052,0.980952380952381,1,0.9675,1,1,0.958333333333333
