"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.924831632475944,0.952,1,0.923333333333333,1,1,0.926666666666667
"CCR2.1",0.910749149571305,0.945,1,0.91,1,1,0.911666666666667
"IL10",0.908164965809277,0.942,1,0.906666666666667,1,1,0.91
"HIF1A",0.900749149571305,0.939,1,0.9,1,1,0.901666666666667
"IFNB1",0.905580782047249,0.939,1,0.903333333333333,1,1,0.908333333333333
"ITGAM",0.885580782047249,0.927,0.999166666666667,0.883333333333333,1,1,0.888333333333333
"TREM1",0.870749149571305,0.921,0.999166666666667,0.87,1,1,0.871666666666667
"IFNA1",0.904831632475944,0.94,0.998333333333333,0.903333333333333,1,1,0.906666666666667
"HLA.DRA",0.869663264951888,0.916,1,0.866666666666667,1,1,0.873333333333333
"C5AR1",0.890749149571305,0.933,1,0.89,1,1,0.891666666666667
"PLAUR",0.91,0.946,0.999166666666667,0.91,1,1,0.91
"LCN2",0.887828230761165,0.924,1,0.883333333333333,1,1,0.893333333333333
"NLRP3",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"IFNA2",0.884831632475944,0.928,1,0.883333333333333,1,1,0.886666666666667
"IL6",0.867828230761165,0.912,1,0.863333333333333,1,1,0.873333333333333
"BCL2",0.900749149571305,0.939,1,0.9,1,1,0.901666666666667
"CALCA",0.888914115380583,0.929,1,0.886666666666667,1,1,0.891666666666667
"TLR4",0.927415816237972,0.955,0.998333333333333,0.926666666666667,1,1,0.928333333333333
"ELANE",0.881498299142611,0.926,1,0.88,1,1,0.883333333333333
"NLRP3.1",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"CCR7",0.884082482904639,0.929,1,0.883333333333333,1,1,0.885
"CCL2",0.913333333333333,0.948,0.998333333333333,0.913333333333333,1,1,0.913333333333333
"MAPK14",0.901498299142611,0.938,0.996666666666667,0.9,1,1,0.903333333333333
"TNF",0.889663264951888,0.928,0.999166666666667,0.886666666666667,1,1,0.893333333333333
"NOTCH1",0.881498299142611,0.926,0.998333333333333,0.88,1,1,0.883333333333333
"S100A8",0.908164965809277,0.942,1,0.906666666666667,1,1,0.91
"LBP",0.886329931618555,0.926,1,0.883333333333333,1,1,0.89
"MAPK14.1",0.902247448713916,0.937,1,0.9,1,1,0.905
"CCL25",0.931498299142611,0.956,0.999166666666667,0.93,1,1,0.933333333333333
"MYD88",0.902996598285221,0.936,0.999166666666667,0.9,1,1,0.906666666666667
"CD14",0.902247448713916,0.937,1,0.9,1,1,0.905
"CX3CR1",0.879663264951888,0.922,1,0.876666666666667,1,1,0.883333333333333
"S100A12",0.878164965809277,0.924,1,0.876666666666667,1,1,0.88
"S100A9",0.904082482904639,0.941,1,0.903333333333333,1,1,0.905
"OLFM4",0.895580782047249,0.933,1,0.893333333333333,1,1,0.898333333333333
"IL1R2",0.902247448713916,0.937,1,0.9,1,1,0.905
"P2RX7",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"HIF1A.1",0.904831632475944,0.94,1,0.903333333333333,1,1,0.906666666666667
"VCAM1",0.87707908118986,0.919,1,0.873333333333333,1,1,0.881666666666667
"CCL19",0.858914115380583,0.911,0.998333333333333,0.856666666666667,1,1,0.861666666666667
"CCR2.2",0.897415816237972,0.937,1,0.896666666666667,1,1,0.898333333333333
"IL1R2.1",0.940749149571305,0.963,1,0.94,1,1,0.941666666666667
"TLR2",0.914831632475944,0.946,0.998333333333333,0.913333333333333,1,1,0.916666666666667
"CD177",0.911498299142611,0.944,0.999166666666667,0.91,1,1,0.913333333333333
"IL1B",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"CCR2.3",0.906329931618554,0.938,1,0.903333333333333,1,1,0.91
"CCR2.4",0.884831632475944,0.928,1,0.883333333333333,1,1,0.886666666666667
"CRP",0.892247448713916,0.931,1,0.89,1,1,0.895
"SOCS3",0.888914115380583,0.929,1,0.886666666666667,1,1,0.891666666666667
"CCL25.1",0.889663264951888,0.928,1,0.886666666666667,1,1,0.893333333333333
"C3AR1",0.879663264951888,0.922,1,0.876666666666667,1,1,0.883333333333333
"MAPK14.2",0.889663264951888,0.928,1,0.886666666666667,1,1,0.893333333333333
"HMGB1",0.904082482904639,0.941,1,0.903333333333333,1,1,0.905
"CXCL10",0.898914115380583,0.935,1,0.896666666666667,1,1,0.901666666666667
"MMP9",0.924082482904639,0.953,1,0.923333333333333,1,1,0.925
"BCL2.1",0.898164965809277,0.936,1,0.896666666666667,1,1,0.9
"TNFSF10",0.882247448713916,0.925,1,0.88,1,1,0.885
"PDCD1",0.897828230761165,0.93,1,0.893333333333333,1,1,0.903333333333333
"CALCA.1",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"ICAM1",0.922247448713916,0.949,1,0.92,1,1,0.925
"ARG1",0.896329931618555,0.932,1,0.893333333333333,1,1,0.9
"IL10.1",0.914831632475944,0.946,1,0.913333333333333,1,1,0.916666666666667
"CX3CR1.1",0.884082482904639,0.929,1,0.883333333333333,1,1,0.885
"OLFM4.1",0.878164965809277,0.924,0.996666666666667,0.876666666666667,1,1,0.88
"HLA.DRA.1",0.904831632475944,0.94,1,0.903333333333333,1,1,0.906666666666667
"FCGR1A",0.912247448713916,0.943,1,0.91,1,1,0.915
"IL8",0.861161564094498,0.908,1,0.856666666666667,1,1,0.866666666666667
"IFNG",0.879663264951888,0.922,1,0.876666666666667,1,1,0.883333333333333
"BCL2.2",0.898914115380583,0.935,0.998333333333333,0.896666666666667,1,1,0.901666666666667
"IL1R2.2",0.901498299142611,0.938,1,0.9,1,1,0.903333333333333
"CCR2.5",0.895580782047249,0.933,0.998333333333333,0.893333333333333,1,1,0.898333333333333
"VCAM1.1",0.896329931618555,0.932,0.999166666666667,0.893333333333333,1,1,0.9
"VCAM1.2",0.886329931618555,0.926,1,0.883333333333333,1,1,0.89
"CALCA.2",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"BCL2.3",0.933333333333333,0.96,1,0.933333333333333,1,1,0.933333333333333
"PLAUR.1",0.886329931618555,0.926,1,0.883333333333333,1,1,0.89
"CCR2.6",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"HIF1A.2",0.911498299142611,0.944,0.998333333333333,0.91,1,1,0.913333333333333
"MAPK14.3",0.937415816237972,0.961,0.999166666666667,0.936666666666667,1,1,0.938333333333333
"CD14.1",0.922996598285221,0.948,1,0.92,1,1,0.926666666666667
"GATA3",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"PLAUR.2",0.879663264951888,0.922,1,0.876666666666667,1,1,0.883333333333333
"CCR2.7",0.885580782047249,0.927,0.998333333333333,0.883333333333333,1,1,0.888333333333333
"CCR2.8",0.897415816237972,0.937,0.996666666666667,0.896666666666667,1,1,0.898333333333333
"CD177.1",0.904082482904639,0.941,1,0.903333333333333,1,1,0.905
