"Sample","CCR2","CCR2.1","IL10","HIF1A","IFNB1","ITGAM","TREM1","IFNA1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IFNA2","IL6","BCL2","CALCA","TLR4","ELANE","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","LBP","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","VCAM1","CCL19","CCR2.2","IL1R2.1","TLR2","CD177","IL1B","CCR2.3","CCR2.4","CRP","SOCS3","CCL25.1","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2.1","TNFSF10","PDCD1","CALCA.1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","HLA-DRA.1","FCGR1A","IL8","IFNG","BCL2.2","IL1R2.2","CCR2.5","VCAM1.1","VCAM1.2","CALCA.2","BCL2.3","PLAUR.1","CCR2.6","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","CCR2.7","CCR2.8","CD177.1","Label"
"GSM4075771",5.026548141,5.71815781,5.114034508,5.102054434,4.964148796,10.29357188,8.928336716,5.105801785,11.23723137,11.38373469,8.909681851,9.34321937,5.822971347,5.050408923,5.175011304,5.262299955,5.068832814,8.323990992,7.07451904,8.325484001,8.437231886,4.96923206,5.208186706,6.428123038,9.516493468,14.36820863,5.268802976,7.821328062,5.09812464,10.6148248,12.21887926,5.699166498,12.33058642,13.97993058,5.072885745,8.249258074,6.894466558,5.163466404,5.222610327,5.178215839,8.249880378,13.89937236,7.324750201,7.197666242,9.074991563,5.111809315,5.143407011,5.003755596,5.565123664,4.951235461,8.493888242,6.158416138,5.101524024,5.094656091,11.86229205,5.376052308,11.07050292,5.043154763,5.13668816,6.014797989,10.98619087,13.16590748,8.028708187,5.721727455,11.36191035,9.825352168,5.048170344,5.014746792,5.790921781,5.183621462,5.234679148,5.024555169,5.11294169,4.994757305,5.164210203,8.985438191,4.990409279,6.352235922,6.413355706,13.57776826,5.023953996,7.894590729,5.068628189,5.055154746,7.83346869,"Shock"
"GSM4075773",5.116259801,7.002227427,5.031897285,5.18152093,4.937965624,9.707908021,8.295990608,5.081221263,12.54960381,11.11926211,8.876276123,11.15729414,5.504343826,4.977385492,5.216743313,5.02892911,5.14672803,6.876554971,7.185281078,7.736183581,10.66603202,4.993490683,5.091481504,7.14558365,9.364346558,14.28630323,5.002857519,6.304070163,5.04249603,10.34965673,12.10732777,6.809925145,11.27240453,13.80403256,5.099486847,5.703631966,6.730948437,5.218051222,5.10097685,5.051411265,9.01910754,10.3754208,6.012651279,6.481208377,10.0953024,5.092401245,5.076435283,5.061567574,5.992052533,5.06695104,7.067866001,5.341254908,5.597170205,5.212030821,10.39110811,7.477250513,10.80139487,5.132928002,5.000489072,5.540506,6.711835608,12.43301353,10.61776884,6.192383251,12.76844689,9.801267307,5.498429848,5.135885303,8.328533909,5.116191192,5.621559964,4.999680757,5.069318639,5.090001385,5.110413273,9.148825584,5.003141376,6.04703434,5.449632641,13.47237187,5.550555873,8.029934244,5.076039074,4.989618557,6.098662593,"Shock"
"GSM4075778",5.077886801,5.603204761,5.084930202,5.064124404,5.028129259,9.891059605,6.874167566,5.155778951,11.89871224,11.18766018,8.718175234,14.10237811,5.369608814,4.977935227,5.058377301,5.152917259,5.098052627,7.730064105,11.75821765,6.933305586,10.7800345,5.215016735,5.303347999,5.929331232,9.171852216,13.99265618,4.998134913,5.932413949,5.127369736,10.59351173,11.44297466,6.443570638,11.13674064,14.16596514,6.659546061,6.289677556,7.222514215,5.203033557,5.149559248,5.114484496,7.920176772,12.4824338,7.255988594,6.345431287,8.76534821,5.028497662,5.112860415,4.999700994,5.179731401,4.9535126,8.444868569,5.384461399,5.161218267,5.783154874,12.4425086,6.557662274,11.97192936,5.366119106,5.0569458,5.553256174,9.110193079,12.71805968,9.683998228,10.6767367,12.24447438,10.45122603,5.167359321,5.154814104,7.482040867,5.052677257,5.0570982,4.991964204,5.033681303,5.063725879,5.136498114,9.342710419,5.057805217,5.693538448,5.326478735,12.92697456,5.144822229,8.134761683,5.040621992,4.989603422,6.905406696,"Shock"
"GSM4075779",5.025134224,5.007805752,5.189363025,4.961774385,5.315812811,8.351559255,8.464034828,5.775843053,11.76452993,10.01142903,7.685384656,11.36946409,5.154419982,5.000781669,6.304534416,5.029223729,5.047942596,7.414294618,9.962754163,6.523350188,10.19681078,5.131223303,5.058673218,5.124339791,8.008296051,13.3562294,5.07463,5.090892342,5.158364647,8.826358494,10.3923657,5.251085768,10.92061851,14.31891296,5.482560051,5.200031465,5.815007895,5.782913652,5.059521173,5.002625376,7.917693097,9.399281089,5.122296586,5.108479901,7.246005225,5.404084362,5.099760525,4.947709787,5.173184894,5.057309725,5.332548408,5.295816194,5.153996852,5.096480776,10.19036433,5.61135845,9.991371959,5.008941396,4.978023845,5.015975601,6.662659548,12.28366081,7.950593814,7.926348668,12.43501655,6.124911193,5.08659019,5.041553785,7.815821205,5.100485515,5.093772183,5.010168364,5.034760292,5.482053155,4.988931635,7.852648855,5.043150266,5.162799014,5.117021808,11.96417853,5.035965619,6.261001944,5.067332045,5.016141626,5.081423784,"Shock"
"GSM4075785",4.255197107,7.580124476,4.447686599,4.542845009,4.287563421,9.941547379,7.039410257,4.267999406,12.41130631,10.31499381,8.24194639,10.74235425,5.457198692,4.429327369,4.307055681,4.203825487,4.537277664,7.381578854,10.0931016,7.710512323,10.52180375,4.2064409,4.634339217,7.527311826,9.94301409,13.83005986,4.467053003,6.264059351,4.32778703,10.31763048,12.44456871,7.136190591,9.240960987,14.06417601,5.533209863,5.827303182,7.167547923,5.029895523,4.317023614,4.50408401,8.202831903,10.98281977,6.705060722,6.299771896,8.885794291,4.286509901,4.820299756,4.274449586,5.49208042,4.259547406,8.863558199,6.189516602,4.336227123,4.619887856,9.738070797,6.743154268,10.21983741,4.411123365,4.364716241,5.35356637,7.367854192,11.62013089,10.13206891,8.939616035,12.56427889,10.15267265,4.532595631,4.330798903,7.606632975,4.379235588,5.483922189,4.213993998,4.693365933,4.383187808,4.544297309,9.006459241,4.22329778,4.868372548,5.548193301,14.29155356,4.357410269,7.973682521,4.388306599,4.260703372,6.184090395,"Shock"
"GSM4075800",4.227615164,4.776453464,5.878333904,5.719592213,4.21980904,11.96751953,9.240872354,4.298439231,11.30027456,11.59142168,7.486737139,13.56297755,6.332597225,4.660196505,4.660694132,4.747540101,4.369997018,9.017616758,5.32046391,8.209084565,10.39824384,6.235712917,4.732764765,7.878765617,9.443724078,13.9794618,4.342039869,8.275214781,4.243491863,10.99135663,11.37429782,4.557922342,13.80562717,13.99533408,10.49240365,7.958348096,4.729270539,7.179603976,4.376769235,4.464832442,6.443440222,13.88476415,8.974405407,10.43352682,10.48938524,4.613690217,4.466669715,4.208928873,9.576328923,4.261878541,9.335193225,7.395239957,5.253573556,4.573457698,13.74567607,6.322966551,11.67381183,4.731639411,4.290807741,7.394417867,12.58299207,11.84545805,6.365727064,13.21373734,11.36959252,10.83292479,8.961930471,4.32795605,7.086819876,4.519877432,4.400761698,4.277380641,4.24613873,4.359565419,4.70097043,8.096021979,4.336951324,8.195647348,7.353355183,13.17979548,4.434065276,7.716437333,4.412001193,4.211158926,10.55476822,"Shock"
"GSM4075812",4.228413291,4.821071022,4.225950588,4.575691486,4.164377688,9.443519375,7.457889204,4.153640922,11.01379337,10.08324399,7.286578575,10.69973001,4.653303877,4.190714804,4.362856807,4.210413495,4.310033412,6.599800195,7.945224404,6.584080041,6.179884933,4.250112628,4.436148866,6.114531289,8.227682291,12.8078148,4.237858248,6.069970364,4.502407987,9.838680155,10.49338674,5.609133483,11.04278397,13.85362018,4.609955334,5.402471123,5.83059597,4.750309297,4.477730732,4.222326932,6.663256842,11.17112126,6.050217431,6.528982449,6.765641938,4.271132611,4.416117454,4.239412502,5.112264978,4.187178853,6.197459637,5.382233173,4.227346554,4.663893178,11.70978783,5.048292717,10.30951127,4.619816806,4.322887583,5.420178001,9.197150501,10.13614479,8.654480153,6.683782764,11.67957269,8.770106947,4.835478159,4.689057814,6.314280936,4.441304249,4.603544962,4.224675866,4.445420556,4.54340722,4.314781699,7.585497479,4.196505984,5.404272067,5.408614659,12.0939222,4.580297716,6.649439411,4.276565356,4.238607125,6.435585954,"Shock"
"GSM4075813",4.637174356,5.686708918,4.428032696,4.243517579,4.282032897,7.572684517,5.313215136,4.366095779,11.71533504,8.51466607,5.314020674,5.592780082,4.788867278,4.472548444,4.52675207,4.256293543,4.453060868,4.742872628,4.395117594,5.994480176,8.728546458,4.257714856,4.75522857,5.345392549,6.820779863,12.38184085,4.190045353,4.339795733,4.818252575,7.719764092,9.188230997,7.50209494,5.693131626,13.07033222,4.231638498,4.146530795,6.004039824,4.258359136,4.405601981,4.248471093,7.200147525,6.569957882,4.277426938,4.358970908,6.676268497,4.208122061,4.348641163,4.198378871,5.137863147,4.302072637,5.321633521,4.249212474,4.412681464,4.443248022,5.017124612,6.29178806,8.941277158,4.208444772,4.327732039,4.299938506,4.376016935,9.173149452,10.50877885,4.208986832,12.31567882,5.527283757,5.237399693,5.116325594,7.568961635,4.350868043,4.82504812,4.184538239,4.321324033,4.324098044,4.666898152,6.227992004,4.231876233,4.433902309,4.349354325,10.91227294,4.836228715,5.478312821,4.296847872,4.581392721,4.3187926,"Healthy"
"GSM4075814",4.176763006,6.566983619,4.206456606,4.284252455,4.16366621,7.449481747,6.359936232,4.188459723,11.66690418,8.412651087,5.557387708,5.87034907,4.561229596,4.28219957,4.322934422,4.139154785,4.204758027,5.444429473,4.703904746,5.33407733,9.648024923,4.254987781,4.5344552,5.478668101,7.191471288,12.24854348,4.197758318,4.777999855,4.224988385,8.688560618,9.469012839,7.061075959,7.277024414,13.36619294,4.230718437,4.619218521,6.463194966,4.436316619,4.202907265,4.424677334,7.326953417,7.606057878,4.91424767,4.312256586,7.615902703,4.286276611,4.109800132,4.259584454,4.619371145,4.179286575,5.290509528,4.359692804,4.234635927,4.876043443,7.094185078,6.140349434,9.779315702,4.269748177,4.101182508,4.476585523,4.92431479,10.40985263,9.724361882,4.511286718,11.69250989,6.337631074,5.106798582,5.052182287,7.293484002,4.165374751,4.828083424,4.32826132,4.214526339,4.101781599,4.61070232,6.910369169,4.190880677,5.053174764,4.670334103,10.4874033,4.794495646,5.641451238,4.163576082,4.188956389,4.298021904,"Healthy"
"GSM4075815",4.22479396,5.85675267,4.151286937,4.171776122,4.455433377,7.301246649,6.399502633,4.195326061,11.23474046,9.168859522,6.443385562,8.246064819,5.084941663,4.203470262,4.182389611,4.21400938,4.15505762,5.086548083,4.943017127,5.763690676,9.239263559,4.170154538,4.448944504,6.270906923,6.805478053,10.31486202,4.148687497,4.707915391,4.240367649,8.500729594,9.455488422,6.913711809,6.85301299,12.84463084,4.233698821,4.220225507,6.540178598,4.268248688,4.162240494,4.228074064,6.548062697,7.314837292,4.774484484,4.189553871,7.046941798,4.473722031,4.179882398,4.166061768,4.698782786,4.148857423,4.360854394,4.184655142,4.303696814,4.322260686,8.265872591,5.762764489,8.630942572,4.244701334,4.287585451,4.686201886,5.488515421,10.4516446,9.42384029,4.192513586,11.44949172,5.303998952,4.12759465,4.174809872,6.446580884,4.145493057,4.252881688,4.199941845,4.228847843,4.128561323,4.342365465,6.527788723,4.105491162,5.089191506,4.323374654,11.01813591,4.217649662,5.888130487,4.437723462,4.225229014,4.229876304,"Healthy"
