"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.934350288425444,0.966190476190476,1,0.9425,1,1,0.926666666666667
"CCR2.1",0.921776695296637,0.960952380952381,1,0.9325,1,1,0.911666666666667
"IL10",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"HIF1A",0.93056349186104,0.965238095238095,1,0.94,1,1,0.921666666666667
"IFNB1",0.926776695296637,0.964285714285714,1,0.9375,1,1,0.916666666666667
"ITGAM",0.943137084989848,0.97047619047619,1,0.95,1,1,0.936666666666667
"TREM1",0.909705627484771,0.952380952380952,1,0.92,1,1,0.9
"IFNA1",0.92556349186104,0.961904761904762,1,0.935,1,1,0.916666666666667
"HLA.DRA",0.93056349186104,0.965238095238095,1,0.94,1,1,0.921666666666667
"C5AR1",0.928959114993243,0.966031746031746,1,0.9425,0.995,0.998,0.923333333333333
"PLAUR",0.947279220613579,0.974285714285714,1,0.955,1,1,0.94
"LCN2",0.953137084989848,0.977142857142857,1,0.96,1,1,0.946666666666667
"NLRP3",0.93556349186104,0.968571428571429,1,0.945,1,1,0.926666666666667
"IFNA2",0.924705627484771,0.962380952380952,1,0.935,1,1,0.915
"IL6",0.93056349186104,0.965238095238095,1,0.94,1,1,0.921666666666667
"BCL2",0.921776695296637,0.960952380952381,1,0.9325,1,1,0.911666666666667
"CALCA",0.931421356237309,0.964761904761905,1,0.94,1,1,0.923333333333333
"TLR4",0.930674843745781,0.965079365079365,1,0.9425,0.995,0.998,0.926666666666667
"ELANE",0.927634559672906,0.963809523809524,1,0.9375,1,1,0.918333333333333
"NLRP3.1",0.936421356237309,0.968095238095238,1,0.945,1,1,0.928333333333333
"CCR7",0.900060966544099,0.948571428571429,1,0.9125,1,1,0.888333333333333
"CXCL13",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"CCL2",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"MAPK14",0.932745911557646,0.966984126984127,1,0.945,0.995,0.998,0.928333333333333
"TLR5",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"LY96",0.968639610306789,0.983809523809524,1,0.9725,1,1,0.965
"TNF",0.932634559672906,0.967142857142857,1,0.9425,1,1,0.923333333333333
"NOTCH1",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"S100A8",0.938492424049175,0.97,1,0.9475,1,1,0.93
"LBP",0.944350288425444,0.972857142857143,1,0.9525,1,1,0.936666666666667
"MAPK14.1",0.918959114993243,0.959365079365079,1,0.9325,0.995,0.998,0.913333333333333
"CCL25",0.937279220613579,0.967619047619048,1,0.945,1,1,0.93
