"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.92,0.952,1,0.92,1,1,0.92
"CCR2.1",0.9,0.94,1,0.9,1,1,0.9
"IL10",0.887415816237972,0.931,1,0.886666666666667,1,1,0.888333333333333
"HIF1A",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
"IFNB1",0.904082482904639,0.941,1,0.903333333333333,1,1,0.905
"ITGAM",0.943333333333333,0.966,1,0.943333333333333,1,1,0.943333333333333
"TREM1",0.937415816237972,0.961,1,0.936666666666667,1,1,0.938333333333333
"IFNA1",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"HLA.DRA",0.897415816237972,0.937,1,0.896666666666667,1,1,0.898333333333333
"C5AR1",0.94,0.964,1,0.94,1,1,0.94
"PLAUR",0.917415816237972,0.949,1,0.916666666666667,1,1,0.918333333333333
"LCN2",0.924831632475944,0.952,1,0.923333333333333,1,1,0.926666666666667
"NLRP3",0.91,0.946,1,0.91,1,1,0.91
"IFNA2",0.87707908118986,0.919,1,0.873333333333333,1,1,0.881666666666667
"IL6",0.900749149571305,0.939,1,0.9,1,1,0.901666666666667
"BCL2",0.897415816237972,0.937,1,0.896666666666667,1,1,0.898333333333333
"CALCA",0.898914115380583,0.935,1,0.896666666666667,1,1,0.901666666666667
"TLR4",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"ELANE",0.897415816237972,0.937,1,0.896666666666667,1,1,0.898333333333333
"NLRP3.1",0.915580782047249,0.945,1,0.913333333333333,1,1,0.918333333333333
"CCR7",0.904082482904639,0.941,1,0.903333333333333,1,1,0.905
"CXCL13",0.928914115380583,0.953,1,0.926666666666667,1,1,0.931666666666667
"CCL2",0.907415816237972,0.943,1,0.906666666666667,1,1,0.908333333333333
"MAPK14",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"TLR5",0.916666666666667,0.95,1,0.916666666666667,1,1,0.916666666666667
"LY96",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"TNF",0.907415816237972,0.943,1,0.906666666666667,1,1,0.908333333333333
"NOTCH1",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"S100A8",0.894831632475944,0.934,1,0.893333333333333,1,1,0.896666666666667
"LBP",0.92,0.952,1,0.92,1,1,0.92
"MAPK14.1",0.886666666666667,0.932,1,0.886666666666667,1,1,0.886666666666667
"CCL25",0.890749149571305,0.933,1,0.89,1,1,0.891666666666667
"MYD88",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
"CD14",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"CX3CR1",0.930749149571305,0.957,1,0.93,1,1,0.931666666666667
"S100A12",0.914831632475944,0.946,1,0.913333333333333,1,1,0.916666666666667
"S100A9",0.914831632475944,0.946,1,0.913333333333333,1,1,0.916666666666667
"OLFM4",0.91,0.946,1,0.91,1,1,0.91
"IL1R2",0.893333333333333,0.936,1,0.893333333333333,1,1,0.893333333333333
"P2RX7",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"HIF1A.1",0.912790391023625,0.948571428571429,1,0.916666666666667,0.995,0.9975,0.916666666666667
"VCAM1",0.920749149571305,0.951,1,0.92,1,1,0.921666666666667
"CCL19",0.94,0.964,1,0.94,1,1,0.94
"CCR2.2",0.901498299142611,0.938,1,0.9,1,1,0.903333333333333
"IL1R2.1",0.906666666666667,0.944,1,0.906666666666667,1,1,0.906666666666667
"TLR2",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
"CD177",0.911498299142611,0.944,1,0.91,1,1,0.913333333333333
"IL1B",0.906666666666667,0.944,1,0.906666666666667,1,1,0.906666666666667
"CCR2.3",0.894082482904639,0.935,1,0.893333333333333,1,1,0.895
"CCR2.4",0.898164965809277,0.936,1,0.896666666666667,1,1,0.9
"TRIL",0.923333333333333,0.954,1,0.923333333333333,1,1,0.923333333333333
