"Feature","Mean_Importance"
"CD177.1",1.21842898897258
"IL1R2.1",1.14904752710608
"S100A12",0.892870943533144
"ARG1",0.8874731113129
"OLFM4",0.757367546486671
"SOCS3",0.747151730093301
"S100A8",0.723298399161604
"ELANE",0.713922053318835
"NOTCH1",0.682306306822571
"TLR2",0.667997316261946
"C3AR1",0.644454269727139
"FCGR1A",0.620827716553762
"CD14.1",0.581680005686223
"CD177",0.579894399534953
"PLAUR",0.562454329661592
"ITGAM",0.546069794852339
"OLFM4.1",0.462488890945786
"HMGB1",0.409347851042592
"S100A9",0.399790271932365
"MAPK14.1",0.376856936792993
"CCR2.6",0.375092287266448
"IL10.1",0.342700470775169
"MYD88",0.334749460985806
"TNFSF10",0.303563880302078
"IL1R2.2",0.247787021714128
"CCR2.3",0.220345507753192
"ICAM1",0.175846852014084
"MAPK14.2",0.170732491122594
"MMP9",0.141635725916208
"CALCA.2",0.139320612470367
"LBP",0.131261056326668
"LCN2",0.127187069789333
"PLAUR.1",0.126977001810286
"CCL19",0.117956806757614
"CD14",0.11417376233068
"IL10",0.108598235794063
"TNF",0.0915061293324469
"TLR4",0.0889950084979161
"MAPK14.3",0.0821271157556343
"CCR2.2",0.0644188752372689
"NLRP3.1",0.0609971712462544
"VCAM1.1",0.0487777362799409
"IL6",0.0470874783177212
"HIF1A.2",0.0457844144126392
"IFNA2",0.0422988943388562
"VCAM1.2",0.0412757943599941
"IFNA1",0.039532306072147
"PLAUR.2",0.0359172570307506
"CCR2.4",0.0313604835018413
"CCL25.1",0.0253628675079493
"VCAM1",0.0219982041961633
"CXCL10",0.0166784760981199
"PDCD1",0.0164926835939972
"CCL25",0.016472676820662
"MAPK14",0.0155058712764874
"BCL2",0.0152500598466435
"TREM1",0.0132621458655889
"HIF1A",0.0125776729703116
"C5AR1",0.0124305527812992
"HIF1A.1",0.0123492053969548
"CX3CR1",0.0121980830778106
"CCR2.8",0.0120706901353745
"IFNG",0.0117586532916075
"CRP",0.011649880111908
"CCR2",0.011348159118752
"CX3CR1.1",0.0108829645736445
"P2RX7",0.010654150902863
"IFNB1",0.00939840009740165
"BCL2.1",0.00895368118288505
"CALCA.1",0.00859466730811468
"CALCA",0.00837335258206096
"IL1B",0.00824048190556469
"CCL2",0.00698110625079841
"CCR2.1",0.00617854527708573
"NLRP3",0.00614413105739327
"HLA.DRA",0.00548591135737668
"GATA3",0.00518513947375867
"CCR2.7",0.00456299203783758
"BCL2.3",0.00415684670581602
"IL1R2",0.00369366456745101
"BCL2.2",0.00337224705119442
"CCR2.5",0.00266417819912099
"HLA.DRA.1",0.00186004507218601
"CCR7",0.000991493691493692
"IL8",0.000755091575091575
