"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.942279220613579,0.970952380952381,0.99875,0.95,1,1,0.935
"CCR2.1",0.953994949366117,0.976666666666667,0.99875,0.96,1,1,0.948333333333333
"IL10",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"HIF1A",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"IFNB1",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"ITGAM",0.936421356237309,0.968095238095238,1,0.945,1,1,0.928333333333333
"TREM1",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"IFNA1",0.945208152801713,0.972380952380952,1,0.9525,1,1,0.938333333333333
"HLA.DRA",0.945208152801713,0.972380952380952,1,0.9525,1,1,0.938333333333333
"C5AR1",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"PLAUR",0.953994949366117,0.976666666666667,0.99875,0.96,1,1,0.948333333333333
"LCN2",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"NLRP3",0.940208152801713,0.969047619047619,0.999375,0.9475,1,1,0.933333333333333
"IFNA2",0.945208152801713,0.972380952380952,1,0.9525,1,1,0.938333333333333
"IL6",0.947390572498319,0.974126984126984,1,0.9575,0.995,0.998,0.945
"BCL2",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"CALCA",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"TLR4",0.945208152801713,0.972380952380952,0.999375,0.9525,1,1,0.938333333333333
"ELANE",0.939350288425444,0.96952380952381,1,0.9475,1,1,0.931666666666667
"NLRP3.1",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"CCR7",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"CCL2",0.942279220613579,0.970952380952381,1,0.95,1,1,0.935
"MAPK14",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"TNF",0.951066017177982,0.975238095238095,0.99875,0.9575,1,1,0.945
"NOTCH1",0.945208152801713,0.972380952380952,0.9975,0.9525,1,1,0.938333333333333
"S100A8",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"LBP",0.948994949366117,0.973333333333333,0.99875,0.955,1,1,0.943333333333333
"MAPK14.1",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"CCL25",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"MYD88",0.943566017177982,0.972738095238095,0.99875,0.955,0.995,0.9975,0.94
"CD14",0.950208152801713,0.975714285714286,0.999375,0.9575,1,1,0.943333333333333
"CX3CR1",0.956066017177982,0.978571428571429,0.999375,0.9625,1,1,0.95
"S100A12",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"S100A9",0.946066017177982,0.971904761904762,1,0.9525,1,1,0.94
"OLFM4",0.951923881554251,0.974761904761905,1,0.9575,1,1,0.946666666666667
"IL1R2",0.954852813742386,0.976190476190476,1,0.96,1,1,0.95
"P2RX7",0.946066017177982,0.971904761904762,1,0.9525,1,1,0.94
"HIF1A.1",0.95778174593052,0.977619047619048,1,0.9625,1,1,0.953333333333333
"VCAM1",0.956066017177982,0.978571428571429,1,0.9625,1,1,0.95
"CCL19",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"CCR2.2",0.951066017177982,0.975238095238095,0.99875,0.9575,1,1,0.945
"IL1R2.1",0.950319504686453,0.975555555555556,1,0.96,0.995,0.998,0.948333333333333
"TLR2",0.958994949366117,0.98,0.99875,0.965,1,1,0.953333333333333
"CD177",0.953994949366117,0.976666666666667,0.99875,0.96,1,1,0.948333333333333
"IL1B",0.953994949366117,0.976666666666667,0.999375,0.96,1,1,0.948333333333333
"CCR2.3",0.948137084989848,0.973809523809524,0.999375,0.955,1,1,0.941666666666667
"CCR2.4",0.956923881554251,0.978095238095238,1,0.9625,1,1,0.951666666666667
"CRP",0.953994949366117,0.976666666666667,1,0.96,1,1,0.948333333333333
"SOCS3",0.948137084989848,0.973809523809524,1,0.955,1,1,0.941666666666667
"CCL25.1",0.948137084989848,0.973809523809524,0.9975,0.955,1,1,0.941666666666667
"C3AR1",0.954852813742386,0.976190476190476,0.998125,0.96,1,1,0.95
"MAPK14.2",0.959852813742386,0.979523809523809,1,0.965,1,1,0.955
"HMGB1",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"CXCL10",0.948137084989848,0.973809523809524,0.99875,0.955,1,1,0.941666666666667
"MMP9",0.951066017177982,0.975238095238095,0.99875,0.9575,1,1,0.945
"BCL2.1",0.951066017177982,0.975238095238095,1,0.9575,1,1,0.945
"TNFSF10",0.950319504686453,0.975555555555556,0.999375,0.96,0.995,0.998,0.948333333333333
