"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.789072172988164,0.978674185863594,0.989538043478261,0.984347826086956,0.765,0.973341595885665,0.866592352092352
"P2RX7",0.8054937429554,0.980323019076418,0.989873188405797,0.985942028985507,0.78,0.974994924587981,0.879297313797314
"ICAM1",0.803980220423354,0.979687348393905,0.989221014492754,0.982463768115942,0.8,0.977220196187684,0.858051587301587
"HIF1A",0.789618856341702,0.979157085440067,0.988786231884058,0.985942028985507,0.75875,0.972720758567916,0.872917748917749
"MMP9",0.797191490662775,0.980144456474547,0.990289855072464,0.988695652173913,0.75125,0.972026655373392,0.899266955266955
"OLFM4",0.807897592057658,0.980712045932791,0.990126811594203,0.986086956521739,0.785,0.975663488767714,0.879512265512266
"GATA3",0.78636759850615,0.979052915510444,0.99018115942029,0.98768115942029,0.74125,0.970797600274098,0.886669552669553
"CCL2",0.809525859339282,0.980846988114079,0.990226449275362,0.985797101449275,0.79,0.976174654343728,0.87684126984127
"CALCA",0.788679796498219,0.97883780639942,0.989528985507246,0.984347826086957,0.7675,0.973663842032352,0.862851731601732
"IFNG",0.822445602955454,0.982153644325791,0.990833333333333,0.987971014492754,0.79375,0.976628576686649,0.896278499278499
"MAPK14",0.784270768707968,0.978484975221496,0.988777173913043,0.984347826086957,0.76125,0.972931449635648,0.859867604617605
"IL1R2",0.789000816071818,0.978501091396497,0.989347826086956,0.984057971014493,0.765,0.973358596814688,0.868738455988456
"MMP8",0.796246942368985,0.97930383013129,0.988695652173913,0.983623188405797,0.7825,0.97525766063203,0.859909451659452
"ARG1",0.77770186249208,0.977762512850851,0.989384057971014,0.984057971014493,0.75125,0.971833561548425,0.859777777777778
"CCR2",0.798844549738936,0.980020477319968,0.989682971014493,0.98695652173913,0.765,0.973432440977884,0.884415223665224
"TNFSF10",0.819002314680321,0.982024638336371,0.991902173913043,0.987826086956522,0.7925,0.976475468628827,0.889954906204906
"TREM1",0.803740826488255,0.980104244341128,0.989990942028986,0.98463768115942,0.7875,0.975867031771935,0.869354978354979
"IL1B",0.791992355860735,0.979520463229485,0.989936594202899,0.985942028985507,0.765,0.973388008587933,0.869343795093795
"CCR7",0.788280230678732,0.979350165586112,0.988496376811594,0.987101449275362,0.75125,0.972007639054249,0.880458152958153
"LBP",0.793914127637537,0.979248859231693,0.988903985507246,0.983623188405797,0.78125,0.975125075013374,0.856352092352093
"CCL25",0.780979985213941,0.978365018167249,0.98929347826087,0.984927536231884,0.75375,0.97216709856464,0.862944444444445
"CRP",0.792028107288791,0.979210186169468,0.990498188405797,0.985072463768116,0.7675,0.973698745617122,0.869712121212121
"IL6",0.781107884004338,0.978049670724736,0.988704710144928,0.98463768115942,0.75125,0.971812574376696,0.866514790764791
"IL10",0.758396386928573,0.976389996670302,0.98776268115942,0.983768115942029,0.72875,0.969406828245591,0.849866883116883
"TLR4",0.774171456290065,0.977471259538992,0.987282608695652,0.983478260869565,0.75125,0.971727935973354,0.850567460317461
"TLR2",0.800712379516262,0.980319491344203,0.989936594202899,0.986666666666667,0.7725,0.974321564771292,0.880295454545455
"S100A8",0.801585670603994,0.980569046002938,0.990634057971014,0.988550724637681,0.76,0.972988298756102,0.897478354978355
"LCN2",0.795010959187979,0.979496985571836,0.990072463768116,0.98536231884058,0.77,0.97396176230024,0.872857142857143
"NOTCH1",0.797567063383327,0.979960680315653,0.991648550724638,0.985942028985507,0.7725,0.974394566955793,0.877727994227994
"FCGR1A",0.764817597902571,0.977122483336173,0.988351449275362,0.98536231884058,0.7275,0.969259465816696,0.860914141414142
"VCAM1",0.795432159814942,0.979567534701652,0.990307971014493,0.985652173913043,0.76875,0.973780393994706,0.873089826839827
"NLRP3",0.789570002515161,0.979004074359457,0.989085144927536,0.985942028985507,0.75625,0.972413436596687,0.876890692640693
"S100A9",0.756362747059291,0.97593606157485,0.988269927536232,0.983623188405797,0.7225,0.968674137290803,0.853583333333333
"S100A12",0.800643628171507,0.980496565177374,0.989836956521739,0.988260869565217,0.76125,0.973108968092196,0.893077922077922
"PTX3",0.79843486150171,0.979518931403484,0.989057971014493,0.984202898550725,0.78125,0.975143815810612,0.865639610389611
"CX3CR1",0.784141784508412,0.978660995275261,0.990163043478261,0.984927536231884,0.75875,0.972741279114394,0.86333621933622
"CXCL10",0.784103082271331,0.969088119249333,0.979121376811594,0.974057971014493,0.765,0.964390494235497,0.853575396825397
"CXCL8",0.806336166380995,0.980399219450933,0.990498188405797,0.985652173913043,0.78375,0.97540442680912,0.876574314574315
"ITGAM",0.797959935416398,0.979929681578852,0.989329710144928,0.986086956521739,0.77125,0.974026684413125,0.873621572871573
"CD14",0.792501316702659,0.979202509270608,0.988342391304348,0.984782608695652,0.77,0.97396795658261,0.869039682539683
"BCL2",0.798295289622523,0.980030557740799,0.990733695652174,0.986376811594203,0.77,0.974047008825483,0.879746031746032
"IFNB1",0.784637727657746,0.978477683458365,0.98945652173913,0.983478260869565,0.76875,0.973819556735671,0.85602417027417
"C3AR1",0.784364361062286,0.97832938185101,0.988659420289855,0.983333333333333,0.7675,0.973651334928024,0.855895743145743
"CCL19",0.800815865313906,0.979998164733029,0.990715579710145,0.985942028985507,0.77375,0.974427119744457,0.880404761904762
"MYD88",0.820167360834437,0.981864291129529,0.990951086956522,0.987536231884058,0.7925,0.976516398422513,0.895356060606061
"SOCS3",0.803787363983864,0.980347905455431,0.990389492753623,0.985652173913043,0.7825,0.975305748378327,0.872784271284271
"IFNA2",0.787962934518093,0.978928911566919,0.989909420289855,0.985072463768116,0.7625,0.973110491024455,0.8658556998557
"PDCD1",0.785432943332953,0.97898015643944,0.988650362318841,0.987101449275362,0.745,0.971251967437928,0.882510461760462
"HMGB1",0.804667959844567,0.980332210926112,0.99125,0.98463768115942,0.79125,0.976341396782066,0.866310245310245
"C5AR1",0.790793993269907,0.979232832212284,0.989891304347826,0.986231884057971,0.7575,0.972607214209345,0.878364718614719
"ELANE",0.777603456865237,0.978172857530464,0.98901268115942,0.985507246376812,0.745,0.971185689175137,0.865464285714286
"IFNA1",0.797241707334892,0.979372275030485,0.988795289855072,0.983768115942029,0.7825,0.975269321796388,0.86208621933622
"HLA.DRA",0.830435081067402,0.982702382278922,0.992355072463768,0.987101449275362,0.81125,0.97862980358004,0.894758824508825
"CD177",0.772677177439032,0.977343186451207,0.98875,0.98304347826087,0.7525,0.972055665788415,0.854263708513709
"TNF",0.787885563855098,0.979196405491266,0.990271739130435,0.987536231884058,0.745,0.971237379019554,0.886869047619048
