"Feature","Mean_Importance"
"IL10",29.7483569971566
"FCGR1A",28.5080951813706
"S100A9",26.294910846126
"S100A12",21.9158846176392
"GATA3",21.2045154693875
"S100A8",17.7619032295606
"CD177",14.6961284329384
"BCL2",10.748122277887
"MYD88",9.77028429926379
"C3AR1",9.26987555264658
"TNFSF10",6.49018533864647
"ITGAM",5.92935562277966
"IL1R2",5.88889580312687
"SOCS3",5.52773987778637
"MAPK14",5.26797806634384
"MMP9",3.27203120150013
"CCR7",3.2021808511765
"ARG1",2.98964122907711
"TREM1",2.96051899518418
"CCR2",2.43638792994726
"PDCD1",2.09064489197083
"CXCL10",1.97341390540518
"MMP8",1.96266432019155
"NOTCH1",1.82477064888669
"C5AR1",1.78110814380296
"P2RX7",1.70731625017791
"CXCL8",1.63592734644493
"HMGB1",1.55879547343766
"IFNG",1.54686292296314
"PLAUR",1.38679649106059
"ICAM1",1.35245767860126
"CD14",1.18814680250193
"HLA.DRA",1.10937558231834
"TLR2",1.10048703074712
"NLRP3",1.06654613303238
"LCN2",1.02130267541219
"IL1B",0.981575102070337
"TLR4",0.895182399318832
"CCL25",0.844242902693793
"ELANE",0.534788362281375
"HIF1A",0.426996856622475
"CX3CR1",0.409886967454572
"PTX3",0.379301047798005
"OLFM4",0.358872460841604
"CCL2",0.306177507461757
"TNF",0.297279975587174
"VCAM1",0.193614886516388
"IL6",0.184791518024987
"LBP",0.0989905617675483
"CCL19",0.0975450605179201
"IFNB1",0.0776079234217601
"CALCA",0.0296708869098326
"CRP",0.00875183332736081
