"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.889942323252328,0.988250129172903,0.994130434782609,0.987391304347826,0.90625,0.989256084214311,0.900787518037518
"NLRP3",0.893675699831817,0.988605830375031,0.993722826086957,0.987536231884058,0.91125,0.989805324241001,0.902054473304473
"CCR7",0.892884573995473,0.988700783449106,0.99356884057971,0.988550724637681,0.90375,0.988987001842076,0.908137806637807
"CRP",0.892678810755385,0.988623657596683,0.994230072463768,0.988550724637681,0.9025,0.988836098982463,0.909257936507937
"MAPK14",0.891856816296503,0.988470203586368,0.993260869565217,0.987826086956522,0.90625,0.989260450994704,0.904137806637807
"CX3CR1",0.891320811680923,0.988474465451049,0.993958333333333,0.987826086956522,0.90625,0.989256502906434,0.902751803751804
"ELANE",0.895447850277468,0.988913466309866,0.993677536231884,0.988695652173913,0.90625,0.989273018178033,0.910459235209235
"FCGR1A",0.900958236384228,0.989406763122132,0.99213768115942,0.987971014492754,0.92125,0.990963506804592,0.904725108225108
"GATA3",0.889418986727064,0.988258594810646,0.994465579710145,0.987971014492754,0.90125,0.988692937216381,0.904829365079365
"HIF1A",0.895425515634729,0.988909380154864,0.994338768115942,0.988405797101449,0.90875,0.989535881497584,0.907436507936508
"HLA.DRA",0.894160790616904,0.988683997873915,0.993867753623188,0.987971014492754,0.90875,0.9895383201347,0.905688311688312
"HMGB1",0.892520849762221,0.988624698556703,0.993913043478261,0.988550724637681,0.9025,0.988836337412189,0.908824314574315
"ICAM1",0.891226968268841,0.988478654607371,0.993333333333333,0.987971014492754,0.905,0.989127846912499,0.904119047619048
"IFNB1",0.892734589907709,0.988618388756116,0.994338768115942,0.988115942028986,0.90625,0.989250344747673,0.905185425685426
"IFNG",0.891865728594108,0.988549607030725,0.993215579710145,0.987971014492754,0.90625,0.989260521751727,0.903730158730159
"IL1B",0.896010429866674,0.988987587400172,0.994375,0.988695652173913,0.9075,0.989415814426967,0.910130952380953
"IL6",0.887971883950114,0.988029102501329,0.993922101449275,0.987246376811594,0.90375,0.988951842265704,0.899556998556999
"CXCL8",0.891401075663097,0.988473593290488,0.994148550724638,0.988115942028986,0.90375,0.988954042638342,0.905349206349206
"IL10",0.883719363602339,0.987434333951258,0.992626811594203,0.985797101449275,0.90625,0.989241403479343,0.890212842712843
"CXCL10",0.88958076811506,0.988415306150741,0.993849637681159,0.988260869565217,0.90125,0.988689164673373,0.904246031746032
"ITGAM",0.892247752241195,0.988545512218467,0.994067028985507,0.987826086956522,0.9075,0.989395409970479,0.903276695526696
"ARG1",0.888839624457091,0.988262893763414,0.993496376811594,0.987971014492754,0.90125,0.988687205622303,0.90324494949495
"LBP",0.888772410765135,0.988101038042814,0.994202898550725,0.98695652173913,0.9075,0.989391070603233,0.897324314574315
"LCN2",0.893518051323349,0.988609869523394,0.994248188405797,0.987971014492754,0.9075,0.989391001517892,0.905771284271284
"MMP8",0.891114212258118,0.988397999258452,0.993813405797101,0.987826086956522,0.905,0.989127533944245,0.90420670995671
"MMP9",0.889165434040294,0.988178199876707,0.994103260869565,0.987391304347826,0.905,0.989106281058058,0.900697330447331
"MYD88",0.891711817571067,0.988468415853183,0.994673913043478,0.987536231884058,0.90875,0.989522089177684,0.900757936507937
"NOTCH1",0.888412502817105,0.9880257836342,0.99393115942029,0.987101449275362,0.905,0.989106822610409,0.899553391053391
"P2RX7",0.889431463295172,0.98817098288987,0.994076086956522,0.987246376811594,0.90625,0.989227958039631,0.899342712842713
"PDCD1",0.889118641159684,0.988263793731208,0.993985507246377,0.987971014492754,0.90125,0.988707280461791,0.90440367965368
"PLAUR",0.896130170977234,0.988983375124455,0.994320652173913,0.988840579710145,0.90625,0.989256546064697,0.911348124098124
"TREM1",0.892061696185949,0.988466002208389,0.993405797101449,0.98768115942029,0.9075,0.989392899840288,0.903181457431458
"CD177",0.897683411730819,0.989045668548838,0.994067028985507,0.987971014492754,0.915,0.99026658960937,0.905898629148629
"PTX3",0.889779848618088,0.988331716909762,0.993813405797101,0.987971014492754,0.9025,0.988821595783299,0.903690476190476
"BCL2",0.888687451686156,0.988102104876542,0.994148550724638,0.987101449275362,0.90625,0.989245896764716,0.898400793650794
"S100A8",0.897824506934835,0.989207653147829,0.991784420289855,0.989275362318841,0.90625,0.989271186214384,0.914420634920635
"S100A9",0.901417772830702,0.989481857656086,0.993922101449275,0.988985507246377,0.91375,0.99009339853425,0.912979076479077
"S100A12",0.891604111160275,0.988389910726602,0.993822463768116,0.98768115942029,0.90625,0.989240096986597,0.903550505050505
"CCL2",0.887156372585141,0.987960343962863,0.994076086956522,0.98695652173913,0.905,0.989109266547101,0.897002886002886
"CCL19",0.892965846607591,0.988534913725507,0.994211956521739,0.98768115942029,0.90875,0.989526169070511,0.90337987012987
"CCL25",0.889219020791354,0.98817826350379,0.994003623188406,0.987536231884058,0.90375,0.988964283262912,0.901962121212121
