"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
0.881369158867553,0.985294117647059,0.994565217391304,0.971014492753623,1,1,0.8
0.78065375798434,0.97841726618705,0.994565217391304,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.803473635250335,0.978102189781022,0.995471014492754,0.971014492753623,0.875,0.985294117647059,0.777777777777778
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,0.993659420289855,1,0.875,0.985714285714286,1
0.928708781050335,0.992805755395683,0.989130434782609,1,0.875,0.985714285714286,1
0.78065375798434,0.97841726618705,0.983695652173913,0.985507246376812,0.75,0.971428571428571,0.857142857142858
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.881369158867553,0.985294117647059,0.998188405797101,0.971014492753623,1,1,0.8
0.803473635250335,0.978102189781022,0.968297101449275,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.78065375798434,0.97841726618705,0.990036231884058,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.860507246376812,0.985507246376812,0.978260869565217,0.985507246376812,0.875,0.985507246376812,0.875
0.853740733148313,0.985714285714286,0.965579710144927,1,0.75,0.971830985915493,1
0.928708781050335,0.992805755395683,0.993659420289855,1,0.875,0.985714285714286,1
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,0.984601449275362,1,0.875,0.985714285714286,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.860507246376812,0.985507246376812,0.990942028985507,0.985507246376812,0.875,0.985507246376812,0.875
0.773923984208613,0.978723404255319,0.994565217391304,1,0.625,0.958333333333333,1
0.935952157550712,0.992700729927007,0.996376811594203,0.985507246376812,1,1,0.888888888888889
0.860507246376812,0.985507246376812,0.992753623188406,0.985507246376812,0.875,0.985507246376812,0.875
0.860507246376812,0.985507246376812,0.998188405797101,0.985507246376812,0.875,0.985507246376812,0.875
0.928708781050335,0.992805755395683,0.997282608695652,1,0.875,0.985714285714286,1
0.935952157550712,0.992700729927007,0.998188405797101,0.985507246376812,1,1,0.888888888888889
0.935952157550712,0.992700729927007,0.994565217391304,0.985507246376812,1,1,0.888888888888889
0.881369158867553,0.985294117647059,1,0.971014492753623,1,1,0.8
0.721014492753623,0.971014492753623,0.976449275362319,0.971014492753623,0.75,0.971014492753623,0.75
0.803473635250335,0.978102189781022,0.992753623188406,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.935952157550712,0.992700729927007,0.998188405797101,0.985507246376812,1,1,0.888888888888889
0.928708781050335,0.992805755395683,0.998188405797101,1,0.875,0.985714285714286,1
0.881369158867553,0.985294117647059,0.994565217391304,0.971014492753623,1,1,0.8
0.860507246376812,0.985507246376812,0.971920289855073,0.985507246376812,0.875,0.985507246376812,0.875
0.773923984208613,0.978723404255319,0.995471014492754,1,0.625,0.958333333333333,1
0.860507246376812,0.985507246376812,0.998188405797101,0.985507246376812,0.875,0.985507246376812,0.875
0.78065375798434,0.97841726618705,0.971014492753623,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.803473635250335,0.978102189781022,0.994565217391304,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.935952157550712,0.992700729927007,0.998188405797101,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
1,1,1,1,1,1,1
0.803473635250335,0.978102189781022,0.985507246376812,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
0.935952157550712,0.992700729927007,0.998188405797101,0.985507246376812,1,1,0.888888888888889
0.928708781050335,0.992805755395683,1,1,0.875,0.985714285714286,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
1,1,1,1,1,1,1
0.860507246376812,0.985507246376812,0.988224637681159,0.985507246376812,0.875,0.985507246376812,0.875
0.881369158867553,0.985294117647059,1,0.971014492753623,1,1,0.8
0.78065375798434,0.97841726618705,0.980072463768116,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.935952157550712,0.992700729927007,0.996376811594203,0.985507246376812,1,1,0.888888888888889
0.860507246376812,0.985507246376812,0.996376811594203,0.985507246376812,0.875,0.985507246376812,0.875
0.860507246376812,0.985507246376812,0.996376811594203,0.985507246376812,0.875,0.985507246376812,0.875
0.803473635250335,0.978102189781022,0.989130434782609,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.78065375798434,0.97841726618705,0.990942028985507,0.985507246376812,0.75,0.971428571428571,0.857142857142858
1,1,1,1,1,1,1
0.803473635250335,0.978102189781022,0.992753623188406,0.971014492753623,0.875,0.985294117647059,0.777777777777778
0.78065375798434,0.97841726618705,0.992753623188406,0.985507246376812,0.75,0.971428571428571,0.857142857142858
0.860507246376812,0.985507246376812,0.996376811594203,0.985507246376812,0.875,0.985507246376812,0.875
0.834057656228299,0.977777777777778,0.992753623188406,0.956521739130435,1,1,0.727272727272728
0.853740733148313,0.985714285714286,0.990942028985507,1,0.75,0.971830985915493,1
1,1,1,1,1,1,1
0.853740733148313,0.985714285714286,0.981884057971015,1,0.75,0.971830985915493,1
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.860507246376812,0.985507246376812,0.978260869565217,0.985507246376812,0.875,0.985507246376812,0.875
0.632598734918344,0.964028776978417,0.981884057971015,0.971014492753623,0.625,0.957142857142857,0.714285714285714
0.935952157550712,0.992700729927007,1,0.985507246376812,1,1,0.888888888888889
0.935952157550712,0.992700729927007,0.994565217391304,0.985507246376812,1,1,0.888888888888889
