"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",-0.142083933528928,0.475253837832893,0.613075757575758,0.682,0.196363636363636,0.365908283269273,0.46659768009768
"P2RX7",-0.131779949850928,0.474371171753119,0.604166666666667,0.674666666666667,0.209545454545455,0.367007144543278,0.481613386613387
"ICAM1",-0.12374982375356,0.47716631783104,0.602575757575758,0.679333333333333,0.212272727272727,0.369172448825909,0.487561229620053
"HIF1A",-0.118684341632381,0.480454524219596,0.595060606060606,0.681333333333333,0.216818181818182,0.372225020990055,0.486983945792769
"MMP9",-0.113123602259749,0.47615066009494,0.592469696969697,0.674,0.221818181818182,0.369466809370975,0.507483612792436
"OLFM4",-0.13871830113358,0.474865713646392,0.603409090909091,0.681333333333333,0.199090909090909,0.366088246385828,0.470839122951352
"GATA3",-0.123004793354235,0.47724420330103,0.605045454545455,0.678,0.214090909090909,0.369630946422392,0.488767218892219
"CCL2",-0.178963926834953,0.45682890719744,0.620454545454545,0.649333333333333,0.194090909090909,0.353466377010229,0.439680666555667
"CALCA",-0.141604751426741,0.468497629513579,0.602151515151515,0.662,0.214090909090909,0.364053922356283,0.471754578754579
"IFNG",-0.1445604908374,0.468504483432443,0.608909090909091,0.664666666666667,0.207727272727273,0.363071023141283,0.472174630924631
"MAPK14",-0.136030811242217,0.470409772702173,0.615212121212121,0.665333333333333,0.215,0.365217215166725,0.478597999222999
"IL1R2",-0.122154419054763,0.476341336907298,0.609954545454545,0.674666666666667,0.216818181818182,0.369502859049136,0.492263499572323
"MMP8",-0.119858675029753,0.481481729543306,0.600712121212121,0.686666666666667,0.210909090909091,0.37204424808449,0.48609632034632
"ARG1",-0.137764800774623,0.472084283952197,0.609560606060606,0.667333333333333,0.213636363636364,0.366657438062194,0.47184635978057
"CCR2",-0.148021438819929,0.473860872572587,0.610166666666667,0.68,0.193181818181818,0.364575621871519,0.461024836274836
"TNFSF10",-0.140579499718566,0.475416930667306,0.599318181818182,0.681333333333333,0.198636363636364,0.366504678449376,0.466387209196033
"TREM1",-0.132769151754696,0.470530759216615,0.612106060606061,0.665333333333333,0.215454545454545,0.365238576175186,0.486420551670552
"IL1B",-0.164628409977543,0.461386876710924,0.619984848484848,0.656666666666667,0.198636363636364,0.357217011304309,0.454356693959635
"CCR7",-0.164141127226839,0.456710068995904,0.618393939393939,0.641333333333333,0.213636363636364,0.356419865425261,0.455072691197691
"LBP",-0.147486369088463,0.467402396766881,0.620318181818182,0.662,0.209090909090909,0.362613821596447,0.466958902208902
"CCL25",-0.140927689880891,0.466518973901525,0.607181818181818,0.657333333333333,0.218636363636364,0.363302720345357,0.474156945179004
"CRP",-0.161736878971157,0.461099560042815,0.613227272727273,0.652666666666667,0.204090909090909,0.357680540234388,0.458573126220185
"IL6",-0.154954331121185,0.461104085657018,0.620181818181818,0.65,0.211818181818182,0.358644655034816,0.466238138495491
"IL10",-0.106216273015544,0.480864928240765,0.5985,0.678,0.228636363636364,0.373856908049632,0.503399905649906
"TLR4",-0.136122085767935,0.470312486205905,0.605272727272727,0.666,0.213181818181818,0.364912352465654,0.480669205794206
"TLR2",-0.148336121889594,0.464407833542092,0.60219696969697,0.653333333333333,0.215909090909091,0.36193140251763,0.467933352595117
"LCN2",-0.143269808735587,0.46632982580872,0.614469696969697,0.66,0.210454545454545,0.36167599296435,0.479371174577057
"NOTCH1",-0.147454128450257,0.466985233991373,0.602424242424242,0.664666666666667,0.205454545454545,0.36148877885372,0.470006812631813
"FCGR1A",-0.158292408190556,0.464381084699926,0.617560606060606,0.66,0.200454545454545,0.359225941826376,0.459906815406815
"VCAM1",-0.117723100676024,0.473732852060544,0.606060606060606,0.665333333333333,0.228636363636364,0.36934734866844,0.499183551742375
"NLRP3",-0.0799582646308455,0.491834668293145,0.583363636363636,0.698,0.230454545454545,0.381398335912711,0.528777361527361
