"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.52,0.551020408163265,0.56,0.54,0.54,0.54,0.54
"P2RX7",0.64,0.673469387755102,0.68,0.66,0.66,0.66,0.66
"ICAM1",0.6,0.63265306122449,0.64,0.62,0.62,0.62,0.62
"HIF1A",0.53,0.53,0.53,0.53,0.53,0.53,0.53
"MMP9",0.63,0.63,0.63,0.63,0.63,0.63,0.63
"OLFM4",0.59,0.606060606060606,0.61,0.6,0.6,0.6,0.6
"GATA3",0.43,0.459183673469388,0.47,0.45,0.45,0.45,0.45
"CCL2",0.44,0.454545454545455,0.46,0.45,0.45,0.45,0.45
"CALCA",0.56,0.591836734693878,0.6,0.58,0.58,0.58,0.58
"IFNG",0.61,0.61,0.61,0.61,0.61,0.61,0.61
"MAPK14",0.59,0.606060606060606,0.61,0.6,0.6,0.6,0.6
"IL1R2",0.5,0.530612244897959,0.54,0.52,0.52,0.52,0.52
"MMP8",0.54,0.587628865979381,0.6,0.57,0.57,0.57,0.57
"ARG1",0.65,0.666666666666667,0.67,0.66,0.66,0.66,0.66
"CCR2",0.58,0.595959595959596,0.6,0.59,0.59,0.59,0.59
"TNFSF10",0.55,0.565656565656566,0.57,0.56,0.56,0.56,0.56
"TREM1",0.6,0.6,0.6,0.6,0.6,0.6,0.6
"IL1B",0.63,0.646464646464647,0.65,0.64,0.64,0.64,0.64
"CCR7",0.63,0.697916666666667,0.71,0.67,0.67,0.67,0.67
"LBP",0.5,0.530612244897959,0.54,0.52,0.52,0.52,0.52
"CCL25",0.66,0.676767676767677,0.68,0.67,0.67,0.67,0.67
"CRP",0.55,0.565656565656566,0.57,0.56,0.56,0.56,0.56
"IL6",0.55,0.597938144329897,0.61,0.58,0.58,0.58,0.58
"IL10",0.62,0.653061224489796,0.66,0.64,0.64,0.64,0.64
"TLR4",0.54,0.555555555555556,0.56,0.55,0.55,0.55,0.55
"TLR2",0.54,0.604166666666667,0.62,0.58,0.58,0.58,0.58
"S100A8",0.62,0.636363636363636,0.64,0.63,0.63,0.63,0.63
"LCN2",0.54,0.54,0.54,0.54,0.54,0.54,0.54
"NOTCH1",0.62,0.62,0.62,0.62,0.62,0.62,0.62
"FCGR1A",0.61,0.642857142857143,0.65,0.63,0.63,0.63,0.63
"VCAM1",0.58,0.595959595959596,0.6,0.59,0.59,0.59,0.59
"NLRP3",0.68,0.68,0.68,0.68,0.68,0.68,0.68
"S100A9",0.61,0.642857142857143,0.65,0.63,0.63,0.63,0.63
"S100A12",0.67,0.67,0.67,0.67,0.67,0.67,0.67
"PTX3",0.56,0.56,0.56,0.56,0.56,0.56,0.56
"CX3CR1",0.44,0.5,0.52,0.48,0.48,0.48,0.48
"CXCL10",0.57,0.618556701030928,0.63,0.6,0.6,0.6,0.6
"CXCL8",0.64,0.64,0.64,0.64,0.64,0.64,0.64
"ITGAM",0.59,0.606060606060606,0.61,0.6,0.6,0.6,0.6
"CD14",0.5,0.530612244897959,0.54,0.52,0.52,0.52,0.52
"BCL2",0.47,0.484848484848485,0.49,0.48,0.48,0.48,0.48
"IFNB1",0.68,0.68,0.68,0.68,0.68,0.68,0.68
"C3AR1",0.64,0.64,0.64,0.64,0.64,0.64,0.64
"CCL19",0.61,0.626262626262626,0.63,0.62,0.62,0.62,0.62
"MYD88",0.54,0.555555555555556,0.56,0.55,0.55,0.55,0.55
"SOCS3",0.53,0.545454545454545,0.55,0.54,0.54,0.54,0.54
"IFNA2",0.58,0.612244897959184,0.62,0.6,0.6,0.6,0.6
"PDCD1",0.62,0.62,0.62,0.62,0.62,0.62,0.62
"HMGB1",0.68,0.696969696969697,0.7,0.69,0.69,0.69,0.69
"C5AR1",0.57,0.585858585858586,0.59,0.58,0.58,0.58,0.58
"ELANE",0.6,0.616161616161616,0.62,0.61,0.61,0.61,0.61
"IFNA1",0.66,0.676767676767677,0.68,0.67,0.67,0.67,0.67
"HLA.DRA",0.62,0.636363636363636,0.64,0.63,0.63,0.63,0.63
"CD177",0.63,0.646464646464647,0.65,0.64,0.64,0.64,0.64
"TNF",0.48,0.510204081632653,0.52,0.5,0.5,0.5,0.5
