"Feature","Mean_Importance"
"CX3CR1",0.283504523809524
"CCL2",0.21604
"CD177",0.198746428571429
"BCL2",0.195992857142857
"TREM1",0.163174761904762
"IL1R2",0.15123380952381
"S100A12",0.143657380952381
"IFNG",0.133654285714286
"MMP9",0.119197142857143
"S100A8",0.116171904761905
"HLA.DRA",0.11215619047619
"ITGAM",0.110082857142857
"CCR2",0.098035
"S100A9",0.0979252380952381
"CXCL10",0.0885402380952381
"ARG1",0.0845797619047619
"VCAM1",0.0790561904761905
"TNFSF10",0.0773171428571429
"PLAUR",0.0628819047619048
"PDCD1",0.0528809523809524
"P2RX7",0.0487804761904762
"TLR2",0.0469254761904762
"MAPK14",0.0467083333333333
"GATA3",0.0446352380952381
"MYD88",0.0436738095238095
"NOTCH1",0.0432916666666667
"SOCS3",0.0417564285714286
"HIF1A",0.0415952380952381
"CCR7",0.040217380952381
"C3AR1",0.0378669047619048
"CD14",0.0375802380952381
"C5AR1",0.0352692857142857
"FCGR1A",0.0349683333333333
"IL1B",0.0334488095238095
"ICAM1",0.0332030952380952
"LCN2",0.0322764285714286
"CXCL8",0.031185
"TLR4",0.0305380952380952
"MMP8",0.0300919047619048
"PTX3",0.02912
"OLFM4",0.0268364285714286
"NLRP3",0.0257671428571429
"ELANE",0.025382619047619
"HMGB1",0.0236335714285714
"TNF",0.0230871428571429
"IL10",0.023085
"IL6",0.0182092857142857
"CCL25",0.0181880952380952
