"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.51,0.556701030927835,0.57,0.54,0.54,0.54,0.54
"NLRP3",0.48,0.510204081632653,0.52,0.5,0.5,0.5,0.5
"CCR7",0.54,0.604166666666667,0.62,0.58,0.58,0.58,0.58
"MAPK14",0.44,0.484536082474227,0.5,0.47,0.47,0.47,0.47
"CX3CR1",0.42,0.51063829787234,0.54,0.48,0.48,0.48,0.48
"ELANE",0.48,0.541666666666667,0.56,0.52,0.52,0.52,0.52
"FCGR1A",0.54,0.54,0.54,0.54,0.54,0.54,0.54
"GATA3",0.47,0.515463917525773,0.53,0.5,0.5,0.5,0.5
"HIF1A",0.54,0.54,0.54,0.54,0.54,0.54,0.54
"HLA.DRA",0.4,0.48936170212766,0.52,0.46,0.46,0.46,0.46
"HMGB1",0.45,0.526315789473684,0.55,0.5,0.5,0.5,0.5
"ICAM1",0.52,0.56701030927835,0.58,0.55,0.55,0.55,0.55
"IFNG",0.53,0.53,0.53,0.53,0.53,0.53,0.53
"IL1B",0.52,0.583333333333333,0.6,0.56,0.56,0.56,0.56
"IL6",0.48,0.525773195876289,0.54,0.51,0.51,0.51,0.51
"CXCL8",0.55,0.581632653061224,0.59,0.57,0.57,0.57,0.57
"IL10",0.51,0.556701030927835,0.57,0.54,0.54,0.54,0.54
"CXCL10",0.5,0.5625,0.58,0.54,0.54,0.54,0.54
"ITGAM",0.55,0.581632653061224,0.59,0.57,0.57,0.57,0.57
"ARG1",0.5,0.578947368421053,0.6,0.55,0.55,0.55,0.55
"LCN2",0.52,0.551020408163265,0.56,0.54,0.54,0.54,0.54
"MMP8",0.47,0.484848484848485,0.49,0.48,0.48,0.48,0.48
"MMP9",0.47,0.563829787234043,0.59,0.53,0.53,0.53,0.53
"MYD88",0.51,0.525252525252525,0.53,0.52,0.52,0.52,0.52
"NOTCH1",0.53,0.577319587628866,0.59,0.56,0.56,0.56,0.56
"P2RX7",0.52,0.56701030927835,0.58,0.55,0.55,0.55,0.55
"PDCD1",0.48,0.541666666666667,0.56,0.52,0.52,0.52,0.52
"PLAUR",0.52,0.52,0.52,0.52,0.52,0.52,0.52
"TREM1",0.48,0.510204081632653,0.52,0.5,0.5,0.5,0.5
"CD177",0.52,0.551020408163265,0.56,0.54,0.54,0.54,0.54
"PTX3",0.46,0.520833333333333,0.54,0.5,0.5,0.5,0.5
"BCL2",0.53,0.59375,0.61,0.57,0.57,0.57,0.57
"S100A8",0.48,0.525773195876289,0.54,0.51,0.51,0.51,0.51
"S100A9",0.55,0.55,0.55,0.55,0.55,0.55,0.55
"S100A12",0.48,0.541666666666667,0.56,0.52,0.52,0.52,0.52
"CCL2",0.44,0.548387096774194,0.58,0.51,0.51,0.51,0.51
"CCL25",0.5,0.530612244897959,0.54,0.52,0.52,0.52,0.52
"TLR2",0.51,0.556701030927835,0.57,0.54,0.54,0.54,0.54
"TLR4",0.52,0.583333333333333,0.6,0.56,0.56,0.56,0.56
"TNF",0.52,0.551020408163265,0.56,0.54,0.54,0.54,0.54
"C3AR1",0.46,0.536842105263158,0.56,0.51,0.51,0.51,0.51
"C5AR1",0.5,0.54639175257732,0.56,0.53,0.53,0.53,0.53
"CCR2",0.47,0.53125,0.55,0.51,0.51,0.51,0.51
"VCAM1",0.51,0.540816326530612,0.55,0.53,0.53,0.53,0.53
"IL1R2",0.48,0.525773195876289,0.54,0.51,0.51,0.51,0.51
"TNFSF10",0.49,0.536082474226804,0.55,0.52,0.52,0.52,0.52
"SOCS3",0.47,0.53125,0.55,0.51,0.51,0.51,0.51
"CD14",0.51,0.525252525252525,0.53,0.52,0.52,0.52,0.52
