"MeanDecreaseGini","Feature","Iteration"
0.0335,"OLFM4",1
0,"NLRP3",1
0.1225,"CCR7",1
0.129166666666667,"MAPK14",1
0.2025,"CX3CR1",1
0.0775,"ELANE",1
0.0508333333333333,"FCGR1A",1
0.0166666666666667,"GATA3",1
0.0775,"HIF1A",1
0.12,"HLA.DRA",1
0.0133333333333333,"HMGB1",1
0,"ICAM1",1
0.0975,"IFNG",1
0.1475,"IL1B",1
0.04,"IL6",1
0.0841666666666667,"CXCL8",1
0,"IL10",1
0.1415,"CXCL10",1
0.055,"ITGAM",1
0.0983333333333333,"ARG1",1
0.0975,"LCN2",1
0.016,"MMP8",1
0.0935,"MMP9",1
0.015,"MYD88",1
0.116666666666667,"NOTCH1",1
0,"P2RX7",1
0.138333333333333,"PDCD1",1
0,"PLAUR",1
0.182333333333333,"TREM1",1
0.144166666666667,"CD177",1
0.06,"PTX3",1
0.2375,"BCL2",1
0.0326666666666667,"S100A8",1
0.0216666666666667,"S100A9",1
0.0675,"S100A12",1
0.341666666666667,"CCL2",1
0.024,"CCL25",1
0.1715,"TLR2",1
0.0375,"TLR4",1
0.0375,"TNF",1
0.0316666666666667,"C3AR1",1
0,"C5AR1",1
0,"CCR2",1
0.105,"VCAM1",1
0.0375,"IL1R2",1
0,"TNFSF10",1
0.0208333333333333,"SOCS3",1
0.01,"CD14",1
0.024,"OLFM4",2
0.045,"NLRP3",2
0.104,"CCR7",2
0.0375,"MAPK14",2
0.326,"CX3CR1",2
0.0175,"ELANE",2
0,"FCGR1A",2
0.0208333333333333,"GATA3",2
0.024,"HIF1A",2
0.147,"HLA.DRA",2
0.0466666666666667,"HMGB1",2
0.0335,"ICAM1",2
0.111833333333333,"IFNG",2
0.0535,"IL1B",2
0.056,"IL6",2
0.218333333333333,"CXCL8",2
0,"IL10",2
0.0813095238095238,"CXCL10",2
0.243333333333333,"ITGAM",2
0.0615,"ARG1",2
0.0166666666666667,"LCN2",2
0.110666666666667,"MMP8",2
0.0375,"MMP9",2
0.0293333333333333,"MYD88",2
0.0375,"NOTCH1",2
0.0266666666666667,"P2RX7",2
0.03,"PDCD1",2
0.03,"PLAUR",2
0.1325,"TREM1",2
0.220166666666667,"CD177",2
0.0375,"PTX3",2
0.1905,"BCL2",2
0.106857142857143,"S100A8",2
0.069,"S100A9",2
0.1325,"S100A12",2
0.3025,"CCL2",2
0.0625,"CCL25",2
0.0175,"TLR2",2
0.04,"TLR4",2
0.06,"TNF",2
0.0375,"C3AR1",2
0.0808333333333333,"C5AR1",2
0,"CCR2",2
0,"VCAM1",2
0.0565,"IL1R2",2
0.0525,"TNFSF10",2
0.031,"SOCS3",2
0,"CD14",2
0.0175,"OLFM4",3
0,"NLRP3",3
0.03,"CCR7",3
0.0615,"MAPK14",3
0.375,"CX3CR1",3
0,"ELANE",3
0,"FCGR1A",3
0.0175,"GATA3",3
0,"HIF1A",3
0.199642857142857,"HLA.DRA",3
0,"HMGB1",3
0,"ICAM1",3
0.075,"IFNG",3
0.0175,"IL1B",3
0.0375,"IL6",3
0,"CXCL8",3
0,"IL10",3
0,"CXCL10",3
0.3075,"ITGAM",3
0.0775,"ARG1",3
0.0375,"LCN2",3
0,"MMP8",3
0.1425,"MMP9",3
0.0675,"MYD88",3
0.135,"NOTCH1",3
0.0675,"P2RX7",3
0.1075,"PDCD1",3
0.0375,"PLAUR",3
0.2275,"TREM1",3
0.2675,"CD177",3
0,"PTX3",3
0.0675,"BCL2",3
0.2,"S100A8",3
0,"S100A9",3
0.055,"S100A12",3
0.1075,"CCL2",3
0,"CCL25",3
0.0775,"TLR2",3
0.0535,"TLR4",3
0.075,"TNF",3
0.0128571428571429,"C3AR1",3
0.04,"C5AR1",3
0.1025,"CCR2",3
0,"VCAM1",3
0.3035,"IL1R2",3
0.055,"TNFSF10",3
0,"SOCS3",3
0.094,"CD14",3
0,"OLFM4",4
0.024,"NLRP3",4
0,"CCR7",4
0.04,"MAPK14",4
0.286,"CX3CR1",4
0,"ELANE",4
0.0375,"FCGR1A",4
0,"GATA3",4
0.06,"HIF1A",4
0.0775,"HLA.DRA",4
0.0225,"HMGB1",4
0.075,"ICAM1",4
0.0691666666666667,"IFNG",4
0.056,"IL1B",4
0,"IL6",4
0.016,"CXCL8",4
0,"IL10",4
0.0375,"CXCL10",4
0.199,"ITGAM",4
0.04,"ARG1",4
0,"LCN2",4
0,"MMP8",4
0.0475,"MMP9",4
0,"MYD88",4
0.04,"NOTCH1",4
0.0133333333333333,"P2RX7",4
0.0208333333333333,"PDCD1",4
0.209,"PLAUR",4
0.3825,"TREM1",4
0.24,"CD177",4
0.0535,"PTX3",4
0.209166666666667,"BCL2",4
0.0775,"S100A8",4
0.25,"S100A9",4
0.039,"S100A12",4
0.1585,"CCL2",4
0,"CCL25",4
0.03,"TLR2",4
0.0175,"TLR4",4
0,"TNF",4
0,"C3AR1",4
0.3075,"C5AR1",4
0.0375,"CCR2",4
0.274,"VCAM1",4
0.024,"IL1R2",4
0.0535,"TNFSF10",4
0.03,"SOCS3",4
0.0775,"CD14",4
0.0571428571428571,"OLFM4",5
0,"NLRP3",5
0.0375,"CCR7",5
0.016,"MAPK14",5
0.2525,"CX3CR1",5
0,"ELANE",5
0.078,"FCGR1A",5
0.159,"GATA3",5
0,"HIF1A",5
0.266,"HLA.DRA",5
0.016,"HMGB1",5
0,"ICAM1",5
0.075,"IFNG",5
0.075,"IL1B",5
0.0503571428571429,"IL6",5
0.0175,"CXCL8",5
0.04,"IL10",5
0.075,"CXCL10",5
0.2125,"ITGAM",5
0.1165,"ARG1",5
0,"LCN2",5
0.055,"MMP8",5
0.32,"MMP9",5
0.045,"MYD88",5
0.0375,"NOTCH1",5
0,"P2RX7",5
0,"PDCD1",5
0.115,"PLAUR",5
0.0775,"TREM1",5
0.086,"CD177",5
0,"PTX3",5
0.2575,"BCL2",5
0.0875,"S100A8",5
0.0825,"S100A9",5
0.0675,"S100A12",5
0.2575,"CCL2",5
0,"CCL25",5
0.1175,"TLR2",5
0,"TLR4",5
0,"TNF",5
0,"C3AR1",5
0,"C5AR1",5
0.0875,"CCR2",5
0.095,"VCAM1",5
0.145,"IL1R2",5
0.0375,"TNFSF10",5
0,"SOCS3",5
0,"CD14",5
0.0225,"OLFM4",6
0.03,"NLRP3",6
0.015,"CCR7",6
0.0225,"MAPK14",6
0.1825,"CX3CR1",6
0,"ELANE",6
0.160857142857143,"FCGR1A",6
0,"GATA3",6
0.0368333333333333,"HIF1A",6
0.064,"HLA.DRA",6
0,"HMGB1",6
0,"ICAM1",6
0.481,"IFNG",6
0,"IL1B",6
0,"IL6",6
0.07,"CXCL8",6
0.04,"IL10",6
0.055,"CXCL10",6
0.0466666666666667,"ITGAM",6
0.1825,"ARG1",6
0.0375,"LCN2",6
0.0828571428571429,"MMP8",6
0.0615,"MMP9",6
0.0171428571428571,"MYD88",6
0.0166666666666667,"NOTCH1",6
0.0375,"P2RX7",6
0.0346428571428571,"PDCD1",6
0.1365,"PLAUR",6
0.075,"TREM1",6
0.441,"CD177",6
0.0675,"PTX3",6
0.0978571428571429,"BCL2",6
0.075,"S100A8",6
0.0675,"S100A9",6
0.241,"S100A12",6
0.095,"CCL2",6
0.04,"CCL25",6
0.04,"TLR2",6
0,"TLR4",6
0.016,"TNF",6
0.0375,"C3AR1",6
0.015,"C5AR1",6
0.06,"CCR2",6
0.064,"VCAM1",6
0.1125,"IL1R2",6
0.03,"TNFSF10",6
0.0914761904761905,"SOCS3",6
0.0175,"CD14",6
0,"OLFM4",7
0.0375,"NLRP3",7
0,"CCR7",7
0.055,"MAPK14",7
0.2775,"CX3CR1",7
0.056,"ELANE",7
0,"FCGR1A",7
0.154,"GATA3",7
0,"HIF1A",7
0.18,"HLA.DRA",7
0.105,"HMGB1",7
0.04,"ICAM1",7
0.06,"IFNG",7
0.045,"IL1B",7
0.0465,"IL6",7
0,"CXCL8",7
0,"IL10",7
0.015,"CXCL10",7
0.0375,"ITGAM",7
0.115,"ARG1",7
0,"LCN2",7
0.03,"MMP8",7
0.175,"MMP9",7
0.016,"MYD88",7
0.0375,"NOTCH1",7
0.1125,"P2RX7",7
0.07,"PDCD1",7
0.0225,"PLAUR",7
0.23,"TREM1",7
0.2325,"CD177",7
0.03,"PTX3",7
0.287142857142857,"BCL2",7
0.055,"S100A8",7
0.04,"S100A9",7
0,"S100A12",7
0.2225,"CCL2",7
0,"CCL25",7
0.075,"TLR2",7
0.015,"TLR4",7
0,"TNF",7
0,"C3AR1",7
0.0128571428571429,"C5AR1",7
0.0925,"CCR2",7
0.055,"VCAM1",7
0.3275,"IL1R2",7
0.1075,"TNFSF10",7
0.0225,"SOCS3",7
0.0375,"CD14",7
0,"OLFM4",8
0,"NLRP3",8
0.0575,"CCR7",8
0.0375,"MAPK14",8
0.391666666666667,"CX3CR1",8
0.0175,"ELANE",8
0,"FCGR1A",8
0.135,"GATA3",8
0.0225,"HIF1A",8
0.255,"HLA.DRA",8
0,"HMGB1",8
0,"ICAM1",8
0.0375,"IFNG",8
0,"IL1B",8
0,"IL6",8
0.015,"CXCL8",8
0.0958333333333333,"IL10",8
0.0375,"CXCL10",8
0.22,"ITGAM",8
0.2,"ARG1",8
0,"LCN2",8
0,"MMP8",8
0.29,"MMP9",8
0,"MYD88",8
0.04,"NOTCH1",8
0.0883333333333333,"P2RX7",8
0.024,"PDCD1",8
0.08,"PLAUR",8
0.2475,"TREM1",8
0.1785,"CD177",8
0,"PTX3",8
0.09,"BCL2",8
0,"S100A8",8
0.0775,"S100A9",8
0.1425,"S100A12",8
0.1925,"CCL2",8
0,"CCL25",8
0,"TLR2",8
0.0775,"TLR4",8
