"Sample","OLFM4","NLRP3","CCR7","CRP","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNA1","IFNA2","IFNB1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LBP","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL19","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","CALCA","TNFSF10","SOCS3","CD14","Label"
"GSM6456143",135.882534312715,423.920960340866,310.82112639196,0,3092.75157438701,2306.74841183562,283.970086677471,3026.03080903586,277.460743716383,663.139314160856,4121.22776223894,2523.1840652918,1077.29626006009,0,0,0,58.5840866497934,1213.17879437281,0,506.915083094741,3.25467148054408,10.5776823117683,7592.3348962392,1091.94228172254,0.81366787013602,2580.14081620132,505.287747354468,10801.4409760557,7800.63387099402,4464.59560343634,165.988245507748,76.4847797927859,2683.47663570859,5702.18443391323,3707.07081633971,39.056057766529,307.566454911416,171727.858663688,408064.200887656,11489.8039941907,3.25467148054408,0,0,7999.16883130721,3989.41356727691,71.6027725719698,160.292570416796,9273.37271594022,255.49171122271,3.25467148054408,1387.30371858191,0,10355.5509832211,781.934823200715,8959.29691806772,"Control"
"GSM6456144",229.862666276219,227.962974819391,837.763932461262,0,1449.46458155996,1546.3488458582,1494.10733079543,718.083370681082,989.739249007523,448.327183811469,4332.24636729684,3758.53954733471,1700.22385386129,0,0,0,139.627322076877,237.461432103532,0,3855.42381163295,0,3.79938291365652,3325.40989517787,291.602638623138,0,7343.25732636963,650.644323963679,2483.84657980295,2305.27558286109,2632.02251343555,159.574082373574,127.279327607493,1984.22772665712,3655.00636293757,473.973018478651,69.3387381742315,938.44757967316,56594.6580360991,133355.490732159,6409.55897533855,2.84953718524239,1.89969145682826,8.54861155572716,2037.41908744831,916.601127919635,112.081795952867,122.530098965423,3237.07424243535,128.229173335907,0,1655.58110462583,0,1524.50239410468,997.338014834836,3615.11284234418,"Control"
"GSM6456145",42.6504023912489,1436.22750377973,422.53654462028,1.9837396461046,4840.32473649523,2116.65020239361,127.951207173747,8478.50324745107,231.105668771186,916.487716500326,8969.47880986196,2192.03230894558,7996.45451344765,0,0,0,34.7154438068305,2744.50380038572,0.991869823052301,10366.0315207196,9.91869823052301,55.5447100909288,8692.74712923036,242.016236824761,0,1557.23562219211,260.861763462755,8763.16988666708,7110.71476146194,6895.47900985959,472.130035772895,94.2276331899686,10132.9421123023,9979.2022897292,6367.80426399577,93.2357633669163,211.26827231014,180836.714269072,540250.663350304,15023.8522097732,2.9756094691569,0.991869823052301,0.991869823052301,8658.03168542353,3811.75572998999,303.512165854004,288.63411850822,13466.6165875811,619.918639407688,0.991869823052301,4961.33285490761,0,8090.68214663762,12033.3646932705,18555.9006496624,"Control"
"GSM6456146",34.8629529177109,722.406106360436,473.221721571551,0,3157.66909623529,1624.27069167433,16.0026669130476,608.672866514133,290.33409970815,1888.88621955794,8440.8352728143,3567.45167397297,1990.04593540114,0,0,0,55.4378103773436,682.399439077817,8.57285727484694,8046.48383817134,23.4324765512483,17.1457145496939,6813.70696204835,930.440776230055,0,197.747241139803,153.739907128922,7980.18707524586,4122.40130156473,4645.3455953304,309.765909531136,53.151715104051,1708.85621678616,6446.21714686658,3658.89548490468,97.7305729332552,737.265725636837,68945.2042995924,125814.681841835,14227.513933336,1.14304763664626,0,0,5182.57798455414,3429.7144337571,131.45047821432,562.37943722996,8259.09069858755,462.362769023412,5.7152381832313,5847.83170908226,0.57152381832313,1745.43374115884,2034.62479323034,4868.23988447642,"Control"
"GSM6456147",7.42759356482391,1242.2650237168,127.50702286281,0,1345.01340136353,5775.57296278099,32.8052049113056,1030.57860711932,240.158858595973,2372.49717783084,18153.65763856,2737.06822863761,1244.74088823841,0,0,0.618966130401992,74.2759356482391,547.785025405763,4.33276291281395,730.999000004753,7.42759356482391,1793.14487977457,3866.68141662125,50.1362565625614,0,85.417325995475,6.80862743442192,724.190372570331,7068.59320919075,3645.09154193733,807.7508001746,40.8517646065315,1493.56527266001,3500.25346742327,8.0465596952259,62.5155791706012,596.683349707521,24085.8290323327,57537.8535499084,1494.18423879041,522.407414059282,0,0.618966130401992,4542.59243102022,3303.42223795543,229.636434379139,790.419748523344,4896.64105761016,408.517646065315,5.57069517361793,415.945239630139,0,13416.7098425936,1059.05104911781,6414.96497548625,"Control"
"GSM6456148",421.274444478608,252.764666687165,330.538410283216,0,2127.97604005861,25.9245811986836,188465.22416913,3804.43229090682,278.689247885849,207.396649589469,1170.92691747388,1650.53166964952,1462.57845595907,0,0,0,6.4811452996709,92.8964159619495,0,88.5756524288356,0,15.1226723658988,9378.21724862379,978.652940250306,0,187331.023741688,855.511179556559,50306.6498160455,1581.3994531197,2274.88200018449,162.028632491772,95.0567977285065,2601.09964693459,13381.4046620538,8617.76286679574,49.6887806308102,136.104051293089,487120.720341498,1615319.60723641,22193.6018878397,2.16038176655697,0,8.64152706622786,4389.89574964376,667.557965866103,21.6038176655697,233.321230788152,3350.75211992985,36.7264900314684,0,38510.9653706445,0,4893.26470125153,105.858706561291,4338.04658724639,"Sepsis"
"GSM6456149",11.8784761431739,805.190989990857,889.188785574729,0,2377.39215379808,985.913519883431,75.5131697673196,1714.74287752531,457.321331512194,437.806692134122,17312.0305160943,2407.93680673767,2572.5385475788,0,0,0,6.78770065324221,1074.15362837558,0,580.348405852209,1.69692516331055,4.24231290827638,6206.50378480834,168.8440537494,0,258.781087404859,12.7269387248291,5145.92555773925,5266.4072443343,3788.38542709081,319.870393284039,83.1493330022171,3128.281538563,6637.52277628923,9697.07884573815,18.6661767964161,300.355753905968,176260.465175649,517588.47714975,25871.3210398327,0,2.54538774496583,0,4109.95274553816,1389.78170875134,118.784761431739,991.852757955018,9985.55612350094,267.265713221412,0,3485.48428543987,0,3748.50768575301,752.58630992823,20506.4921360264,"Sepsis"
"GSM6456150",48.5366893322424,2229.55630997139,184.752559393697,0,14997.8370036629,61.0622865792728,14.0912969029091,2871.4931688817,162.832764211394,4405.87883164291,3375.64845807467,3831.2670579354,10607.6151685788,0,0,0,21.919795182303,1108.51535636218,3.13139931175758,6959.53497038121,36.0110920852121,4.69709896763637,16289.5392197629,2829.21927817297,0,2512.94794768546,435.264504334303,46238.2422374124,5501.86859075806,7534.14674408873,95.5076790086061,20.3540955264242,4311.93685229018,9481.87711600194,56745.6526280149,64.1936858910303,39.1424913969697,564237.447787663,939148.927486806,93683.6389095073,0,1.56569965587879,1.56569965587879,21315.4351151338,3444.53924293333,302.180033584606,898.711602474425,7772.13309178231,10.9598975911515,0,43600.0383172566,0,2475.37115594436,6073.34896515382,10451.0452029909,"Sepsis"
"GSM6456151",104.337111354527,986.943900261699,17.0346304252289,0,7477.13809227391,95.8197961419125,273.618751205239,1606.5785819794,20.2286236299593,1607.64324638098,2549.87124177645,3254.6790756203,1560.7980127116,0,0,0,7.45265081103764,593.018071678281,1.06466440157681,3581.53104690437,7.45265081103764,9.58197961419125,17974.7290918212,5094.41916154502,0,1554.41002630214,1078.5050387973,16791.8869416694,7394.09426895092,8667.43289323678,265.101435992625,20.2286236299593,2435.95215080773,10034.4619848614,10583.828816075,183.122277071211,45.7805692678026,199364.797181666,442462.813986903,38248.0686266468,0,0,0,18401.6595168535,9131.62657232426,167.152311047559,151.182345023906,10190.9676518932,302.364690047813,0,35608.7655751378,0,6114.3676582556,2130.39346755519,4172.4197897795,"Sepsis"
"GSM6456152",190.075114212763,658.037822303834,113.37813830235,0,6371.40675244185,238.983330735345,105.597285673757,516.870924613653,106.70883604927,7128.37255816636,1302.73704010151,3708.13205271214,1976.33656766253,0,0,0,93.3702315431115,871.455494402374,7.78085262859263,15784.0153322879,15.5617052571853,0,17373.5323692718,9653.81501133242,0,649.145419299728,227.867826980213,17044.5134581199,4894.15630338476,9737.18128949592,102.262634547217,28.900309763344,2410.9527644882,17501.3606624558,4555.13343885323,83.3662781634924,193.409765339302,118763.599871711,226338.333663506,9495.97485800955,0,1.11155037551323,0,23098.016803165,13091.8403227949,207.859920220974,74.4738751593866,14606.8834846194,76.696975910413,1.11155037551323,48851.5274534311,0,3722.58220759382,2835.56500793426,1519.48936332659,"Sepsis"
