"Feature","Mean_Importance","SD_Importance"
"SOCS3.3",0.90746969413296,0.358532252134886
"S100A9",0.900285164857935,0.375856935058566
"S100A8",0.890494723175887,0.380902534957217
"MMP8",0.885969405940736,0.387959071085346
"S100A12",0.877561874228594,0.345526654883311
"CD177",0.874800875802384,0.369956679242434
"MMP8.1",0.854492206388173,0.4146603639992
"CCR7",0.762918325357035,0.319237335978542
"ELANE",0.761925634670575,0.368753382174172
"C3AR1",0.738856633337305,0.368987572664772
"GATA3.2",0.673667839445322,0.330431066059557
"IL10",0.484042729775715,0.292445706625449
"ARG1",0.476167585558888,0.242447043739927
"MMP9",0.337012518251138,0.219765365747038
"ITGAM",0.33622194442617,0.247211237743897
"FCGR1A",0.33046905407063,0.232841809418964
"MAPK14",0.323310518472597,0.224145417392806
"OLFM4",0.323221241930403,0.263122980404256
"MAPK14.3",0.287754821601699,0.232277830707341
"ARG1.1",0.283177140468545,0.248381913150453
"HLA.DRA.1",0.273798887537296,0.229124388939267
"HLA.DRA",0.271802930967753,0.1901373571458
"SOCS3",0.263577567708448,0.266231654479858
"IL1R2.1",0.235349878182567,0.198049944975449
"LCN2",0.233728467494616,0.21342880927102
"PTX3",0.20177727738946,0.215531006468664
"IL1R2",0.186988562331072,0.175580474909093
"MAPK14.1",0.176308497093477,0.197037006998738
"MAPK14.2",0.157634693568026,0.155375278324609
"BCL2.1",0.130470623235374,0.179218863359349
"GATA3",0.128801084924759,0.143587777701197
"CX3CR1.1",0.120792041013912,0.144442609121926
"CXCL8",0.0613135290654162,0.0952819802670154
"ARG1.2",0.0558701188971329,0.101670779686054
"TNFSF10.2",0.0547812360167189,0.0938435722026753
"HIF1A",0.0458424757737749,0.0746838567022512
"TREM1",0.0414554481647113,0.0639172943754921
"NOTCH1",0.0316914985469042,0.0548628676698105
"TLR4",0.0295221039074803,0.0646935010547754
"CX3CR1",0.0287399957651753,0.0666180169997773
"GATA3.1",0.0269792525452135,0.0529513448940637
"CCR2",0.0233996848428332,0.0414710823380026
"MYD88",0.0218382573286593,0.0466785557789269
"CD14",0.0217498613689066,0.0467925683773119
"TLR4.3",0.020803211140536,0.0437728840578846
"CXCL10",0.0180052605005871,0.0308095568679777
"TNFSF10.1",0.0164081360233186,0.0461832747571848
"VCAM1",0.0154327989181461,0.0329029071035028
"SOCS3.1",0.0144417291778819,0.0256756841717832
"ICAM1.1",0.0141455182887255,0.0236608465574371
"PDCD1",0.0134813055469499,0.028157000840354
"LBP",0.0132428220997663,0.0323592337512553
"LBP.1",0.0122050681252621,0.021504463128444
"BCL2",0.011189730957295,0.0332081623737226
"PLAUR.2",0.0105936949474101,0.0308944146183908
"IFNB1",0.00971273248818963,0.0207316184818768
"HMGB1.2",0.00941385765480435,0.026466750492263
"NLRP3.2",0.00937595100941657,0.0204193094447635
"CALCA.3",0.009315690156811,0.0202365665251781
"TLR4.2",0.00921352838955635,0.0301080172174102
"TNFSF10",0.00876279169692966,0.026863896010322
"NLRP3.1",0.00859799313456802,0.0231894985543469
"IFNA1",0.00818976054884225,0.0240833626304819
"TLR2",0.00772473491572998,0.0226087171302207
"CRP",0.00743394038452088,0.0200013928589472
"IL1B",0.00725883184189105,0.0224787635859761
"HMGB1.4",0.00698433575806298,0.0162010003254906
"P2RX7.1",0.00691857455490631,0.0160193575955382
"CCR2.1",0.00669542705925252,0.0181919570638743
"CRP.1",0.00581168297700322,0.0162188404802239
"CALCA.2",0.00579333818522092,0.0169880563167647
"BCL2.3",0.00576912981760223,0.0159254667479686
"CCL25",0.00570431445962252,0.0225310713309279
"IL6",0.0056412021563676,0.0192161141028035
"HMGB1.3",0.00540960950921284,0.0176852395086185
"HMGB1.1",0.00536331798379496,0.0203630120072284
"C5AR1",0.00526424209184707,0.0211123014184137
"CALCA",0.00459390292316473,0.0132069638476754
"CALCA.1",0.00402450849911183,0.0155767256083299
"IFNG",0.00393337288499827,0.0126607730771181
"BCL2.2",0.00389996744759225,0.0104709234819214
"TLR4.1",0.00379804478609626,0.0171441930616101
"HMGB1",0.00326401064831067,0.0124016033419157
"ARG1.3",0.00304856833832018,0.0106816975009256
"P2RX7",0.00298729610298399,0.00867149028070359
"CCL2",0.00289454145311102,0.0125652299371304
"IFNA2",0.0026916817863509,0.00935517898673511
"CXCL8.1",0.0026143947793764,0.00856849810715495
"PLAUR.1",0.00257736138963161,0.0109481570198102
"NLRP3",0.00256451383959608,0.0130449549184254
"S100A8.1",0.00237168408467751,0.0103780628541336
"NOTCH1.1",0.00232373481190722,0.00752629107448661
"PLAUR",0.00209386799310367,0.006244064468323
"IL1B.1",0.00192445054945055,0.00736970365988417
"TNF",0.00187523211741962,0.0061377222771732
"ICAM1.2",0.00166669808949221,0.00578405039712383
"SOCS3.2",0.00152161495911496,0.00663519076308155
"CCL19",0.00140575396825397,0.00637765093924929
"ICAM1",0.00118038048552754,0.00622708425893253
