"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.973199882544122,0.975694444444444,1,0.963541666666667,1,1,0.985416666666667
"CX3CR1",0.980857058960087,0.982638888888889,1,0.973958333333333,1,1,0.989583333333333
"HMGB1",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"HMGB1.1",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"HIF1A",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"CD14",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"MAPK14",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"ICAM1",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"ICAM1.1",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"TNFSF10",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"TNFSF10.1",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"CXCL8",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"S100A8",0.950228353296227,0.954861111111111,1,0.932291666666667,1,1,0.972916666666667
"S100A9",0.942571176880262,0.947916666666667,1,0.921875,1,1,0.96875
"BCL2",0.980857058960087,0.982638888888889,1,0.973958333333333,1,1,0.989583333333333
"BCL2.1",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"VCAM1",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"MMP9",0.980857058960087,0.982638888888889,1,0.973958333333333,1,1,0.989583333333333
"CXCL10",0.988514235376052,0.989583333333333,1,0.984375,1,1,0.99375
"TLR2",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"IL1B",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"IL6",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"IL1R2",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"CRP",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"ITGAM",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"S100A12",0.950228353296227,0.954861111111111,1,0.932291666666667,1,1,0.972916666666667
"CX3CR1.1",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"PTX3",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"ARG1",0.973199882544122,0.975694444444444,1,0.963541666666667,1,1,0.985416666666667
"CCR7",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"SOCS3",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"SOCS3.1",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"ELANE",0.954056941504209,0.958333333333333,1,0.9375,1,1,0.975
"CCR2",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"CCL25",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"BCL2.2",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"BCL2.3",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"NLRP3",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"P2RX7",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"TNF",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"MMP8",0.950228353296227,0.954861111111111,1,0.932291666666667,1,1,0.972916666666667
"IL10",0.980857058960087,0.982638888888889,1,0.973958333333333,1,1,0.989583333333333
"PDCD1",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"CCR2.1",0.973199882544122,0.975694444444444,1,0.963541666666667,1,1,0.985416666666667
"IFNB1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"IFNA1",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"HLA.DRA",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"MYD88",0.957885529712192,0.961805555555556,1,0.942708333333333,1,1,0.977083333333333
"GATA3",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"GATA3.1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"GATA3.2",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"C3AR1",0.961714117920175,0.965277777777778,1,0.947916666666667,1,1,0.979166666666667
"CCL19",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"IFNG",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"MAPK14.1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"CALCA",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"CALCA.1",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"PLAUR",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"HLA.DRA.1",0.98468564716807,0.986111111111111,1,0.979166666666667,1,1,0.991666666666667
"MAPK14.2",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"IFNA2",0.950228353296227,0.954861111111111,1,0.932291666666667,1,1,0.972916666666667
"IL1R2.1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"CXCL8.1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"MAPK14.3",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"LBP",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
"PLAUR.1",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"LCN2",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"OLFM4",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"SOCS3.2",0.977028470752105,0.979166666666667,1,0.96875,1,1,0.9875
"TNFSF10.2",0.938742588672279,0.944444444444444,1,0.916666666666667,1,1,0.966666666666667
"S100A8.1",0.973199882544122,0.975694444444444,1,0.963541666666667,1,1,0.985416666666667
"LBP.1",0.973199882544122,0.975694444444444,1,0.963541666666667,1,1,0.985416666666667
"PLAUR.2",0.942571176880262,0.947916666666667,1,0.921875,1,1,0.96875
"HMGB1.2",0.965542706128157,0.96875,1,0.953125,1,1,0.98125
"ICAM1.2",0.96937129433614,0.972222222222222,1,0.958333333333333,1,1,0.983333333333333
