"MeanDecreaseGini","Feature","Iteration"
0,"TLR4",1
0.0946130952380953,"CX3CR1",1
0,"HMGB1",1
0,"HMGB1.1",1
0,"HIF1A",1
0,"CD14",1
0,"MAPK14",1
0,"ICAM1",1
0,"ICAM1.1",1
0,"TNFSF10",1
0.0189473684210526,"TNFSF10.1",1
0.290327380952381,"CXCL8",1
1.06625,"S100A8",1
0.76625,"S100A9",1
0,"BCL2",1
0.0505263157894737,"BCL2.1",1
0.0342857142857143,"VCAM1",1
0.0857083333333333,"MMP9",1
0.0986080586080586,"CXCL10",1
0,"TLR2",1
0,"IL1B",1
0.101200396825397,"IL6",1
0,"IL1R2",1
0,"CRP",1
0.59874591503268,"ITGAM",1
1.56875,"S100A12",1
0.1215,"CX3CR1.1",1
0.30375,"PTX3",1
0.724464285714286,"ARG1",1
1.62243055555556,"CCR7",1
0.673422619047619,"SOCS3",1
0.036,"SOCS3.1",1
0.816697368421053,"ELANE",1
0,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0,"TNF",1
0.623125,"MMP8",1
0.77125,"IL10",1
0.147244582043344,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0.0190909090909091,"IFNA1",1
0.125284090909091,"HLA.DRA",1
0,"MYD88",1
0.199843137254902,"GATA3",1
0,"GATA3.1",1
0.408653846153846,"GATA3.2",1
0.731736111111111,"C3AR1",1
0.00549019607843137,"CCL19",1
0,"IFNG",1
0.138552631578947,"MAPK14.1",1
0,"CALCA",1
0,"CALCA.1",1
0,"PLAUR",1
0.154375,"HLA.DRA.1",1
0.138552631578947,"MAPK14.2",1
0,"IFNA2",1
0,"IL1R2.1",1
0,"CXCL8.1",1
0.325305555555556,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
0.0188888888888889,"LCN2",1
0.391330409356725,"OLFM4",1
0,"SOCS3.2",1
0,"TNFSF10.2",1
0,"S100A8.1",1
0.01,"LBP.1",1
0,"PLAUR.2",1
0.01875,"HMGB1.2",1
0.0188888888888889,"ICAM1.2",1
0.00882352941176471,"NLRP3.1",1
0,"NLRP3.2",1
0,"CCL2",1
0.0186666666666667,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0,"NOTCH1",1
0,"TREM1",1
0.510535714285714,"CD177",1
0,"C5AR1",1
0,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0,"HMGB1.3",1
0,"HMGB1.4",1
0.9525,"SOCS3.3",1
0,"P2RX7.1",1
0.616875,"ARG1.1",1
0.121884803921569,"ARG1.2",1
0,"ARG1.3",1
0,"MMP8.1",1
0,"TLR4.3",1
0,"CRP.1",1
0,"IL1B.1",1
0,"TLR4",2
0,"CX3CR1",2
0,"HMGB1",2
0,"HMGB1.1",2
0,"HIF1A",2
0.05,"CD14",2
0.248713235294118,"MAPK14",2
0,"ICAM1",2
0,"ICAM1.1",2
0,"TNFSF10",2
0,"TNFSF10.1",2
0,"CXCL8",2
2.10526388888889,"S100A8",2
0.93625,"S100A9",2
0,"BCL2",2
0.108088235294118,"BCL2.1",2
0,"VCAM1",2
0.4555,"MMP9",2
0.036,"CXCL10",2
0.01875,"TLR2",2
0,"IL1B",2
0.01875,"IL6",2
0.176323529411765,"IL1R2",2
0,"CRP",2
0.424963235294118,"ITGAM",2
1.10125,"S100A12",2
0.102556818181818,"CX3CR1.1",2
0,"PTX3",2
0.154375,"ARG1",2
1.89007352941176,"CCR7",2
0.499186507936508,"SOCS3",2
0.0361904761904762,"SOCS3.1",2
0.347369652406417,"ELANE",2
0,"CCR2",2
0,"CCL25",2
0,"BCL2.2",2
0,"BCL2.3",2
0,"NLRP3",2
0,"P2RX7",2
0.01875,"TNF",2
0.476875,"MMP8",2
0.844759803921569,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0.108375,"HLA.DRA",2
0,"MYD88",2
0.212173913043478,"GATA3",2
0.0978260869565218,"GATA3.1",2
0.290625,"GATA3.2",2
0.5925,"C3AR1",2
0,"CCL19",2
0,"IFNG",2
0.482310985797828,"MAPK14.1",2
0.0188235294117647,"CALCA",2
0,"CALCA.1",2
0,"PLAUR",2
0.109375,"HLA.DRA.1",2
0.130239130434783,"MAPK14.2",2
0,"IFNA2",2
0,"IL1R2.1",2
0,"CXCL8.1",2
0.1575,"MAPK14.3",2
0,"LBP",2
0,"PLAUR.1",2
0,"LCN2",2
0.390277777777778,"OLFM4",2
0,"SOCS3.2",2
0.0342857142857143,"TNFSF10.2",2
0,"S100A8.1",2
0,"LBP.1",2
0,"PLAUR.2",2
0.01875,"HMGB1.2",2
0,"ICAM1.2",2
0,"NLRP3.1",2
0.0355555555555556,"NLRP3.2",2
0,"CCL2",2
0.124444444444444,"FCGR1A",2
0,"CALCA.2",2
0,"CALCA.3",2
0.1225,"NOTCH1",2
0.1464226342711,"TREM1",2
0.513161764705882,"CD177",2
0,"C5AR1",2
0,"TLR4.1",2
0,"NOTCH1.1",2
0,"TLR4.2",2
0,"HMGB1.3",2
0,"HMGB1.4",2
1.00053676470588,"SOCS3.3",2
0.031702786377709,"P2RX7.1",2
0.27075,"ARG1.1",2
0,"ARG1.2",2
0,"ARG1.3",2
0.60625,"MMP8.1",2
0,"TLR4.3",2
0,"CRP.1",2
0,"IL1B.1",2
0.125284090909091,"TLR4",3
0.1215,"CX3CR1",3
0,"HMGB1",3
0,"HMGB1.1",3
0.096,"HIF1A",3
0.019,"CD14",3
0.264210526315789,"MAPK14",3
0,"ICAM1",3
0.0546031746031746,"ICAM1.1",3
0,"TNFSF10",3
0,"TNFSF10.1",3
0,"CXCL8",3
0.712664473684211,"S100A8",3
0.397635869565217,"S100A9",3
0,"BCL2",3
1.04169444444444,"BCL2.1",3
0.0494117647058824,"VCAM1",3
0.126041666666667,"MMP9",3
0.0183333333333333,"CXCL10",3
0,"TLR2",3
0,"IL1B",3
0,"IL6",3
0.219864130434783,"IL1R2",3
0,"CRP",3
0.2815,"ITGAM",3
0.816988636363636,"S100A12",3
0.0185714285714286,"CX3CR1.1",3
0.373010869565217,"PTX3",3
0.144375,"ARG1",3
0.311875,"CCR7",3
1.534375,"SOCS3",3
0,"SOCS3.1",3
1.62254166666667,"ELANE",3
0.01875,"CCR2",3
0,"CCL25",3
0,"BCL2.2",3
0.017536231884058,"BCL2.3",3
0,"NLRP3",3
0,"P2RX7",3
0,"TNF",3
0.971,"MMP8",3
0.490380434782609,"IL10",3
0,"PDCD1",3
0,"CCR2.1",3
0.0188888888888889,"IFNB1",3
0,"IFNA1",3
0.176414473684211,"HLA.DRA",3
0.108088235294118,"MYD88",3
0.404583333333333,"GATA3",3
0,"GATA3.1",3
0.603125,"GATA3.2",3
0,"C3AR1",3
0,"CCL19",3
0,"IFNG",3
0,"MAPK14.1",3
0,"CALCA",3
0,"CALCA.1",3
0,"PLAUR",3
0,"HLA.DRA.1",3
0.271438492063492,"MAPK14.2",3
0,"IFNA2",3
0.248928571428571,"IL1R2.1",3
0,"CXCL8.1",3
0.132727272727273,"MAPK14.3",3
0.0189473684210526,"LBP",3
0,"PLAUR.1",3
0.1575,"LCN2",3
0.330490288220551,"OLFM4",3
0,"SOCS3.2",3
0,"TNFSF10.2",3
0,"S100A8.1",3
0,"LBP.1",3
0,"PLAUR.2",3
0.01875,"HMGB1.2",3
0,"ICAM1.2",3
0,"NLRP3.1",3
0,"NLRP3.2",3
0,"CCL2",3
0.774136904761905,"FCGR1A",3
0,"CALCA.2",3
0,"CALCA.3",3
0.138552631578947,"NOTCH1",3
0,"TREM1",3
0.190375,"CD177",3
0,"C5AR1",3
0,"TLR4.1",3
0,"NOTCH1.1",3
0,"TLR4.2",3
0,"HMGB1.3",3
0,"HMGB1.4",3
0.78625,"SOCS3.3",3
0,"P2RX7.1",3
0.354166666666667,"ARG1.1",3
0,"ARG1.2",3
0,"ARG1.3",3
0.8765,"MMP8.1",3
0.0792391304347826,"TLR4.3",3
0,"CRP.1",3
0,"IL1B.1",3
0,"TLR4",4
0,"CX3CR1",4
0,"HMGB1",4
0.0216666666666667,"HMGB1.1",4
0,"HIF1A",4
0,"CD14",4
0.140625,"MAPK14",4
0,"ICAM1",4
0,"ICAM1.1",4
0,"TNFSF10",4
0,"TNFSF10.1",4
0,"CXCL8",4
1.364375,"S100A8",4
1.103125,"S100A9",4
0,"BCL2",4
0.426176470588235,"BCL2.1",4
0.01875,"VCAM1",4
0.469375,"MMP9",4
0,"CXCL10",4
0,"TLR2",4
0,"IL1B",4
0,"IL6",4
0.221176470588235,"IL1R2",4
0,"CRP",4
0.191375,"ITGAM",4
0.493125,"S100A12",4
0.1225,"CX3CR1.1",4
0,"PTX3",4
0.847362155388471,"ARG1",4
0.629375,"CCR7",4
0.289038461538462,"SOCS3",4
0,"SOCS3.1",4
0.478125,"ELANE",4
0,"CCR2",4
0.0508235294117647,"CCL25",4
0,"BCL2.2",4
0,"BCL2.3",4
0.0186666666666667,"NLRP3",4
0,"P2RX7",4
0,"TNF",4
1.11658653846154,"MMP8",4
0.569187834224599,"IL10",4
0,"PDCD1",4
0,"CCR2.1",4
0,"IFNB1",4
0,"IFNA1",4
0.0782840909090909,"HLA.DRA",4
0,"MYD88",4
0.01875,"GATA3",4
0.124444444444444,"GATA3.1",4
0.832083333333333,"GATA3.2",4
1.12875,"C3AR1",4
0,"CCL19",4
0,"IFNG",4
0,"MAPK14.1",4
0,"CALCA",4
0,"CALCA.1",4
0.00894736842105264,"PLAUR",4
0.0372115384615385,"HLA.DRA.1",4
0,"MAPK14.2",4
0,"IFNA2",4
0.16,"IL1R2.1",4
0.0324242424242424,"CXCL8.1",4
0.167094017094017,"MAPK14.3",4
0,"LBP",4
0.048,"PLAUR.1",4
0.154375,"LCN2",4
0.121884803921569,"OLFM4",4
0,"SOCS3.2",4
0,"TNFSF10.2",4
0,"S100A8.1",4
0,"LBP.1",4
0,"PLAUR.2",4
0,"HMGB1.2",4
0,"ICAM1.2",4
0,"NLRP3.1",4
0,"NLRP3.2",4
0,"CCL2",4
0.459375,"FCGR1A",4
0,"CALCA.2",4
0.0363636363636364,"CALCA.3",4
0.01875,"NOTCH1",4
0.0361904761904762,"TREM1",4
1.085625,"CD177",4
0,"C5AR1",4
0,"TLR4.1",4
0,"NOTCH1.1",4
0.0188235294117647,"TLR4.2",4
0,"HMGB1.3",4
0,"HMGB1.4",4
1.263125,"SOCS3.3",4
0.01,"P2RX7.1",4
0,"ARG1.1",4
0.129375,"ARG1.2",4
0.0188235294117647,"ARG1.3",4
0.941875,"MMP8.1",4
0.0829901960784313,"TLR4.3",4
0,"CRP.1",4
0,"IL1B.1",4
0,"TLR4",5
0,"CX3CR1",5
0,"HMGB1",5
0,"HMGB1.1",5
0.0186666666666667,"HIF1A",5
0,"CD14",5
0.195896739130435,"MAPK14",5
0,"ICAM1",5
0.0889640768588137,"ICAM1.1",5
0,"TNFSF10",5
0,"TNFSF10.1",5
0.226037784679089,"CXCL8",5
0.363946428571429,"S100A8",5
1.25721153846154,"S100A9",5
0.0189473684210526,"BCL2",5
0.463461538461538,"BCL2.1",5
0,"VCAM1",5
0.507252747252747,"MMP9",5
0.0365217391304348,"CXCL10",5
0,"TLR2",5
0.00894736842105264,"IL1B",5
0,"IL6",5
0.281111111111111,"IL1R2",5
0,"CRP",5
0.30375,"ITGAM",5
0.487836538461538,"S100A12",5
0.279177631578947,"CX3CR1.1",5
0,"PTX3",5
0.75824114159834,"ARG1",5
0.490073529411765,"CCR7",5
0.601801470588235,"SOCS3",5
0.0783805668016194,"SOCS3.1",5
1.08621108058608,"ELANE",5
0.0184615384615385,"CCR2",5
0.191537031332512,"CCL25",5
0,"BCL2.2",5
0,"BCL2.3",5
0,"NLRP3",5
0,"P2RX7",5
0,"TNF",5
0.789153926482874,"MMP8",5
0.316875,"IL10",5
0.0186666666666667,"PDCD1",5
0,"CCR2.1",5
0,"IFNB1",5
0,"IFNA1",5
0.261845238095238,"HLA.DRA",5
0,"MYD88",5
0,"GATA3",5
0,"GATA3.1",5
0.728455882352941,"GATA3.2",5
0.552534324942792,"C3AR1",5
0,"CCL19",5
0,"IFNG",5
0,"MAPK14.1",5
0.0205128205128205,"CALCA",5
0.01875,"CALCA.1",5
0,"PLAUR",5
0.436583333333333,"HLA.DRA.1",5
0,"MAPK14.2",5
0,"IFNA2",5
0.411580882352941,"IL1R2.1",5
0.0185714285714286,"CXCL8.1",5
0.414470238095238,"MAPK14.3",5
0,"LBP",5
0,"PLAUR.1",5
0.1215,"LCN2",5
0,"OLFM4",5
0,"SOCS3.2",5
0.01875,"TNFSF10.2",5
0.0133333333333333,"S100A8.1",5
0,"LBP.1",5
0,"PLAUR.2",5
0,"HMGB1.2",5
0,"ICAM1.2",5
0,"NLRP3.1",5
0,"NLRP3.2",5
0.0165441176470588,"CCL2",5
0.934547619047619,"FCGR1A",5
0,"CALCA.2",5
0.0288235294117647,"CALCA.3",5
0,"NOTCH1",5
0,"TREM1",5
0.47125,"CD177",5
0,"C5AR1",5
0,"TLR4.1",5
0.01875,"NOTCH1.1",5
0,"TLR4.2",5
0,"HMGB1.3",5
0.0712941176470588,"HMGB1.4",5
0.475,"SOCS3.3",5
0,"P2RX7.1",5
0.567872076023392,"ARG1.1",5
0.107853260869565,"ARG1.2",5
0,"ARG1.3",5
0.83125,"MMP8.1",5
0.075921568627451,"TLR4.3",5
0,"CRP.1",5
0,"IL1B.1",5
0.0854117647058824,"TLR4",6
0,"CX3CR1",6
0,"HMGB1",6
0,"HMGB1.1",6
0.1575,"HIF1A",6
0.104009803921569,"CD14",6
0.316875,"MAPK14",6
0,"ICAM1",6
0,"ICAM1.1",6
0.01875,"TNFSF10",6
0,"TNFSF10.1",6
0.09,"CXCL8",6
1.251875,"S100A8",6
0.92,"S100A9",6
0,"BCL2",6
0.126754901960784,"BCL2.1",6
0,"VCAM1",6
0.4525,"MMP9",6
0,"CXCL10",6
0,"TLR2",6
0,"IL1B",6
0,"IL6",6
0.517830091533181,"IL1R2",6
0,"CRP",6
0.195294117647059,"ITGAM",6
0.372005434782609,"S100A12",6
0.585551470588235,"CX3CR1.1",6
0.616958333333333,"PTX3",6
0.262125,"ARG1",6
0.803289473684211,"CCR7",6
0.01875,"SOCS3",6
0,"SOCS3.1",6
0.924916666666667,"ELANE",6
0.0373214285714286,"CCR2",6
0,"CCL25",6
0,"BCL2.2",6
0,"BCL2.3",6
0,"NLRP3",6
0,"P2RX7",6
0,"TNF",6
0.6575,"MMP8",6
0.904702380952381,"IL10",6
0,"PDCD1",6
0,"CCR2.1",6
0,"IFNB1",6
0,"IFNA1",6
0.275875,"HLA.DRA",6
0,"MYD88",6
0,"GATA3",6
0.142335526315789,"GATA3.1",6
0.630073529411765,"GATA3.2",6
0.61875,"C3AR1",6
0,"CCL19",6
0.04875,"IFNG",6
0.505375,"MAPK14.1",6
0,"CALCA",6
0,"CALCA.1",6
0,"PLAUR",6
0.422289215686274,"HLA.DRA.1",6
0.140625,"MAPK14.2",6
0,"IFNA2",6
0.298208333333333,"IL1R2.1",6
0,"CXCL8.1",6
0.413764097744361,"MAPK14.3",6
0,"LBP",6
0,"PLAUR.1",6
0.105625,"LCN2",6
0.333422619047619,"OLFM4",6
0,"SOCS3.2",6
0,"TNFSF10.2",6
0,"S100A8.1",6
0,"LBP.1",6
0,"PLAUR.2",6
0,"HMGB1.2",6
0,"ICAM1.2",6
0,"NLRP3.1",6
0,"NLRP3.2",6
0,"CCL2",6
0,"FCGR1A",6
0,"CALCA.2",6
0,"CALCA.3",6
0,"NOTCH1",6
0.04875,"TREM1",6
0.1375,"CD177",6
0,"C5AR1",6
0,"TLR4.1",6
0,"NOTCH1.1",6
0,"TLR4.2",6
0,"HMGB1.3",6
0.0186666666666667,"HMGB1.4",6
0.826414473684211,"SOCS3.3",6
0,"P2RX7.1",6
0.159375,"ARG1.1",6
0,"ARG1.2",6
0,"ARG1.3",6
1.05302966976264,"MMP8.1",6
0,"TLR4.3",6
0,"CRP.1",6
0,"IL1B.1",6
0.0189473684210526,"TLR4",7
0,"CX3CR1",7
0,"HMGB1",7
0,"HMGB1.1",7
0,"HIF1A",7
0,"CD14",7
0.251045751633987,"MAPK14",7
0,"ICAM1",7
0,"ICAM1.1",7
0,"TNFSF10",7
0,"TNFSF10.1",7
0,"CXCL8",7
0.792125,"S100A8",7
0.0631578947368421,"S100A9",7
0.0745562770562771,"BCL2",7
0,"BCL2.1",7
0,"VCAM1",7
0.296875,"MMP9",7
0,"CXCL10",7
0.0962171052631579,"TLR2",7
0,"IL1B",7
0,"IL6",7
0.279083333333333,"IL1R2",7
