"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.954271887242357,0.956666666666667,0.98,0.945,0.98,0.98,0.966
"CX3CR1",0.957947331922021,0.96,0.98,0.95,0.98,0.98,0.968
"HMGB1",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"HMGB1.1",0.976324555320337,0.976666666666667,0.98,0.975,0.98,0.98,0.978
"HIF1A",0.965298221281347,0.966666666666667,0.98,0.96,0.98,0.98,0.972
"CD14",0.946920997883031,0.95,0.98,0.935,0.98,0.98,0.962
"MAPK14",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"ICAM1",0.965298221281347,0.966666666666667,0.98,0.96,0.98,0.98,0.972
"ICAM1.1",0.972649110640673,0.973333333333333,0.98,0.97,0.98,0.98,0.976
"TNFSF10",0.965298221281347,0.966666666666667,0.98,0.96,0.98,0.98,0.972
"TNFSF10.1",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"CXCL8",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"S100A8",0.954271887242357,0.956666666666667,0.98,0.945,0.98,0.98,0.966
"S100A9",0.957947331922021,0.96,0.98,0.95,0.98,0.98,0.968
"BCL2",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"BCL2.1",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"VCAM1",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"MMP9",0.972649110640673,0.973333333333333,0.98,0.97,0.98,0.98,0.976
"CXCL10",0.950596442562694,0.953333333333333,0.98,0.94,0.98,0.98,0.964
"TLR2",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"IL1B",0.972649110640673,0.973333333333333,0.98,0.97,0.98,0.98,0.976
"IL6",0.965298221281347,0.966666666666667,0.98,0.96,0.98,0.98,0.972
"IL1R2",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"CRP",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"ITGAM",0.96897366596101,0.97,0.98,0.965,0.98,0.98,0.974
"S100A12",0.946920997883031,0.95,0.98,0.935,0.98,0.98,0.962
"CX3CR1.1",0.96897366596101,0.97,0.98,0.965,0.98,0.98,0.974
"PTX3",0.961622776601684,0.963333333333333,0.98,0.955,0.98,0.98,0.97
"ARG1",0.98,0.98,0.98,0.98,0.98,0.98,0.98
"CCR7",0.939570108523704,0.943333333333333,0.98,0.925,0.98,0.98,0.958
"SOCS3",0.946920997883031,0.95,0.98,0.935,0.98,0.98,0.962
"SOCS3.1",0.957947331922021,0.96,0.98,0.95,0.98,0.98,0.968
"ELANE",0.96897366596101,0.97,0.98,0.965,0.98,0.98,0.974
