"Feature","Mean_Importance","SD_Importance"
"CD177",0.570293833279784,0.263521345588701
"S100A9",0.569772476214685,0.249452464504772
"MMP8.1",0.56129553408998,0.229126403694788
"S100A12",0.549082890426333,0.233503794556235
"SOCS3.3",0.540661528032693,0.235611890321198
"S100A8",0.539736841724294,0.268813451015064
"MMP8",0.537104184121189,0.220973159467468
"CCR7",0.535001042940929,0.264800138286071
"C3AR1",0.434994988024939,0.213595361019591
"GATA3.2",0.41275037262203,0.205079238305895
"ELANE",0.391639146339235,0.209234847023567
"IL10",0.324123663835339,0.216299408332011
"ARG1",0.292489788393321,0.18745959043863
"FCGR1A",0.254322441482588,0.177193279442282
"MMP9",0.223457121798641,0.162378388408338
"ITGAM",0.222241909038865,0.175584565065256
"HLA.DRA.1",0.195386661300255,0.143283933788185
"OLFM4",0.193196505361952,0.134030260613125
"MAPK14.3",0.190034487143855,0.132345113689004
"MAPK14",0.186551893831915,0.14203392762003
"ARG1.1",0.183930331398387,0.151037841740069
"HLA.DRA",0.173032620270002,0.136584855356561
"LCN2",0.143915153603281,0.121366260900501
"MAPK14.1",0.142996994058538,0.125853823699114
"PTX3",0.141384060006562,0.14080232050353
"SOCS3",0.140034212419708,0.137601250848974
"IL1R2.1",0.129143417228791,0.128373733014207
"IL1R2",0.127197448960959,0.105148999888022
"CX3CR1.1",0.125089279755454,0.121048393323003
"BCL2.1",0.123546719799018,0.13854610069317
"MAPK14.2",0.122665802396969,0.110517246593504
"GATA3",0.0887117958311785,0.0843597638901747
"CXCL8",0.0627151015618039,0.0780921376503419
"TNFSF10.2",0.060737289418146,0.0746873130996705
"ARG1.2",0.0554823890324406,0.0720430959228938
"HIF1A",0.0525039328324815,0.0713309890615009
"GATA3.1",0.0398159647335461,0.0580586061197151
"CD14",0.0384448648855254,0.0518409254345055
"TLR4",0.0379187304557649,0.0583693432138326
"TLR4.3",0.0301420446789384,0.0484542787940227
"CX3CR1",0.0295549485062338,0.0477207907060732
"TREM1",0.0249367915149414,0.0483678009080784
"C5AR1",0.0236182341536737,0.0430254258417489
"CXCL10",0.0211658266644663,0.0386990559449439
"ICAM1.1",0.0207866317913461,0.0390350901400029
"NOTCH1",0.0205138817767348,0.0440932142723589
"CCR2",0.0195642018487501,0.0374792731835013
"TLR4.2",0.0188241181123691,0.03907596791273
"MYD88",0.0174429987579908,0.034499723100091
"SOCS3.1",0.0150840920137289,0.0250300482314639
"PDCD1",0.0139454727045964,0.0269862888961382
"BCL2",0.0127426819262123,0.0267416468307921
"TNFSF10.1",0.0117795683640041,0.0272093664849101
"CRP",0.0113267032158579,0.0274715542602973
"LBP",0.0110213855102447,0.029594748179416
"VCAM1",0.00954415989562345,0.0223729361328408
"HMGB1.3",0.00950803437457908,0.0251387279419271
"IFNA1",0.00936094829567482,0.0270238981906246
"TLR2",0.00881276131276131,0.0262308066205855
"NLRP3.2",0.00845290170646677,0.0197816266191746
"BCL2.2",0.00823811906474445,0.0218393565690639
"LBP.1",0.00819748437550295,0.0169297318118586
"TNFSF10",0.00801499540096031,0.0277386439162402
"P2RX7.1",0.00761210529835635,0.0194876115161312
"CALCA.1",0.00682511988572595,0.0168771720230094
"PLAUR.2",0.00650956187488695,0.0170502578224426
"PLAUR",0.00649789363951105,0.0198600042897761
"IL1B",0.00638526122427051,0.0170577895790169
"CALCA",0.00608846143293559,0.0166202793705066
"CRP.1",0.00600800542957406,0.0167922483978445
"IL6",0.00583396906124179,0.0177341435327964
"ARG1.3",0.00582476449410496,0.0183801378368543
"HMGB1.4",0.00565624601620005,0.0160778639974839
"IFNA2",0.00503227332045702,0.0120034527543908
"IFNB1",0.00497598089609535,0.0131661409197283
"CALCA.3",0.00467563680707809,0.0114637342371731
"CALCA.2",0.00461111839899719,0.0129976165199661
"CCR2.1",0.00450069963706327,0.0120645826418018
"IL1B.1",0.00445090112793462,0.0137155797711353
"CXCL8.1",0.00441432942129537,0.0129631463761742
"SOCS3.2",0.00417137009720742,0.0121761096608465
"IFNG",0.00398899036198501,0.0104441649185471
"TLR4.1",0.00386229685920088,0.0148071290917062
"HMGB1",0.00385594712487479,0.0134235878889683
"ICAM1",0.00371612954946288,0.013044718535722
"CCL19",0.0036044642787067,0.00996721714483269
"NLRP3.1",0.00353324528563763,0.0129264252557193
"CCL25",0.00345355640040883,0.0136956872292172
"PLAUR.1",0.00315431382386538,0.0117314172050011
"NLRP3",0.00303247482035361,0.0111315615828391
"HMGB1.1",0.00290230838037856,0.00940941100254816
"ICAM1.2",0.00280088804809698,0.00865172450764851
"HMGB1.2",0.00275262842497105,0.00693849747828873
"P2RX7",0.00259041290458403,0.00853092921262187
"BCL2.3",0.00197836473950556,0.00616983652012204
"S100A8.1",0.00179665704665705,0.00846175049010242
"CCL2",0.00152177452177452,0.00494646370335171
"NOTCH1.1",0.0010292608625942,0.00457182246193855
"TNF",0.000775907791950573,0.00359273337397027
