"MeanDecreaseGini","Feature","Iteration"
0.0711111111111111,"TLR4",1
0,"CX3CR1",1
0,"HMGB1",1
0,"HMGB1.1",1
0.196666666666667,"HIF1A",1
0.0802777777777778,"CD14",1
0.231666666666667,"MAPK14",1
0,"ICAM1",1
0,"ICAM1.1",1
0,"TNFSF10",1
0.0188888888888889,"TNFSF10.1",1
0.165611111111111,"CXCL8",1
0.484956140350877,"S100A8",1
0.2325,"S100A9",1
0,"BCL2",1
0,"BCL2.1",1
0,"VCAM1",1
0.205357142857143,"MMP9",1
0,"CXCL10",1
0,"TLR2",1
0,"IL1B",1
0,"IL6",1
0,"IL1R2",1
0,"CRP",1
0.357857142857143,"ITGAM",1
0.455555555555556,"S100A12",1
0.192777777777778,"CX3CR1.1",1
0.119166666666667,"PTX3",1
0.0791666666666667,"ARG1",1
0.801666666666667,"CCR7",1
0,"SOCS3",1
0,"SOCS3.1",1
0.662222222222222,"ELANE",1
0.0429761904761905,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0,"TNF",1
0.595,"MMP8",1
0.226587301587302,"IL10",1
0,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0.018,"IFNA1",1
0.302555555555556,"HLA.DRA",1
0,"MYD88",1
0.0352941176470588,"GATA3",1
0,"GATA3.1",1
0.530490196078431,"GATA3.2",1
0.538333333333333,"C3AR1",1
0,"CCL19",1
0,"IFNG",1
0.106666666666667,"MAPK14.1",1
0,"CALCA",1
0,"CALCA.1",1
0,"PLAUR",1
0.388055555555555,"HLA.DRA.1",1
0,"MAPK14.2",1
0.0188888888888889,"IFNA2",1
0.3225,"IL1R2.1",1
0,"CXCL8.1",1
0.257886996904025,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
0.116944444444444,"LCN2",1
0.191666666666667,"OLFM4",1
0,"SOCS3.2",1
0,"TNFSF10.2",1
0,"S100A8.1",1
0.0355555555555556,"LBP.1",1
0,"PLAUR.2",1
0,"HMGB1.2",1
0,"ICAM1.2",1
0,"NLRP3.1",1
0.0888888888888889,"NLRP3.2",1
0,"CCL2",1
0,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0,"NOTCH1",1
0.0177777777777778,"TREM1",1
0.618611111111111,"CD177",1
0.0711111111111111,"C5AR1",1
0,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0.153396358543417,"HMGB1.3",1
0,"HMGB1.4",1
0.449722222222222,"SOCS3.3",1
0.0188888888888889,"P2RX7.1",1
0.384944444444444,"ARG1.1",1
0,"ARG1.2",1
0.0171428571428571,"ARG1.3",1
0.648333333333333,"MMP8.1",1
0,"TLR4.3",1
0,"CRP.1",1
0,"IL1B.1",1
0.115833333333333,"TLR4",2
0,"CX3CR1",2
0,"HMGB1",2
0,"HMGB1.1",2
0.019,"HIF1A",2
0.0601666666666667,"CD14",2
0,"MAPK14",2
0,"ICAM1",2
0,"ICAM1.1",2
0,"TNFSF10",2
0,"TNFSF10.1",2
0.0969494949494949,"CXCL8",2
0.165,"S100A8",2
0.408333333333333,"S100A9",2
0,"BCL2",2
0.315539215686275,"BCL2.1",2
0.0177777777777778,"VCAM1",2
0.118730158730159,"MMP9",2
0,"CXCL10",2
0,"TLR2",2
0,"IL1B",2
0,"IL6",2
0,"IL1R2",2
0,"CRP",2
0.0886111111111111,"ITGAM",2
0.816464285714286,"S100A12",2
0,"CX3CR1.1",2
0.243611111111111,"PTX3",2
0.09375,"ARG1",2
0.117916666666667,"CCR7",2
0.124666666666667,"SOCS3",2
0,"SOCS3.1",2
0.686666666666667,"ELANE",2
0.0772058823529412,"CCR2",2
0.0352941176470588,"CCL25",2
0,"BCL2.2",2
0.0186666666666667,"BCL2.3",2
0.0436363636363636,"NLRP3",2
0,"P2RX7",2
0,"TNF",2
0.801666666666667,"MMP8",2
0.122,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0,"HLA.DRA",2
0.0791666666666667,"MYD88",2
0.223349673202614,"GATA3",2
0.0675,"GATA3.1",2
0.748484848484848,"GATA3.2",2
0.736666666666667,"C3AR1",2
0,"CCL19",2
0,"IFNG",2
0.173333333333333,"MAPK14.1",2
0,"CALCA",2
0,"CALCA.1",2
0,"PLAUR",2
0.0816666666666667,"HLA.DRA.1",2
0,"MAPK14.2",2
0.0166666666666667,"IFNA2",2
0.0175,"IL1R2.1",2
0.0346666666666667,"CXCL8.1",2
0.1605,"MAPK14.3",2
0.113735431235431,"LBP",2
0.045,"PLAUR.1",2
0,"LCN2",2
0.261333333333333,"OLFM4",2
0,"SOCS3.2",2
0,"TNFSF10.2",2
0,"S100A8.1",2
0.0184615384615385,"LBP.1",2
0,"PLAUR.2",2
0,"HMGB1.2",2
0,"ICAM1.2",2
0,"NLRP3.1",2
0,"NLRP3.2",2
0,"CCL2",2
0.0697979797979798,"FCGR1A",2
0,"CALCA.2",2
0,"CALCA.3",2
0,"NOTCH1",2
0.225532051282051,"TREM1",2
0.871388888888889,"CD177",2
0.0181818181818182,"C5AR1",2
0,"TLR4.1",2
0,"NOTCH1.1",2
0,"TLR4.2",2
0,"HMGB1.3",2
0,"HMGB1.4",2
0.829166666666667,"SOCS3.3",2
0,"P2RX7.1",2
0.134166666666667,"ARG1.1",2
0.230863636363636,"ARG1.2",2
0,"ARG1.3",2
0.479551282051282,"MMP8.1",2
0,"TLR4.3",2
0,"CRP.1",2
0,"IL1B.1",2
0,"TLR4",3
0,"CX3CR1",3
0,"HMGB1",3
0,"HMGB1.1",3
0,"HIF1A",3
0.0476190476190476,"CD14",3
0,"MAPK14",3
0,"ICAM1",3
0,"ICAM1.1",3
0.2025,"TNFSF10",3
0,"TNFSF10.1",3
0.12,"CXCL8",3
0.4425,"S100A8",3
0.4325,"S100A9",3
0,"BCL2",3
0.036,"BCL2.1",3
0,"VCAM1",3
