"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"CX3CR1",0.910898310796043,0.919191919191919,1,0.878787878787879,1,1,0.951515151515152
"HMGB1",0.914610881179541,0.922558922558923,1,0.883838383838384,1,1,0.953535353535354
"HMGB1.1",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"HIF1A",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"CD14",0.910898310796043,0.919191919191919,1,0.878787878787879,1,1,0.951515151515152
"MAPK14",0.914610881179541,0.922558922558923,1,0.883838383838384,1,1,0.953535353535354
"ICAM1",0.907185740412544,0.915824915824916,1,0.873737373737374,1,1,0.94949494949495
"ICAM1.1",0.892335458878551,0.902356902356902,1,0.853535353535353,1,1,0.941414141414141
"TNFSF10",0.914610881179541,0.922558922558923,1,0.883838383838384,1,1,0.953535353535354
"TNFSF10.1",0.922036021946537,0.929292929292929,1,0.893939393939394,1,1,0.957575757575758
"CXCL8",0.907185740412544,0.915824915824916,1,0.873737373737374,1,1,0.94949494949495
"S100A8",0.884910318111555,0.895622895622896,1,0.843434343434343,1,1,0.937373737373737
"S100A9",0.888622888495053,0.898989898989899,1,0.848484848484849,1,1,0.939393939393939
"BCL2",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"BCL2.1",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"VCAM1",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
"MMP9",0.925748592330035,0.932659932659933,1,0.898989898989899,1,1,0.95959595959596
"CXCL10",0.93688630348053,0.942760942760943,1,0.914141414141414,1,1,0.965656565656566
"TLR2",0.93688630348053,0.942760942760943,1,0.914141414141414,1,1,0.965656565656566
"IL1B",0.922036021946537,0.929292929292929,1,0.893939393939394,1,1,0.957575757575758
"IL6",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
"IL1R2",0.933173733097032,0.939393939393939,1,0.909090909090909,1,1,0.963636363636364
"CRP",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
"ITGAM",0.933173733097032,0.939393939393939,1,0.909090909090909,1,1,0.963636363636364
"S100A12",0.903473170029046,0.912457912457912,1,0.868686868686869,1,1,0.947474747474747
"CX3CR1.1",0.925748592330035,0.932659932659933,1,0.898989898989899,1,1,0.95959595959596
"PTX3",0.940598873864028,0.946127946127946,1,0.919191919191919,1,1,0.967676767676768
"ARG1",0.940598873864028,0.946127946127946,1,0.919191919191919,1,1,0.967676767676768
"CCR7",0.89604802926205,0.905723905723906,1,0.858585858585859,1,1,0.943434343434343
"SOCS3",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
"SOCS3.1",0.929461162713534,0.936026936026936,1,0.904040404040404,1,1,0.961616161616162
"ELANE",0.899760599645548,0.909090909090909,1,0.863636363636364,1,1,0.945454545454545
"CCR2",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
"CCL25",0.925748592330035,0.932659932659933,1,0.898989898989899,1,1,0.95959595959596
"BCL2.2",0.922036021946537,0.929292929292929,1,0.893939393939394,1,1,0.957575757575758
"BCL2.3",0.903473170029046,0.912457912457912,1,0.868686868686869,1,1,0.947474747474747
"NLRP3",0.903473170029046,0.912457912457912,1,0.868686868686869,1,1,0.947474747474747
"P2RX7",0.933173733097032,0.939393939393939,1,0.909090909090909,1,1,0.963636363636364
"TNF",0.903473170029046,0.912457912457912,1,0.868686868686869,1,1,0.947474747474747
"MMP8",0.918323451563039,0.925925925925926,1,0.888888888888889,1,1,0.955555555555556
