"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"CX3CR1",0.933841995766062,0.94,1,0.91,1,1,0.964
"HMGB1",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"HMGB1.1",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"HIF1A",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"CD14",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"MAPK14",0.955894663844041,0.96,1,0.94,1,1,0.976
"ICAM1",0.926491106406735,0.933333333333333,1,0.9,1,1,0.96
"ICAM1.1",0.944868329805051,0.95,1,0.925,1,1,0.97
"TNFSF10",0.937517440445725,0.943333333333333,1,0.915,1,1,0.966
"TNFSF10.1",0.926491106406735,0.933333333333333,1,0.9,1,1,0.96
"CXCL8",0.937517440445725,0.943333333333333,1,0.915,1,1,0.966
"S100A8",0.915464772367745,0.923333333333333,1,0.885,1,1,0.954
"S100A9",0.922815661727072,0.93,1,0.895,1,1,0.958
"BCL2",0.944868329805051,0.95,1,0.925,1,1,0.97
"BCL2.1",0.944868329805051,0.95,1,0.925,1,1,0.97
"VCAM1",0.933841995766062,0.94,1,0.91,1,1,0.964
"MMP9",0.955894663844041,0.96,1,0.94,1,1,0.976
"CXCL10",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"TLR2",0.944868329805051,0.95,1,0.925,1,1,0.97
"IL1B",0.933841995766062,0.94,1,0.91,1,1,0.964
"IL6",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"IL1R2",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"CRP",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"ITGAM",0.948543774484715,0.953333333333333,1,0.93,1,1,0.972
"S100A12",0.926491106406735,0.933333333333333,1,0.9,1,1,0.96
"CX3CR1.1",0.955894663844041,0.96,1,0.94,1,1,0.976
"PTX3",0.933841995766062,0.94,1,0.91,1,1,0.964
"ARG1",0.944868329805051,0.95,1,0.925,1,1,0.97
"CCR7",0.926491106406735,0.933333333333333,1,0.9,1,1,0.96
"SOCS3",0.948543774484715,0.953333333333333,1,0.93,1,1,0.972
"SOCS3.1",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"ELANE",0.933841995766062,0.94,1,0.91,1,1,0.964
"CCR2",0.926491106406735,0.933333333333333,1,0.9,1,1,0.96
"CCL25",0.937517440445725,0.943333333333333,1,0.915,1,1,0.966
"BCL2.2",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"BCL2.3",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"NLRP3",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"P2RX7",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"TNF",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"MMP8",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"IL10",0.933841995766062,0.94,1,0.91,1,1,0.964
"PDCD1",0.933841995766062,0.94,1,0.91,1,1,0.964
"CCR2.1",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"IFNB1",0.933841995766062,0.94,1,0.91,1,1,0.964
"IFNA1",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"HLA.DRA",0.955894663844041,0.96,1,0.94,1,1,0.976
"MYD88",0.937517440445725,0.943333333333333,1,0.915,1,1,0.966
"GATA3",0.930166551086398,0.936666666666667,1,0.905,1,1,0.962
"GATA3.1",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"GATA3.2",0.963245553203368,0.966666666666667,1,0.95,1,1,0.98
"C3AR1",0.919140217047409,0.926666666666667,1,0.89,1,1,0.956
"CCL19",0.948543774484715,0.953333333333333,1,0.93,1,1,0.972
"IFNG",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
"MAPK14.1",0.952219219164378,0.956666666666667,1,0.935,1,1,0.974
"CALCA",0.944868329805051,0.95,1,0.925,1,1,0.97
"CALCA.1",0.944868329805051,0.95,1,0.925,1,1,0.97
"PLAUR",0.959570108523704,0.963333333333333,1,0.945,1,1,0.978
"HLA.DRA.1",0.941192885125388,0.946666666666667,1,0.92,1,1,0.968
