"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"CCR2",0.463581058414719,0.714545337015925,0.816666666666667,0.716666666666667,0.728333333333333,0.746065656565657,0.73925
"IL8",0.455196922115889,0.704805694305694,0.805416666666667,0.711666666666667,0.723333333333333,0.73593253968254,0.743252164502164
"CCR2.1",0.455613782455773,0.708776279276279,0.822222222222222,0.713333333333333,0.721666666666667,0.741464285714286,0.738150793650794
"IL10",0.476745124464135,0.723099511599512,0.81375,0.736666666666667,0.72,0.744424603174603,0.755553751803752
"HIF1A",0.468380712736515,0.703709568209568,0.813055555555556,0.685,0.763333333333333,0.76834126984127,0.724770202020202
"IFNB1",0.483590067523599,0.723667215137803,0.819583333333333,0.716666666666667,0.748333333333333,0.762275974025974,0.742607142857143
"ITGAM",0.461276456964895,0.697337662337662,0.812916666666667,0.673333333333333,0.766666666666667,0.769384920634921,0.717275974025974
"TREM1",0.418997489840894,0.676932178932179,0.803472222222222,0.658333333333333,0.743333333333333,0.73740873015873,0.702029942279942
"IFNA1",0.455189031277817,0.71259484959485,0.812083333333333,0.713333333333333,0.726666666666667,0.738797619047619,0.733123015873016
"HLA.DRA",0.423599737817195,0.674725496725497,0.794722222222222,0.653333333333333,0.751666666666667,0.739849206349206,0.705412698412698
"C5AR1",0.453843215130385,0.711627011877012,0.805,0.72,0.72,0.73159126984127,0.738379148629149
"PLAUR",0.439877665299434,0.686952325452325,0.794444444444445,0.676666666666667,0.743333333333333,0.742007936507937,0.720970418470418
"LCN2",0.459008627183584,0.718044749862932,0.805972222222222,0.715,0.726666666666667,0.737130952380952,0.741093073593074
"NLRP3",0.446945911110314,0.70534213009213,0.8125,0.698333333333333,0.735,0.737226190476191,0.725293650793651
"IFNA2",0.458320454228853,0.703980963480964,0.803194444444444,0.698333333333333,0.743333333333333,0.747996031746032,0.729791847041847
"IL6",0.447917960645638,0.716104798795975,0.805,0.735,0.696666666666667,0.724186868686869,0.743412698412698
"BCL2",0.500190842997797,0.740796398046398,0.822638888888889,0.761666666666667,0.72,0.748456349206349,0.772265873015873
"CALCA",0.4706996048823,0.715874680874681,0.8175,0.71,0.743333333333333,0.754539682539683,0.735924603174603
"TLR4",0.468582140157916,0.710891108891109,0.811944444444444,0.708333333333333,0.741666666666667,0.75193253968254,0.738323593073593
"ELANE",0.493578030768931,0.726728160728161,0.8175,0.728333333333333,0.745,0.762809523809524,0.754545815295815
"NLRP3.1",0.443545717643238,0.700042235542236,0.811805555555556,0.696666666666667,0.733333333333333,0.732738095238095,0.726194444444444
"CCR7",0.463141576854215,0.709036297036297,0.810694444444444,0.708333333333333,0.736666666666667,0.749936507936508,0.734811688311688
"CCL2",0.483296584749429,0.718698357198357,0.817777777777778,0.703333333333333,0.765,0.762119047619048,0.737757936507937
"MAPK14",0.461746445171824,0.713323065823066,0.814305555555556,0.706666666666667,0.738333333333333,0.749857142857143,0.730626984126984
"TNF",0.469587347186035,0.713848527289704,0.806666666666667,0.713333333333333,0.74,0.742881313131313,0.746277777777778
"NOTCH1",0.425894502850722,0.696240592740593,0.789305555555556,0.698333333333333,0.711666666666667,0.729190476190476,0.716147186147186
"S100A8",0.452592236652358,0.708166056166056,0.79875,0.718333333333333,0.715,0.735861111111111,0.739902958152958
"LBP",0.477332704156859,0.720858003108003,0.824722222222222,0.718333333333333,0.741666666666667,0.758253968253968,0.738920634920635
"MMP8",0.446588692134585,0.698949960170548,0.818472222222222,0.69,0.735,0.75480772005772,0.718065656565657
"MAPK14.1",0.471348536518596,0.714344129495645,0.832222222222222,0.695,0.758333333333333,0.755980158730159,0.735148629148629
"CCL25",0.513122212336106,0.72789343989344,0.841666666666667,0.721666666666667,0.771666666666667,0.775706349206349,0.760107142857143
"MYD88",0.465259253242007,0.71422027972028,0.810972222222222,0.715,0.736666666666667,0.74202380952381,0.739073593073593
"CD14",0.465192286393488,0.708258121359726,0.816944444444444,0.695,0.753333333333333,0.745839466089466,0.738557359307359
"CX3CR1",0.446929685384535,0.708467414938003,0.801388888888889,0.713333333333333,0.718333333333333,0.734188672438672,0.73121645021645
"S100A12",0.488474825434556,0.73002474517626,0.812222222222222,0.726666666666667,0.743333333333333,0.757345238095238,0.752007936507937
"S100A9",0.450553109194633,0.716255855255855,0.793472222222222,0.726666666666667,0.706666666666667,0.73677380952381,0.732920634920635
"OLFM4",0.432826731545052,0.688080253080253,0.814861111111111,0.666666666666667,0.751666666666667,0.741111111111111,0.707761904761905
"IL1R2",0.440860801944692,0.681440254190254,0.803472222222222,0.66,0.76,0.754888888888889,0.710980158730159
"P2RX7",0.506809953527951,0.730097513597514,0.807361111111111,0.731666666666667,0.746666666666667,0.76243253968254,0.755384920634921
"HIF1A.1",0.43502733132198,0.698361471861472,0.803611111111111,0.701666666666667,0.718333333333333,0.729238095238095,0.722761904761905
"VCAM1",0.476714082210915,0.726601614072202,0.814305555555556,0.736666666666667,0.721666666666667,0.748494227994228,0.750142857142857
"CCL19",0.460984097106901,0.704921911421911,0.807638888888889,0.711666666666667,0.726666666666667,0.74327380952381,0.744704545454545
"CCR2.2",0.451437975477995,0.70180217005217,0.820555555555556,0.696666666666667,0.736666666666667,0.74725,0.724662698412698
"IL1R2.1",0.510568277557028,0.734687645687646,0.834305555555556,0.73,0.765,0.76975,0.758178571428571
"TLR2",0.460286090066134,0.709228549228549,0.819027777777778,0.696666666666667,0.75,0.747428571428571,0.728111111111111
"CD177",0.468111468387895,0.712945547916136,0.820833333333333,0.705,0.746666666666667,0.751454545454545,0.736134920634921
"CCR2.3",0.416064572393555,0.690844789329638,0.804444444444444,0.686666666666667,0.715,0.71452380952381,0.717730158730159
"IL1B",0.476224108862998,0.712615218115218,0.814583333333333,0.713333333333333,0.738333333333333,0.741924603174603,0.740369047619048
"CCR2.4",0.399582209390131,0.685127206127206,0.795138888888889,0.681666666666667,0.701666666666667,0.723611111111111,0.694845238095238
"CCR2.5",0.45567644776655,0.708551948051948,0.799861111111111,0.706666666666667,0.725,0.737642857142857,0.724847402597403
"CRP",0.483597530722989,0.718838938838939,0.811388888888889,0.715,0.751666666666667,0.756523809523809,0.746015873015873
"SOCS3",0.472933094120305,0.708689699189699,0.810416666666667,0.713333333333333,0.74,0.744436507936508,0.751236291486291
"CCL25.1",0.494447580133454,0.720257076257076,0.840833333333333,0.705,0.768333333333333,0.778456349206349,0.740347402597403
"C3AR1",0.466045238175654,0.712016816516816,0.815694444444444,0.711666666666667,0.733333333333333,0.747242063492063,0.742857142857143
