"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.564936401624698,0.914393465363751,0.910942857142857,0.9472,0.554285714285714,0.885719739686156,0.764980158730159
"CCR2",0.549777050392825,0.912026932748447,0.915657142857143,0.9472,0.535714285714286,0.880954922003423,0.755440476190476
"IL10",0.591820725972153,0.918620251699513,0.923371428571429,0.9468,0.59,0.893823961920139,0.768813492063492
"HIF1A",0.56030357268249,0.915615206620454,0.915571428571429,0.956,0.525714285714286,0.880533713535331,0.794297619047619
"ITGAM",0.572829019567983,0.917760751558984,0.919771428571429,0.956,0.542857142857143,0.884267056861108,0.791765873015873
"TREM1",0.509762958812965,0.903795313077022,0.9076,0.9352,0.52,0.876750638547147,0.708400793650794
"HLA.DRA",0.570141021405944,0.915666386700997,0.920742857142857,0.9472,0.564285714285714,0.888279985098131,0.760884920634921
"C5AR1",0.552207026762919,0.904251556386925,0.908028571428571,0.9384,0.538571428571429,0.874079239994206,0.753636724386724
"PLAUR",0.555179183616544,0.914299574841298,0.9148,0.9516,0.534285714285714,0.881260813401641,0.767055555555555
"LCN2",0.568233139352621,0.916558825905639,0.922285714285714,0.9572,0.53,0.880838408837253,0.799678571428571
"NLRP3",0.572422368581978,0.916260993104048,0.926742857142857,0.9512,0.552857142857143,0.885452748564668,0.775809523809524
"IL6",0.5559931981072,0.905345932369224,0.910971428571429,0.94,0.54,0.874848223603744,0.760031746031746
"CALCA",0.588589696091014,0.920460821071183,0.917714285714286,0.96,0.548571428571429,0.885605155413943,0.815063492063492
"TLR4",0.578186275300473,0.917314381680308,0.914114285714286,0.9524,0.555714285714286,0.886286956160543,0.786083333333333
"ELA2",0.550970073807683,0.910875970274091,0.909257142857143,0.9456,0.535714285714286,0.880231518181968,0.761814213564214
"NLRP3.1",0.56475702091482,0.915700211214656,0.908342857142857,0.9552,0.531428571428571,0.881186180434734,0.793428571428571
"CCR7",0.568498560196944,0.915084196635724,0.916685714285714,0.95,0.548571428571429,0.884655446893603,0.778261904761905
"CCL2",0.593704196808144,0.92195019211068,0.923571428571429,0.9604,0.558571428571429,0.887847743456642,0.805583333333333
"MAPK14",0.55523341211379,0.905002415042632,0.907514285714286,0.9404,0.535714285714286,0.873672245201004,0.764412698412698
"TNF",0.5759381923558,0.916714387434013,0.917314285714286,0.9508,0.557142857142857,0.887127582101945,0.781031746031746
"NOTCH1",0.604523404005987,0.92198892741891,0.923057142857143,0.9548,0.582857142857143,0.893265776274295,0.802059523809524
"S100A8",0.566821680784907,0.9151799014993,0.921971428571429,0.9512,0.544285714285714,0.883442097423855,0.777218253968254
"MMP8",0.579699885380152,0.916624394438041,0.9188,0.9472,0.572857142857143,0.8904329971403,0.768282106782107
"MAPK14.1",0.577630830160813,0.916953711529913,0.922771428571429,0.9548,0.544285714285714,0.883869619107497,0.802678571428571
"CCL25",0.545104007115209,0.909910034049488,0.915971428571429,0.9436,0.535714285714286,0.880690418295895,0.754019841269841
"MYD88",0.582063879869422,0.917038622908415,0.914828571428571,0.9504,0.562857142857143,0.888329698839669,0.78787518037518
"CD14",0.572997003389761,0.916576551181672,0.917028571428571,0.952,0.551428571428571,0.885285541447835,0.780678571428571
"CX3CR1",0.549574893497654,0.913657757870561,0.922257142857143,0.9512,0.53,0.880582386751797,0.763730158730159
"S100A12",0.59137319335381,0.920144417583779,0.931771428571429,0.9576,0.557142857142857,0.886869519701727,0.806174603174603
"S100A9",0.561381706714349,0.91462427952225,0.916028571428571,0.9484,0.55,0.884954565467079,0.765
"OLFM4",0.568007823560711,0.91500289854459,0.919971428571429,0.9528,0.537142857142857,0.881805089432124,0.793246031746032
"IL1R2",0.576292289670286,0.909371033067315,0.908342857142857,0.9448,0.551428571428571,0.878049151614669,0.780134920634921
"P2RX7",0.554371826477404,0.914054076851172,0.909142857142857,0.95,0.538571428571429,0.8826839909796,0.759642857142857
"HIF1A.1",0.554210363178825,0.914976341981868,0.917714285714286,0.9584,0.511428571428571,0.877126125445096,0.794234126984127
"CCL19",0.552581803656206,0.912746299129293,0.920885714285714,0.9492,0.532857142857143,0.881096643364678,0.772535714285714
"CCR2.1",0.564758909883678,0.914261616049859,0.924428571428571,0.9532,0.53,0.880029613611997,0.794630952380952
"IL1R2.1",0.557014229053921,0.906110539983832,0.913114285714286,0.9448,0.525714285714286,0.872226990940506,0.781015873015873
"TLR2",0.577022761236692,0.91805288310278,0.922571428571429,0.9568,0.542857142857143,0.883941417487916,0.79952380952381
"CD177",0.56467335992842,0.914135942815423,0.904771428571429,0.9464,0.555714285714286,0.885577191002052,0.761964285714286
"CCR2.2",0.568259749738254,0.915139801266865,0.915371428571429,0.9472,0.56,0.887533964991086,0.76397619047619
"IL1B",0.559417930304572,0.907334149663443,0.909714285714286,0.9452,0.532857142857143,0.873790000039171,0.773460317460317
"CCR2.3",0.583944541333699,0.918624581800291,0.920885714285714,0.9532,0.562857142857143,0.887887146541543,0.784857142857143
"SOCS3",0.571523557450495,0.915975635867518,0.918828571428571,0.9524,0.545714285714286,0.883684888203029,0.784039682539682
"C3AR1",0.554696589495851,0.913730003156941,0.9088,0.9496,0.538571428571429,0.882071099717383,0.75990873015873
"MAPK14.2",0.581101591957784,0.918722402021165,0.921542857142857,0.9592,0.538571428571429,0.883177664621941,0.81152380952381
"HMGB1",0.544931463845698,0.905407270429246,0.904085714285714,0.948,0.505714285714286,0.868119703767203,0.778107142857143
"CXCL10",0.565856118134075,0.914678393043188,0.913971428571429,0.9468,0.558571428571428,0.886483830409424,0.7571056998557
