"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.907436695959174,0.943928571428571,0.987777777777778,0.933333333333333,0.963333333333333,0.971,0.9485
"CCR2",0.871810707742431,0.921880952380952,0.987777777777778,0.91,0.946666666666667,0.957666666666667,0.931166666666667
"IL10",0.888551775223028,0.930880952380952,0.987777777777778,0.916666666666667,0.956666666666667,0.967666666666667,0.937666666666667
"HIF1A",0.891480707411162,0.932666666666667,0.992222222222222,0.926666666666667,0.95,0.961666666666667,0.946166666666667
"ITGAM",0.901653232396835,0.942452380952381,0.987222222222222,0.933333333333333,0.956666666666667,0.967666666666667,0.946666666666667
"TREM1",0.88759417130477,0.927357142857143,0.985,0.906666666666667,0.966666666666667,0.9735,0.9305
"HLA.DRA",0.888402973595167,0.928404761904762,0.993888888888889,0.913333333333333,0.96,0.969333333333333,0.936333333333333
"C5AR1",0.891174430437706,0.929261904761905,0.978333333333333,0.916666666666667,0.953333333333333,0.959333333333333,0.934333333333333
"PLAUR",0.894177763439771,0.936357142857143,0.983888888888889,0.92,0.963333333333333,0.9685,0.9375
"LCN2",0.878626176036958,0.926904761904762,0.986666666666667,0.92,0.943333333333333,0.955833333333333,0.939333333333333
"NLRP3",0.884409639599297,0.929452380952381,0.99,0.92,0.95,0.960166666666667,0.940166666666667
"IL6",0.900365628147309,0.939357142857143,0.982777777777778,0.926666666666667,0.963333333333333,0.9685,0.9435
"CALCA",0.88857549858084,0.930047619047619,0.985,0.916666666666667,0.96,0.965833333333333,0.936333333333333
"TLR4",0.881076306265963,0.927642857142857,0.987777777777778,0.913333333333333,0.953333333333333,0.9635,0.9335
"ELA2",0.905976566723975,0.937904761904762,0.989444444444444,0.926666666666667,0.966666666666667,0.973333333333333,0.947333333333333
"NLRP3.1",0.911174430437706,0.946404761904762,0.991666666666667,0.94,0.96,0.969333333333333,0.954333333333333
"CCR7",0.875720967206636,0.926785714285714,0.982222222222222,0.916666666666667,0.946666666666667,0.956,0.9335
"CCL2",0.894260837971436,0.932404761904762,0.989444444444444,0.92,0.96,0.969333333333333,0.941333333333333
"MAPK14",0.896050967537905,0.9355,0.986666666666667,0.923333333333333,0.96,0.9685,0.942
"TNF",0.88774297293263,0.932119047619048,0.992222222222222,0.923333333333333,0.95,0.961833333333333,0.941833333333333
"NOTCH1",0.917989898732233,0.948571428571429,0.992777777777778,0.933333333333333,0.973333333333333,0.98,0.95
"S100A8",0.884665239116635,0.930142857142857,0.991111111111111,0.923333333333333,0.946666666666667,0.9595,0.942
"MMP8",0.892387633873303,0.933833333333333,0.986666666666667,0.92,0.96,0.966833333333333,0.939333333333333
"MAPK14.1",0.884484040413227,0.932833333333333,0.992222222222222,0.93,0.94,0.954333333333333,0.945833333333333
"CCL25",0.86759417130477,0.921285714285714,0.987777777777778,0.913333333333333,0.94,0.952,0.932
"MYD88",0.861504430768975,0.917690476190476,0.982777777777778,0.903333333333333,0.946666666666667,0.951833333333333,0.922833333333333
"CD14",0.897989898732233,0.938571428571429,0.99,0.923333333333333,0.963333333333333,0.97,0.94
"CX3CR1",0.896859769828302,0.934261904761905,0.994444444444444,0.916666666666667,0.966666666666667,0.974333333333333,0.937833333333333
"S100A12",0.905646566392706,0.940619047619048,0.99,0.936666666666667,0.956666666666667,0.965833333333333,0.953833333333333
"S100A9",0.896859769828302,0.935976190476191,0.993333333333333,0.926666666666667,0.956666666666667,0.966833333333333,0.945333333333333
"OLFM4",0.905646566392706,0.941976190476191,0.990555555555556,0.936666666666667,0.956666666666667,0.966833333333333,0.952833333333333
"IL1R2",0.887998572449968,0.923738095238095,0.980555555555556,0.91,0.953333333333333,0.962666666666667,0.932166666666667
"P2RX7",0.886125368351835,0.931738095238095,0.989444444444444,0.92,0.953333333333333,0.962666666666667,0.937666666666667
"HIF1A.1",0.885952843366162,0.932095238095238,0.980555555555556,0.93,0.94,0.956166666666667,0.947666666666667
"CCL19",0.884484040413227,0.932833333333333,0.987222222222222,0.93,0.94,0.954333333333333,0.945833333333333
"CCR2.1",0.858881775554296,0.916166666666667,0.985555555555556,0.906666666666667,0.936666666666667,0.950166666666667,0.926166666666667
"IL1R2.1",0.924177763439771,0.9535,0.996111111111111,0.943333333333333,0.97,0.9785,0.9575
"TLR2",0.888724300208701,0.933380952380952,0.988888888888889,0.923333333333333,0.953333333333333,0.961666666666667,0.940166666666667
"CD177",0.904986565730169,0.94547619047619,0.987222222222222,0.953333333333333,0.94,0.953333333333333,0.964333333333333
"CCR2.2",0.891727633210765,0.935047619047619,0.983888888888889,0.923333333333333,0.956666666666667,0.963333333333333,0.940833333333333
"IL1B",0.87774297293263,0.927833333333333,0.99,0.92,0.943333333333333,0.956833333333333,0.936833333333333
"CCR2.3",0.888402973595167,0.928976190476191,0.992222222222222,0.916666666666667,0.956666666666667,0.966833333333333,0.938833333333333
"SOCS3",0.864971516090091,0.915261904761905,0.991111111111111,0.903333333333333,0.943333333333333,0.956833333333333,0.928833333333333
"C3AR1",0.898319899063502,0.9395,0.987222222222222,0.926666666666667,0.96,0.9685,0.9425
"MAPK14.2",0.905316566061437,0.942404761904762,0.987222222222222,0.933333333333333,0.96,0.969333333333333,0.949333333333333
"HMGB1",0.860350578507231,0.910071428571429,0.981111111111111,0.89,0.953333333333333,0.961,0.919
"CXCL10",0.864641515758823,0.917619047619048,0.985555555555556,0.903333333333333,0.943333333333333,0.957833333333333,0.926833333333333
"MMP9",0.878147374077829,0.927,0.986666666666667,0.91,0.953333333333333,0.9645,0.93
"BCL2",0.900267503975566,0.938880952380952,0.986111111111111,0.93,0.956666666666667,0.967666666666667,0.947666666666667
"TNFSF10",0.868147374077829,0.920785714285714,0.977222222222222,0.91,0.943333333333333,0.9535,0.931
"PDCD1",0.902866435832432,0.939380952380952,0.987222222222222,0.926666666666667,0.963333333333333,0.971666666666667,0.945166666666667
"ICAM1",0.896199769165765,0.93547619047619,0.991666666666667,0.92,0.963333333333333,0.970833333333333,0.939333333333333
"ARG1",0.897189770159571,0.934404761904762,0.991111111111111,0.923333333333333,0.96,0.969333333333333,0.943833333333333
