"Feature","Mean_Importance"
"HIF1A",0.922906419596412
"CD14",0.727758156373198
"HMGB1",0.709214774805667
"HIF1A.2",0.704266478792387
"CCR2.1",0.566396190355538
"P2RX7",0.50184672291262
"CCR2.2",0.458971756816069
"GATA3",0.417809020408083
"IFNG",0.332491110691368
"HIF1A.1",0.330680555534309
"TLR4",0.267018964007921
"OLFM4",0.253726679427384
"IL8",0.251960068742249
"CX3CR1.1",0.251107943357458
"CXCL10",0.224003236024003
"CD177",0.22059698914404
"NOTCH1",0.214388040916709
"TNF",0.190022641387456
"ELA2",0.188863233692953
"PDCD1",0.179244550312176
"NLRP3.2",0.178611772283203
"IL1R2.2",0.175776407362329
"CX3CR1",0.175523450626651
"HMGB1.1",0.174156871393452
"S100A8",0.170747986038605
"CCR2.5",0.164776246046247
"IL8.1",0.151443678992645
"MMP9",0.15069068665152
"IL6",0.150165797642691
"LCN2",0.148472684103553
"NLRP3.1",0.14306455228024
"NLRP3",0.124460452897018
"MMP8",0.118998608020537
"CCL19",0.117613554389646
"ARG1",0.112051624075697
"BCL2",0.109950640881045
"MYD88",0.106483763122244
"S100A12",0.104825162937686
"MAPK14.2",0.0994106662418585
"IL10",0.0969777410412309
"CCR2.3",0.0909859042910944
"OLFM4.1",0.090523471293654
"CALCA",0.0885826569590602
"PLAUR.1",0.0882358085834015
"CCR7",0.0844793773943037
"IL10.1",0.0822934227573775
"HLA.DRA",0.0818069899155799
"CCR2",0.0745000702441145
"HLA.DRA.1",0.0730987936541729
"FCGR1A",0.0727801485256516
"SOCS3",0.071892217795827
"IL1B",0.0700750549169152
"C3AR1",0.067668824200632
"CCL25",0.067641342936103
"MAPK14.3",0.0640958743355028
"C5AR1",0.0640536817678092
"MAPK14.1",0.0638747836965211
"PLAUR.2",0.0625293368401489
"TREM1",0.0611290529507584
"TLR2",0.0608419521475518
"ICAM1",0.0606149226389938
"MAPK14",0.0558842771781994
"CCR2.4",0.0546210046021915
"PLAUR",0.054167179866344
"TNFSF10",0.0528179863964027
"CD14.1",0.0493228118340108
"IL1R2.1",0.0489946561359426
"VCAM1",0.0477682549775372
"BCL2.1",0.0449677180841523
"IL1R2",0.0421213517760065
"CCL2",0.0413045719155111
"SOCS3.1",0.0404298550185625
"ITGAM",0.0366118624723915
"S100A9",0.0298385312011042
