"Feature","Mean_Importance"
"HMGB1",7.73628845554549
"HIF1A",5.12612517946218
"CD14",4.69273259188529
"HIF1A.2",4.20459678473992
"PLAUR",3.3671692750169
"HIF1A.1",3.10770714606755
"HMGB1.1",2.62689486518032
"CD14.1",2.33354895940106
"TNF",2.26570123407311
"C5AR1",1.92009780914987
"IL1R2.2",1.85356955361424
"CXCL10",1.73598711658971
"MYD88",1.54145228358076
"CX3CR1",1.34908282457338
"ICAM1",1.29416726341134
"CCR2.2",1.26818634621571
"S100A8",1.20687025822802
"S100A9",1.19904496464458
"NLRP3.2",1.17223507172245
"CX3CR1.1",1.16982308062531
"ELA2",1.15835766882078
"CCR2.1",1.14705263277708
"ITGAM",1.13766655164891
"S100A12",1.12542261373071
"TREM1",1.10308755808107
"TNFSF10",1.08389485292773
"IL1B",1.08238837904991
"C3AR1",1.06342131964462
"IFNG",1.05749251543667
"NOTCH1",1.04322702344666
"CCL2",1.01505527024906
"P2RX7",1.0106471149035
"CCR2.5",1.00850720305622
"IL10.1",0.972878216190935
"FCGR1A",0.972745062690041
"MMP9",0.963120015163647
"MAPK14.2",0.917210571265586
"PDCD1",0.915409767237944
"OLFM4.1",0.9050465346522
"NLRP3.1",0.904572757748007
"OLFM4",0.870636953151262
"CCR2",0.842504798291041
"CCR2.3",0.834183437101452
"PLAUR.1",0.822941663230854
"TLR4",0.746281448971835
"MMP8",0.732395915984208
"NLRP3",0.728966297038277
"PLAUR.2",0.717928455952678
"CCL19",0.705105610329811
"ARG1",0.693535405052981
"CD177",0.687046852375287
"IL8",0.664719493307004
"IL1R2.1",0.660546401671247
"HLA.DRA.1",0.657842114553114
"BCL2.1",0.655666898557669
"CALCA",0.64697019349983
"MAPK14.3",0.636871440334062
"LCN2",0.635122961376994
"IL10",0.600747590334874
"CCR2.4",0.598641161256783
"IL8.1",0.587276258412665
"SOCS3.1",0.585942143642148
"MAPK14",0.572046235015771
"VCAM1",0.566226892008312
"IL1R2",0.565348288843234
"MAPK14.1",0.561056147235336
"IL6",0.556881285131605
"SOCS3",0.532761085816926
"HLA.DRA",0.518961588886888
"BCL2",0.512234150868097
"CCL25",0.499351814307005
"TLR2",0.486911562403201
"GATA3",0.482286237567487
"CCR7",0.456789223454284
