"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.578331130538506,0.916189058293649,0.918571428571429,0.9516,0.551428571428571,0.885718071367247,0.797522366522367
"CCR2",0.591823674532233,0.918631152341663,0.923828571428571,0.9528,0.565714285714286,0.888874568149381,0.803059523809524
"IL10",0.563976344442805,0.914504360995608,0.922771428571429,0.95,0.542857142857143,0.883976062929581,0.783813492063492
"HIF1A",0.561325297037514,0.914514901165383,0.9124,0.9536,0.528571428571429,0.881005544609614,0.793859668109668
"ITGAM",0.5663455514061,0.914624513107712,0.915457142857143,0.9476,0.554285714285714,0.885949885998837,0.766313492063492
"TREM1",0.574550637639319,0.914880533246632,0.923457142857143,0.9456,0.565714285714286,0.888603824663243,0.776039682539682
"HLA.DRA",0.575162168637017,0.916460890652707,0.915685714285714,0.9512,0.554285714285714,0.886454963147242,0.784387085137085
"C5AR1",0.568108135498726,0.915448305534702,0.915428571428571,0.9516,0.544285714285714,0.883897483924744,0.783531746031746
"PLAUR",0.555221815777109,0.911199907002809,0.905142857142857,0.9432,0.547142857142857,0.88420707030427,0.762507936507936
"LCN2",0.575317775798071,0.9160130558722,0.918257142857143,0.9504,0.554285714285714,0.886425783578407,0.787551587301587
"NLRP3",0.574132503077466,0.915917271129472,0.9148,0.9508,0.551428571428571,0.885648356417719,0.791813492063492
"IL6",0.558358217332441,0.905547349960787,0.908628571428571,0.9432,0.528571428571429,0.872766870014321,0.78084126984127
"CALCA",0.584981132811227,0.916918150743026,0.917771428571429,0.9496,0.565714285714286,0.889204715579202,0.795873015873016
"TLR4",0.559639599034875,0.913440627194368,0.918571428571429,0.9492,0.538571428571429,0.882726194837209,0.780827922077922
"ELA2",0.550145211442282,0.91160509225612,0.9156,0.9468,0.534285714285714,0.881296746766334,0.766379148629149
"NLRP3.1",0.573587019019116,0.915856998271045,0.918742857142857,0.9504,0.552857142857143,0.886097352275062,0.786156926406926
"CCR7",0.582549354609598,0.916751042178871,0.918028571428571,0.9488,0.567142857142857,0.888973055418606,0.784203463203463
"CCL2",0.575598202772174,0.91595805616285,0.917285714285714,0.9492,0.558571428571429,0.887376724007705,0.786325396825397
"MAPK14",0.557224924211928,0.904115746933937,0.908885714285714,0.9368,0.544285714285714,0.875973509680803,0.765603174603175
"TNF",0.562403032915434,0.906206404130969,0.902514285714286,0.9408,0.542857142857143,0.876372424957802,0.775936507936508
"NOTCH1",0.587918402930248,0.918573550531252,0.922828571428571,0.9504,0.574285714285714,0.890895434361851,0.780103174603175
"S100A8",0.561594222567644,0.913312163684527,0.916885714285714,0.946,0.551428571428571,0.88529219535934,0.765899350649351
"MMP8",0.563881845107977,0.913680990386283,0.919971428571429,0.9468,0.551428571428571,0.884847821346221,0.768146825396825
"MAPK14.1",0.57039324241115,0.915002477144913,0.921514285714286,0.9496,0.55,0.885142450966214,0.78152380952381
"CCL25",0.585241804194881,0.917642944499206,0.9214,0.9516,0.562857142857143,0.88803753823499,0.793222222222222
"MYD88",0.562535342842834,0.906208849622982,0.909714285714286,0.942,0.538571428571429,0.875218688643175,0.777650793650794
"CD14",0.549243396118167,0.903558884676464,0.906142857142857,0.9412,0.521428571428571,0.871403511043686,0.780087301587302
"CX3CR1",0.58147559914594,0.918485464455973,0.921257142857143,0.9556,0.551428571428571,0.885850144829905,0.795880952380952
"S100A12",0.555351325239317,0.913974062786054,0.917342857142857,0.9524,0.528571428571429,0.880972339397655,0.779813492063492
"S100A9",0.562984224469963,0.914195523653514,0.919628571428571,0.95,0.541428571428571,0.88291636718763,0.778202380952381
"OLFM4",0.564131281504157,0.914182563067021,0.914942857142857,0.9472,0.552857142857143,0.885795621677111,0.767035714285714
"IL1R2",0.567918767027591,0.906816036598041,0.9106,0.9408,0.548571428571429,0.877155286855962,0.774785714285714
"P2RX7",0.56192979896608,0.914239304872086,0.921685714285714,0.9504,0.54,0.882771199325895,0.7765
"HIF1A.1",0.572014386055023,0.916017359390454,0.919628571428571,0.9528,0.544285714285714,0.884064271776239,0.791573953823954
"CCL19",0.572408872700092,0.91608046132971,0.919457142857143,0.9536,0.541428571428571,0.883632794113401,0.798816017316017
"CCR2.1",0.556310358161854,0.911626448241832,0.917142857142857,0.9436,0.548571428571429,0.884230848743539,0.763891414141414
"IL1R2.1",0.571045339795614,0.914973981314095,0.917771428571429,0.9488,0.552857142857143,0.886009792000294,0.783285714285714
"TLR2",0.567743825507376,0.915611134670989,0.9198,0.9528,0.54,0.883544214471598,0.792492063492063
"CD177",0.575655932710461,0.915413231540439,0.921142857142857,0.9528,0.541428571428571,0.883311823372292,0.807448412698413
"CCR2.2",0.555992108601627,0.912978700019189,0.9196,0.948,0.54,0.883066830031752,0.765931818181818
"IL1B",0.552149385975512,0.913415300221402,0.914342857142857,0.9516,0.527142857142857,0.880538121439193,0.775444444444444
"CCR2.3",0.596657905910617,0.919566047200285,0.917114285714286,0.9528,0.572857142857143,0.890853667166861,0.803900793650794
"SOCS3",0.587349054936204,0.918182090326278,0.9212,0.9504,0.571428571428571,0.890120215669166,0.785595238095238
"C3AR1",0.564021138810282,0.913447951931546,0.916514285714286,0.9456,0.554285714285714,0.88593764198299,0.77049025974026
"MAPK14.2",0.572423975461441,0.915535114444654,0.918857142857143,0.9508,0.548571428571429,0.885362051518847,0.790842352092352
"HMGB1",0.546460083502547,0.904354348548354,0.899142857142857,0.9444,0.512857142857143,0.869586441129941,0.77975
"CXCL10",0.57714077404503,0.916729387674647,0.919,0.9488,0.565714285714286,0.889187046647616,0.77394696969697
"MMP9",0.565976805663693,0.906578810389441,0.911885714285714,0.9432,0.537142857142857,0.874929431936125,0.788142857142857
"BCL2",0.555537633859885,0.904907902406495,0.9102,0.9396,0.538571428571429,0.874847052644729,0.761472222222222
"TNFSF10",0.587296799131875,0.916567778765383,0.914742857142857,0.9464,0.577142857142857,0.891093468037321,0.783284271284271
"PDCD1",0.587949090546693,0.917607597733042,0.919485714285714,0.948,0.577142857142857,0.891290833509248,0.783190476190476
"ICAM1",0.570570872672931,0.915349138123538,0.916514285714286,0.948,0.558571428571428,0.887220903730547,0.772511904761905
"ARG1",0.567866956298043,0.914808560340139,0.915285714285714,0.9516,0.54,0.883044378690331,0.790515873015873
"IL10.1",0.587616097544254,0.918279775593932,0.921,0.9516,0.567142857142857,0.889394454817768,0.791178571428571
"CX3CR1.1",0.581200817391949,0.917175017769555,0.921314285714286,0.952,0.557142857142857,0.886827041800302,0.793996031746032
"OLFM4.1",0.565106974750096,0.914064062815403,0.921371428571429,0.9488,0.545714285714286,0.883973357282326,0.779137445887446
"SOCS3.1",0.570476517544852,0.915611678122995,0.920542857142857,0.952,0.544285714285714,0.884282349663004,0.793
"HLA.DRA.1",0.575106431534353,0.916554381860702,0.921428571428571,0.9532,0.547142857142857,0.8846429000889,0.792370851370851
"FCGR1A",0.578099737481221,0.916518419643035,0.919285714285714,0.9492,0.562857142857143,0.88839801201165,0.784077922077922
"IL8.1",0.565039557298841,0.915994026543731,0.919114285714286,0.9552,0.532857142857143,0.881912065952118,0.791119047619048
"IFNG",0.562591624250817,0.914410508464419,0.921514285714286,0.9496,0.544285714285714,0.884028442369715,0.778456349206349
"HMGB1.1",0.569086975899235,0.91484024463442,0.919,0.9496,0.548571428571429,0.884645113249236,0.782267676767677
"BCL2.1",0.565374991142609,0.914590558106517,0.921857142857143,0.9508,0.541428571428571,0.883282620121071,0.786785714285714
"IL1R2.2",0.555180857389407,0.911830080241648,0.914514285714286,0.9452,0.542857142857143,0.883206428694157,0.768403318903319
"CCR2.4",0.575516665127305,0.916229347482151,0.919857142857143,0.9512,0.552857142857143,0.885907143413387,0.790376984126984
"NLRP3.2",0.584598148932914,0.918431424069252,0.916571428571429,0.9528,0.562857142857143,0.888489367472298,0.792047619047619
"VCAM1",0.575570538909513,0.916409894792571,0.923914285714286,0.95,0.558571428571428,0.887427946412376,0.782720779220779
"PLAUR.1",0.589624865986177,0.918693684264824,0.920228571428571,0.9532,0.564285714285714,0.888799220346394,0.801813492063492
"CCR2.5",0.577009424012499,0.91578381970433,0.919771428571429,0.9484,0.561428571428571,0.887549083953828,0.783510461760462
"HIF1A.2",0.565093814386129,0.914692093872956,0.9198,0.9516,0.538571428571429,0.883185899341372,0.788363636363636
"MAPK14.3",0.56738157701854,0.914926247759669,0.922885714285714,0.9508,0.544285714285714,0.883832902070855,0.784924603174603
"CD14.1",0.5617668747257,0.905918481200611,0.904685714285714,0.944,0.528571428571429,0.873155362508484,0.789883477633478
