"Feature","Mean_Importance"
"IL1R2.2",1.82889897641296
"HMGB1",1.25202896980323
"CD14",1.05792977456346
"MYD88",1.03413504837386
"HMGB1.1",0.985334542035052
"C3AR1",0.804798543697876
"PLAUR",0.747788384148514
"HIF1A",0.736825828884663
"CX3CR1.1",0.575661807578475
"TNFSF10",0.556510984989847
"HIF1A.1",0.543486166784604
"CD14.1",0.542680955162078
"TNF",0.530278429829796
"ICAM1",0.526332127396209
"PLAUR.1",0.498848700389145
"TREM1",0.488029954656852
"CX3CR1",0.460953861920261
"HIF1A.2",0.450790003886137
"CCL2",0.416086647093878
"CCR2.3",0.40833810790187
"P2RX7",0.389218982186464
"IL8.1",0.382266928652134
"C5AR1",0.37372461978734
"CXCL10",0.368104702612621
"PLAUR.2",0.367870390325719
"IL1R2.1",0.363058621529689
"TLR4",0.348794753636963
"NLRP3.2",0.328186883761212
"CCR2.2",0.320684030474497
"CCR2.4",0.319136139167651
"IL1B",0.316652017161844
"CCR2.1",0.309236463462251
"IL8",0.295308827903174
"MMP8",0.286084580074949
"S100A8",0.279378009287946
"ELA2",0.274899976166751
"IL10.1",0.267863868850924
"VCAM1",0.261477391432352
"CCR2",0.256053074449331
"NLRP3.1",0.252399437815217
"CALCA",0.252177635313957
"BCL2.1",0.250977860317056
"ITGAM",0.244808029159824
"S100A12",0.240257546251653
"CD177",0.238326141674188
"NOTCH1",0.236189175713182
"MAPK14.1",0.234985384509117
"OLFM4.1",0.23463438199415
"PDCD1",0.234403002132827
"CCL25",0.23374527208603
"OLFM4",0.227279848162298
"IFNG",0.226708853376078
"IL1R2",0.225199456054368
"TLR2",0.223906255992136
"LCN2",0.222694993605697
"CCL19",0.222645414635426
"FCGR1A",0.222117512448163
"SOCS3.1",0.217458346069437
"MAPK14.3",0.216697741318385
"BCL2",0.212781203633864
"MMP9",0.21018434259794
"MAPK14.2",0.204551077753568
"IL6",0.200828006035886
"IL10",0.197762178947147
"ARG1",0.196090463078602
"CCR2.5",0.194523430862202
"MAPK14",0.186080237665502
"NLRP3",0.179968807133821
"HLA.DRA.1",0.174514457206367
"GATA3",0.173139213188242
"SOCS3",0.168530536392962
"S100A9",0.166836748755703
"HLA.DRA",0.160550151258256
"CCR7",0.157740359375549
