"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.690867670851191,0.795667519909944,0.931571428571429,0.734,0.922857142857143,0.889904761904762,0.840115079365079
"CCR2",0.711435430382022,0.80665207015207,0.937,0.768,0.915714285714286,0.88727380952381,0.857177128427128
"IL10",0.708047994965653,0.804201298701299,0.933285714285714,0.766,0.915714285714286,0.881095238095238,0.857527777777778
"HIF1A",0.723870855797542,0.804501443001443,0.940142857142857,0.758,0.93,0.911222222222222,0.857459956709957
"ITGAM",0.704135904239214,0.793894327894328,0.927714285714286,0.74,0.928571428571429,0.900940476190476,0.845327922077922
"TREM1",0.699499621723554,0.795859862359862,0.921714285714286,0.758,0.912857142857143,0.880345238095238,0.853685064935065
"HLA.DRA",0.712271757455025,0.805155844155844,0.938285714285714,0.762,0.921428571428571,0.889452380952381,0.856103174603175
"C5AR1",0.682278823996386,0.779790431790432,0.923571428571429,0.732,0.915714285714286,0.88425,0.840200937950938
"PLAUR",0.710946950501575,0.803465034965035,0.927,0.762,0.918571428571429,0.891892857142857,0.855524891774892
"LCN2",0.708875544122906,0.805578088578089,0.929285714285714,0.764,0.918571428571429,0.883309523809524,0.855496031746032
"NLRP3",0.702121187030501,0.805551575248545,0.934714285714286,0.758,0.915714285714286,0.881392857142857,0.854361111111111
"IL6",0.696519540425689,0.791792374292374,0.933142857142857,0.744,0.922857142857143,0.886190476190476,0.845958874458874
"CALCA",0.692823575787368,0.789893217893218,0.928714285714286,0.742,0.92,0.884738095238095,0.844496031746032
"TLR4",0.719093119196315,0.802135642135642,0.939142857142857,0.748,0.937142857142857,0.908690476190476,0.851469336219336
"ELA2",0.677223678237411,0.786434160676585,0.929428571428571,0.734,0.911428571428571,0.876107142857143,0.839858225108225
"NLRP3.1",0.693945177181562,0.799220588614528,0.935571428571429,0.75,0.914285714285714,0.878678571428571,0.850293650793651
"CCR7",0.71355194342679,0.800920634920635,0.929857142857143,0.754,0.925714285714286,0.899690476190476,0.853998556998557
"CCL2",0.73240835220701,0.818041847041847,0.933857142857143,0.776,0.928571428571429,0.900285714285714,0.864547619047619
"MAPK14",0.710609298528096,0.803939393939394,0.929285714285714,0.762,0.92,0.888333333333333,0.855650793650794
"TNF",0.675574610057193,0.779711455211455,0.926571428571429,0.74,0.902857142857143,0.872277777777778,0.842383477633478
"NOTCH1",0.696327664122065,0.799883393822788,0.923714285714286,0.74,0.924285714285714,0.890214285714286,0.843690476190476
"S100A8",0.704873235015245,0.798985918682888,0.928857142857143,0.728,0.94,0.90775,0.840708874458874
"MMP8",0.711535283448067,0.798946997446997,0.928428571428571,0.75,0.928571428571429,0.898702380952381,0.852405844155844
"MAPK14.1",0.695465396161219,0.79481746031746,0.921285714285714,0.748,0.917142857142857,0.883428571428571,0.846777777777778
"CCL25",0.716933048551681,0.804920301920302,0.934428571428571,0.756,0.928571428571429,0.90127380952381,0.854006493506493
"MYD88",0.700250219705171,0.801649248618946,0.933285714285714,0.74,0.928571428571429,0.891785714285714,0.844984126984127
"CD14",0.70307524247839,0.802238109813867,0.923,0.738,0.932857142857143,0.89597619047619,0.843926767676768
"CX3CR1",0.699379688867512,0.794002164502165,0.936,0.746,0.922857142857143,0.887595238095238,0.847883477633478
"S100A12",0.720001746184962,0.808505217005217,0.924,0.754,0.934285714285714,0.904952380952381,0.851345238095238
"S100A9",0.691221462218298,0.797458377761408,0.930714285714286,0.74,0.92,0.88440873015873,0.842865079365079
"OLFM4",0.690946503026749,0.788576534576535,0.925,0.74,0.917142857142857,0.888166666666667,0.84303823953824
"IL1R2",0.682844075531144,0.784379176379176,0.933571428571429,0.736,0.915714285714286,0.88125,0.838577922077922
"P2RX7",0.710451747997237,0.796769841269841,0.934571428571429,0.744,0.932857142857143,0.901095238095238,0.849427128427128
"HIF1A.1",0.704425569770091,0.795303418803419,0.936857142857143,0.742,0.927142857142857,0.899059523809524,0.846365079365079
"CCL19",0.701073502767605,0.801686809262567,0.929142857142857,0.752,0.918571428571429,0.886607142857143,0.851277056277056
"CCR2.1",0.726996992957851,0.812316017316017,0.936142857142857,0.766,0.93,0.904404761904762,0.85951443001443
"IL1R2.1",0.702833860113297,0.802112758173364,0.933,0.748,0.922857142857143,0.890047619047619,0.849783910533911
"TLR2",0.719594331641078,0.810363636363636,0.938,0.768,0.922857142857143,0.894119047619048,0.859062049062049
"CD177",0.707764674131067,0.800842712842713,0.934571428571429,0.754,0.922857142857143,0.893595238095238,0.850728715728716
"CCR2.2",0.69821149297078,0.793893939393939,0.929571428571429,0.756,0.911428571428571,0.880055555555556,0.854333333333333
"IL1B",0.709593965750947,0.80167316017316,0.933142857142857,0.752,0.927142857142857,0.894357142857143,0.850642857142857
"CCR2.3",0.697757657952188,0.788767676767677,0.93,0.736,0.925714285714286,0.898428571428571,0.843255050505051
