"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.657142857142857,0.8,0.971428571428571,0.8,0.857142857142857,0.8,0.857142857142857
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.836660026534076,0.888888888888889,0.914285714285714,0.8,1,1,0.875
0.29277002188456,0.5,0.8,0.4,0.857142857142857,0.666666666666667,0.666666666666667
0.657142857142857,0.8,0.814285714285714,0.8,0.857142857142857,0.8,0.857142857142857
0.683130051063973,0.75,0.942857142857143,0.6,1,1,0.777777777777778
0.836660026534076,0.888888888888889,0.971428571428571,0.8,1,1,0.875
0.356753034006338,0.333333333333333,0.728571428571429,0.2,1,1,0.636363636363636
0.683130051063973,0.75,0.942857142857143,0.6,1,1,0.777777777777778
1,1,1,1,1,1,1
0.714285714285714,0.833333333333333,0.928571428571429,1,0.714285714285714,0.714285714285714,1
0.836660026534076,0.888888888888889,0.942857142857143,0.8,1,1,0.875
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.845154254728517,0.909090909090909,1,1,0.857142857142857,0.833333333333333,1
1,1,1,1,1,1,1
0.683130051063973,0.75,0.971428571428571,0.6,1,1,0.777777777777778
0.29277002188456,0.5,0.842857142857143,0.4,0.857142857142857,0.666666666666667,0.666666666666667
0.657142857142857,0.8,0.9,0.8,0.857142857142857,0.8,0.857142857142857
0.683130051063973,0.75,0.971428571428571,0.6,1,1,0.777777777777778
1,1,1,1,1,1,1
0.657142857142857,0.8,0.914285714285714,0.8,0.857142857142857,0.8,0.857142857142857
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.50709255283711,0.727272727272727,0.885714285714286,0.8,0.714285714285714,0.666666666666667,0.833333333333333
0.478091443733757,0.666666666666667,0.914285714285714,0.6,0.857142857142857,0.75,0.75
1,1,1,1,1,1,1
0.657142857142857,0.8,0.857142857142857,0.8,0.857142857142857,0.8,0.857142857142857
0.683130051063973,0.75,0.714285714285714,0.6,1,1,0.777777777777778
1,1,1,1,1,1,1
0.683130051063973,0.75,0.942857142857143,0.6,1,1,0.777777777777778
0.683130051063973,0.75,0.942857142857143,0.6,1,1,0.777777777777778
0.845154254728517,0.909090909090909,1,1,0.857142857142857,0.833333333333333,1
0.836660026534076,0.888888888888889,0.942857142857143,0.8,1,1,0.875
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.657142857142857,0.8,0.885714285714286,0.8,0.857142857142857,0.8,0.857142857142857
0.836660026534076,0.888888888888889,0.914285714285714,0.8,1,1,0.875
0.529150262212918,0.571428571428572,0.771428571428571,0.4,1,1,0.7
0.836660026534076,0.888888888888889,0.942857142857143,0.8,1,1,0.875
0.529150262212918,0.571428571428572,0.8,0.4,1,1,0.7
0.836660026534076,0.888888888888889,0.957142857142857,0.8,1,1,0.875
0.714285714285714,0.833333333333333,0.985714285714286,1,0.714285714285714,0.714285714285714,1
0.845154254728517,0.909090909090909,0.985714285714286,1,0.857142857142857,0.833333333333333,1
0.836660026534076,0.888888888888889,1,0.8,1,1,0.875
0.845154254728517,0.909090909090909,0.985714285714286,1,0.857142857142857,0.833333333333333,1
0.683130051063973,0.75,0.928571428571429,0.6,1,1,0.777777777777778
0.683130051063973,0.75,0.771428571428571,0.6,1,1,0.777777777777778
0.683130051063973,0.75,0.885714285714286,0.6,1,1,0.777777777777778
0.657142857142857,0.8,0.957142857142857,0.8,0.857142857142857,0.8,0.857142857142857
1,1,1,1,1,1,1
0.529150262212918,0.571428571428572,0.985714285714286,0.4,1,1,0.7
0.683130051063973,0.75,0.928571428571429,0.6,1,1,0.777777777777778
0.50709255283711,0.727272727272727,0.885714285714286,0.8,0.714285714285714,0.666666666666667,0.833333333333333
0.657142857142857,0.8,0.957142857142857,0.8,0.857142857142857,0.8,0.857142857142857
0.836660026534076,0.888888888888889,0.942857142857143,0.8,1,1,0.875
