"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"IL8",0.66932249688024,0.819369715252068,0.907142857142857,0.802857142857143,0.854285714285714,0.856666666666667,0.826002525252525
"CCR2",0.657996335819096,0.807762876012876,0.900714285714286,0.78,0.861428571428571,0.863761904761905,0.812208874458874
"IL10",0.669504411502995,0.819871630003983,0.903367346938776,0.801428571428571,0.855714285714286,0.858980158730159,0.823896825396825
"HIF1A",0.639479210887504,0.801258848994143,0.895102040816326,0.775714285714286,0.85,0.848992063492063,0.805189033189033
"ITGAM",0.658852461272034,0.810400266400266,0.903673469387755,0.784285714285714,0.861428571428571,0.858273809523809,0.814526334776335
"TREM1",0.666145206132608,0.811606726606727,0.903775510204082,0.777142857142857,0.872857142857143,0.873642857142857,0.809928210678211
"HLA.DRA",0.636752663054489,0.801860307992661,0.89734693877551,0.782857142857143,0.84,0.841998556998557,0.809665223665224
"C5AR1",0.660468916921916,0.814527972027972,0.90234693877551,0.792857142857143,0.852857142857143,0.858888888888889,0.817449494949495
"PLAUR",0.651376042443052,0.803541680541681,0.900918367346939,0.78,0.855714285714286,0.854996031746032,0.813395021645022
"LCN2",0.653644761033724,0.80715991851286,0.902857142857143,0.782857142857143,0.854285714285714,0.859325396825397,0.812221861471861
"NLRP3",0.660291531239066,0.81138819677055,0.894183673469388,0.792857142857143,0.851428571428571,0.855827922077922,0.821812770562771
"IL6",0.652147149917737,0.804412029147323,0.898979591836735,0.778571428571429,0.855714285714286,0.860349206349206,0.811162337662338
"CALCA",0.662708149084771,0.811557305439658,0.905714285714286,0.785714285714286,0.862857142857143,0.861765873015873,0.816197691197691
"TLR4",0.654636300264653,0.808220025072966,0.901836734693877,0.784285714285714,0.854285714285714,0.858357142857143,0.813473304473304
"ELA2",0.640678237049434,0.801197797300738,0.897448979591837,0.778571428571429,0.847142857142857,0.849964285714286,0.806896103896104
"NLRP3.1",0.640645436969633,0.799107423622129,0.896122448979592,0.772857142857143,0.851428571428571,0.853087301587302,0.805395382395382
"CCR7",0.648061534647596,0.805395635410341,0.904897959183673,0.782857142857143,0.848571428571429,0.854550144300144,0.811580447330447
"CCL2",0.651596023589337,0.808069319569319,0.897551020408163,0.788571428571429,0.848571428571429,0.851566017316017,0.81579329004329
"MAPK14",0.652819311208378,0.806143552525905,0.900612244897959,0.775714285714286,0.861428571428571,0.863321428571429,0.806419913419913
"TNF",0.650321978939633,0.804308991661933,0.895204081632653,0.778571428571429,0.855714285714286,0.858440476190476,0.809556637806638
"NOTCH1",0.658482873179192,0.81138314300079,0.902448979591837,0.791428571428571,0.851428571428571,0.856571428571429,0.818990620490621
"S100A8",0.657630920898768,0.806865219747573,0.906836734693877,0.775714285714286,0.865714285714286,0.864510461760462,0.810520562770563
"MMP8",0.6648275439809,0.813138327358916,0.899183673469388,0.788571428571429,0.86,0.863345238095238,0.81876443001443
"MAPK14.1",0.624403872210409,0.794233296115649,0.895204081632653,0.774285714285714,0.835714285714286,0.83768253968254,0.802101731601732
"CCL25",0.659458261709602,0.811207322089675,0.897040816326531,0.787142857142857,0.855714285714286,0.861833333333333,0.815363636363636
"MYD88",0.619651362556849,0.790486361677538,0.887040816326531,0.77,0.835714285714286,0.836186507936508,0.798618326118326
"CD14",0.653207958021651,0.803809592626156,0.893061224489796,0.771428571428571,0.864285714285714,0.865869047619048,0.806737734487734
"CX3CR1",0.651104902790578,0.802640612655318,0.898673469387755,0.777142857142857,0.857142857142857,0.856847763347763,0.812830086580087
"S100A12",0.666447047569291,0.813594434976788,0.895102040816326,0.788571428571429,0.862857142857143,0.864424603174603,0.818161976911977
"S100A9",0.64459771225271,0.80319017420488,0.892040816326531,0.781428571428571,0.847142857142857,0.851753968253968,0.810453463203463
