"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
0.333333333333333,0.666666666666667,0.888888888888889,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
0.707106781186548,0.857142857142857,0.944444444444444,1,0.666666666666667,0.75,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,0.888888888888889,1,0.666666666666667,0.75,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.447213595499958,0.5,1,0.333333333333333,1,1,0.6
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.447213595499958,0.75,0.777777777777778,1,0.333333333333333,0.6,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.447213595499958,0.5,1,0.333333333333333,1,1,0.6
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,0.777777777777778,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
0.707106781186548,0.8,0.944444444444444,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,0.888888888888889,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.857142857142857,1,1,0.666666666666667,0.75,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,0.944444444444444,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.333333333333333,0.666666666666667,0.888888888888889,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
0.707106781186548,0.8,0.888888888888889,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.707106781186548,0.8,1,0.666666666666667,1,1,0.75
1,1,1,1,1,1,1
