"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA-DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2","TNFSF10","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA-DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.1","IL1R2.2","CCR2.4","NLRP3.2","VCAM1","PLAUR.1","CCR2.5","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1317896",7.59825325,7.07993269,7.090555668,7.130773067,9.47341156,8.123065948,10.55504131,11.03841591,8.478274345,10.99236298,7.173913479,7.310719013,7.064195156,8.70610714,7.962710857,8.425178528,8.538636208,7.150401592,7.318470001,8.17045784,9.307842255,14.7777586,7.096885204,7.27690649,7.124577045,9.796408653,10.93006611,7.759021282,13.6539793,14.67478466,7.099157333,7.256772041,9.003969193,7.218265057,7.280202866,8.015024185,9.510412216,7.278187752,7.361105919,8.905866623,10.57813454,7.2747612,7.453174114,7.567156792,8.158224106,7.238814831,7.101438999,11.65307045,7.882450581,10.3732748,7.072546482,7.097886562,7.391496658,10.46269417,9.652734756,8.109260559,7.269638538,11.36119747,8.936812401,8.054161072,7.108274937,8.009811401,7.871005058,7.079251766,7.096799374,7.4064188,7.106997013,8.311912537,7.245018959,8.283819199,7.805349827,12.95304775,7.233548641,7.271233082,"Control"
"GSM1317897",7.133264065,7.335713387,7.01139307,7.360058784,10.38909054,7.978586674,7.848013401,11.31586742,8.317951202,13.22806835,7.1877141,7.098556995,7.124364376,8.965641975,12.83554554,8.162398338,7.778802872,7.000130653,7.276413441,8.345272064,9.337310791,14.67478466,7.984103203,8.332036018,7.17510891,10.5899868,11.5939703,7.281162739,13.9907732,14.13190746,7.962710857,8.15653038,7.947245121,7.625881672,7.137006283,7.579025745,12.48723888,8.034691811,8.837252617,7.800524235,9.344155312,7.155807495,7.900871754,8.935645103,8.480690956,7.363553047,7.031998158,13.15814304,7.140290737,10.79563141,7.02391386,7.36311245,11.23374939,11.94188023,8.589243889,12.20909309,7.456371784,8.671969414,9.322840691,7.146490097,7.122472286,7.953882694,7.280666828,7.306993008,7.022296429,7.696172714,7.013093472,8.957364082,7.165641785,9.253885269,8.603048325,13.49210167,7.077390194,7.791663647,"Control"
"GSM1317898",7.168010235,7.639964581,7.08095789,7.546928406,11.23127174,7.685325623,10.08465958,10.97695351,8.20849514,13.63367081,7.254821301,7.058942318,6.996947765,8.448196411,8.266945839,8.455723763,8.255579948,6.994603157,7.231212616,8.574731827,9.384451866,14.54955006,9.87757206,8.368677139,7.131108761,9.966819763,11.63926697,7.386178493,14.42391872,14.48576355,7.905865669,7.858106136,8.184966087,7.670824528,7.165306568,8.513401985,12.99430275,7.458910465,9.631896973,9.051459312,8.349671364,7.336512566,8.703225136,7.652241707,8.456474304,7.432893276,7.08935833,13.87110138,7.229436874,10.18095112,7.152704716,7.173386097,9.712299347,10.88625336,9.132294655,11.65307045,7.541463852,10.72157001,8.992668152,7.194329262,7.024508953,7.680778503,7.611626625,7.035551548,7.250608921,8.083084106,7.100632668,8.696650505,7.136568546,8.474351883,8.40874958,13.55254555,7.201982498,7.747727871,"Control"
"GSM1317899",7.305233002,7.591718674,7.155341625,7.446740627,10.44628525,7.516788006,9.66973114,10.54471874,8.273373604,14.07937431,7.066466808,7.078455925,6.915210724,8.752120018,8.571417809,8.48491478,8.960954666,7.208251476,7.146866322,8.361627579,8.91966629,14.8065176,9.863483429,8.368287086,7.069637299,10.31659412,10.8711834,7.580223083,14.39126587,14.24457741,7.86635685,7.684738159,7.90006876,7.455158234,7.179075718,8.582383156,12.11962318,8.013612747,9.019711494,8.93046093,9.88086319,7.298100471,8.188433647,8.115924835,8.570972443,7.396622181,7.13904953,13.56163883,7.405919075,9.835384369,7.146679878,7.252886772,11.4842844,10.16572762,9.551556587,12.20909309,7.544344425,10.71940327,9.477777481,7.66461134,7.354895592,7.985490322,7.753708363,7.032038212,7.194578171,8.053638458,7.060822487,8.196199417,7.011276245,8.884981155,8.279232979,13.30456638,7.143923759,7.38526392,"Control"
"GSM1317900",7.23982048,7.51022625,7.145284176,7.238140583,9.752828598,7.753045559,10.40178204,10.84309864,8.417059898,11.27828598,7.257307053,7.076957226,7.199043274,8.400478363,8.108722687,8.749689102,8.881110191,7.067636967,7.186154366,8.344319344,9.694371223,14.75221539,7.020610332,7.888520241,7.086441517,10.01380253,11.66282845,7.30636692,13.77232933,14.64205265,7.094507217,7.339521408,8.956749916,7.116531849,7.321772575,8.185254097,9.854207039,7.142566204,9.207954407,8.603467941,10.58610821,7.323535442,8.435986519,7.836594105,8.909831047,7.498163223,7.042715549,12.28855419,7.117696285,10.03866863,7.046062946,7.497294426,9.492671967,11.54166317,9.350245476,8.590869904,7.641347885,10.86512566,9.38596344,7.661770344,6.970615387,7.504239082,7.790794849,7.233651161,7.072324753,7.999948502,7.090096474,8.461996078,7.088985443,7.80337429,7.850887299,13.39926815,7.094935417,7.701060772,"Control"
"GSM1317901",7.141750336,7.470094681,7.152095795,7.721528053,11.3472023,7.7459445,9.15440464,10.9543047,8.578942299,14.2312479,7.18787241,7.102015495,7.124023438,9.376583099,8.199634552,8.799848557,7.345110893,7.157638073,7.185352802,7.284608841,9.845314026,14.61182499,10.64935589,8.779643059,7.229142189,10.15069199,10.7977972,7.183628559,14.42391872,14.43885326,9.295724869,8.335781097,8.302357674,8.050831795,7.195944309,8.444145203,13.44113636,8.266295433,9.415317535,8.774078369,9.388339043,7.305445671,8.839875221,8.12169075,9.265670776,7.356129169,7.03537941,14.2030077,7.151401997,9.594142914,7.086335659,7.189471722,11.27571201,11.85814571,7.897413731,13.45775223,7.611501217,9.967874527,8.932195663,7.221731663,7.030198097,7.701653481,7.479612827,7.884876251,7.147067547,8.305596352,7.177886009,8.438947678,7.167452812,9.104545593,8.899251938,12.8672123,7.059819221,7.586052418,"Control"
"GSM1317902",7.366691113,7.405847549,7.41848135,7.73226881,11.03150082,7.913375378,9.495246887,10.90825653,8.153944016,12.31189346,7.223982334,7.185085773,7.092968464,9.357487679,7.643980503,8.061606407,7.521173954,6.947171688,7.139642239,8.303704262,8.851491928,14.30151463,9.020348549,8.328237534,7.137618065,10.83682823,10.68238735,7.738339901,14.15929317,14.59689426,7.662915707,7.897623062,8.064407349,7.791835308,7.097986221,8.139079094,13.50852966,8.351423264,8.487704277,8.428102493,9.988170624,7.152976513,8.517877579,8.590103149,8.474772453,7.699287891,7.090607643,11.59064102,7.381602764,10.33587456,7.066423416,7.144782543,11.11868668,10.83469009,9.807144165,11.4685812,7.867699623,10.28374672,9.828868866,7.772909164,7.330944061,8.17158699,7.608543873,7.202456474,7.172795296,7.88347435,7.15698719,7.925510883,7.107027531,9.743404388,8.295683861,13.30456638,7.067530632,7.367124557,"Control"
"GSM1317903",7.3959198,7.335564613,7.343214035,7.668007851,10.60847569,8.238365173,9.742350578,10.99705219,8.112732887,11.63295078,7.237391949,7.19177866,6.952183723,9.022797585,8.2322855,8.421548843,7.554698467,7.025127888,7.194075584,8.718759537,9.006530762,14.01483059,8.182300568,8.388953209,7.140509605,10.95208836,11.37851143,7.625517845,14.27305126,14.53448772,7.22298193,7.734004021,7.953665733,7.679727554,7.200683117,7.743002415,12.77439117,8.049788475,8.310603142,8.057644844,9.843089104,7.128192902,8.543216705,8.717788696,8.611653328,7.894378185,7.078241348,12.50709248,7.280514717,10.55504131,7.116563797,6.976748943,10.86915398,11.2650938,9.998733521,9.74969101,7.65195179,10.43177032,9.632855415,7.977919579,7.050879478,8.272080421,7.526165485,7.194742203,7.041174412,8.003680229,7.08838129,8.358580589,7.031446457,9.385182381,8.520225525,13.78189087,7.101052761,7.695106506,"Control"
"GSM1317904",7.23304987,7.982065201,7.075530529,7.49788475,10.24452305,7.993086338,11.29978275,10.50963879,8.383538246,10.17667294,7.250001907,7.048984051,7.028159142,8.073954582,8.628926277,8.667414665,9.128269196,7.008313656,7.088805676,7.799806118,10.12553501,14.2030077,7.242131233,7.797721863,6.99587059,9.984483719,11.79140759,8.074192047,13.22806835,14.40771866,7.156631947,7.469396114,8.325198174,7.531907082,7.15241766,9.489327431,9.208589554,7.715673923,7.622622967,9.959717751,9.688352585,7.522000313,7.608671665,8.215666771,8.028448105,7.557182789,7.396828175,11.91514397,8.003205299,10.74125576,7.243373394,7.137053013,8.715062141,11.69746113,10.82635117,8.846809387,7.269462109,11.91166878,9.126255989,7.396687984,7.184134483,7.973799706,8.509426117,7.116156101,7.291265488,8.197957993,7.116188049,9.004590034,7.169806004,9.003969193,7.74562645,13.97814465,7.254484177,7.878452778,"Control"
"GSM1317905",7.247274876,7.653445244,7.002075672,7.423496246,9.598514557,7.817335606,10.79994011,10.74897575,8.464249611,11.37530899,7.102996349,7.083747387,7.137376308,8.211769104,8.731289864,8.295683861,8.97273159,7.001582146,7.04507637,8.208803177,9.578510284,14.67478466,7.187242985,7.617906094,7.08152914,9.812697411,10.85625935,7.858495712,13.10755539,14.42391872,7.269429207,7.231057167,8.680634499,7.464486599,7.301638603,8.689198494,9.035798073,7.451565266,7.285639763,9.206601143,10.01001167,7.307710648,7.338337421,7.761974335,7.688140869,7.370236874,7.205370426,10.92153835,7.839755535,10.2763052,7.110889435,7.147037029,8.507484436,11.99151516,10.43335915,9.369469643,7.154905796,11.68399525,8.554898262,7.594933987,7.165557861,7.746433735,8.165154457,7.003210068,7.102212906,7.998763561,7.103303432,8.531557083,7.124807358,8.461213112,7.726154804,13.04926682,7.257278442,7.731936455,"Control"
