"Sample","IL8","CCR2","IL10","HIF1A","ITGAM","TREM1","HLA.DRA","C5AR1","PLAUR","LCN2","NLRP3","IL6","CALCA","TLR4","ELA2","NLRP3.1","CCR7","CCL2","MAPK14","TNF","NOTCH1","S100A8","MMP8","MAPK14.1","CCL25","MYD88","CD14","CX3CR1","S100A12","S100A9","OLFM4","IL1R2","P2RX7","HIF1A.1","CCL19","CCR2.1","IL1R2.1","TLR2","CD177","CCR2.2","IL1B","CCR2.3","SOCS3","C3AR1","MAPK14.2","HMGB1","CXCL10","MMP9","BCL2","TNFSF10","PDCD1","ICAM1","ARG1","IL10.1","CX3CR1.1","OLFM4.1","SOCS3.1","HLA.DRA.1","FCGR1A","IL8.1","IFNG","HMGB1.1","BCL2.1","IL1R2.2","CCR2.4","NLRP3.2","VCAM1","PLAUR.1","CCR2.5","HIF1A.2","MAPK14.3","CD14.1","GATA3","PLAUR.2","Label"
"GSM1317914",7.62654686,7.241333485,7.10646534,7.192194462,9.080945969,7.249334812,11.28376484,8.655215263,7.257436275,12.3387146,7.368570328,7.18100214,7.065454483,7.323634624,7.088046551,7.156303406,9.38596344,7.077194691,7.578174114,7.59331131,8.507846832,14.84386253,9.107800484,7.196405888,7.085306168,9.020348549,8.403719902,7.640658379,13.86038017,14.75221539,10.0112524,7.090131283,9.347285271,7.209294319,7.380781174,7.698554039,11.78054333,7.130480289,7.181549549,7.951488018,7.634313583,7.186005592,7.109339237,7.55987072,7.056810856,7.618170738,8.251901627,7.99622488,7.648902893,9.061590195,7.255163193,7.976315975,8.902050972,11.49309063,9.435203552,13.3277626,7.092215538,12.31189346,7.76546669,8.001105309,8.830584526,8.780707359,8.433372498,7.12157774,7.152658463,7.03500843,7.173630714,7.131505966,7.118111134,8.558712959,7.055310726,10.43177032,7.165757656,7.07405901,"Nonsurvivor"
"GSM1317915",7.182765484,7.445325375,7.298871994,7.302490234,11.20948887,7.785412788,8.534152985,11.47144318,8.196479797,11.4842844,7.096851349,7.126983643,7.06603241,8.957937241,7.808037281,8.195910454,7.187357903,7.146426678,7.214174271,8.047493935,9.040102005,13.87110138,8.858553886,7.821136951,7.062611103,11.36119747,10.64179897,7.199954987,13.91954327,14.67478466,7.056077957,7.663056374,8.415250778,7.509813786,7.234380722,8.971525192,13.41559887,9.099739075,8.818579674,9.444964409,8.844582558,7.098038673,8.107134819,8.109509468,7.700164795,7.197016716,7.111537933,12.31563473,7.199872494,11.55117226,7.155519009,7.240019798,11.45397949,11.81055164,8.13070488,7.042084694,7.95429945,9.608034134,9.455789566,7.154633999,7.12696743,7.84488821,7.508535385,7.184025764,7.1717453,7.959745884,7.125278473,7.751886845,6.977026463,9.318346024,8.212986946,12.60370731,7.063871861,7.404545307,"Nonsurvivor"
"GSM1317916",7.244925976,7.135624409,7.57998848,7.210856438,11.10438442,7.373387337,8.554497719,11.27571201,8.084902763,12.54341602,7.091948986,7.147148609,7.039273262,8.974493027,8.212986946,7.968691349,7.147594452,7.093239784,7.314389229,7.78657341,9.16259861,14.39126587,10.7977972,7.813384533,7.026358128,11.25928307,9.645145416,7.122367859,14.01483059,14.64205265,7.188958168,7.718569279,8.681162834,7.556973934,7.154272079,8.187596321,13.67254257,8.898705482,8.903125763,8.52469635,8.86431694,7.137863636,8.101377487,8.059380531,7.724903584,7.11405611,7.220547199,12.70897293,7.394737244,11.51697731,7.094154835,7.129747868,11.88438892,11.20184517,7.672255993,8.666466713,8.015266418,9.524485588,9.364693642,7.34795475,7.297585964,7.933981895,7.86635685,7.267735004,7.121684551,7.786087036,7.097421646,7.680778503,7.047384262,9.224188805,8.101878166,11.31890774,7.103501797,7.379765034,"Nonsurvivor"
"GSM1317917",8.403334618,7.621066093,6.977173328,7.350359917,9.682370186,7.986165047,10.88411808,10.71742725,7.97222805,11.19110584,7.146632195,7.071117401,7.032292366,9.050868034,10.14789295,7.797159195,8.432232857,7.096614361,7.079952717,7.712966442,9.038949966,14.42391872,8.684041977,7.323485851,7.134989738,10.44932556,10.47085667,7.431473255,13.96661282,14.5020113,7.752396584,7.213313103,8.594618797,7.3910923,7.041364193,9.40453434,10.35912323,8.221014023,7.140695572,9.795331955,8.985030174,7.173300743,7.233709812,8.529092789,7.318807602,7.391965389,8.122525215,10.29575443,7.929263115,11.27571201,7.116095543,7.152689934,10.51344299,11.07607174,9.08427906,11.4685812,7.172180176,12.34300232,8.649453163,9.857655525,7.225706577,8.272080421,8.684499741,6.971780777,7.231108189,7.484512806,7.144048214,7.727606297,7.039857388,9.349542618,7.519408226,12.31563473,7.110503674,7.267056942,"Nonsurvivor"
"GSM1317918",7.259513855,7.567156792,7.114745617,7.175771236,10.35611439,8.461213112,10.02869606,10.85848522,8.054409981,10.67068481,7.070552349,7.109389305,7.053099155,8.392198563,10.55504131,7.727128029,7.682250023,7.100450516,7.18100214,7.751577377,9.075005531,13.82612133,7.338337421,7.653445244,7.047803402,11.28907967,11.50496578,7.796460152,13.84863472,14.54955006,7.106271267,7.478478432,8.660650253,7.483758926,7.15227747,9.011312485,12.72650337,8.512619972,8.067121506,9.393052101,9.317534447,7.059682846,7.895380497,8.051365852,7.184557438,7.134720325,7.274348736,11.09504414,7.406561375,11.23862362,7.089271069,7.226111412,10.55328941,13.12859344,9.605070114,7.678296089,7.39868784,11.15325546,9.355021477,7.148255825,7.138018131,7.940330982,7.538593769,7.091251373,7.098689079,7.472208023,7.075287342,7.816116333,7.006427288,8.643283844,7.830226898,13.26583195,7.011631489,7.116595745,"Nonsurvivor"
"GSM1317919",7.208986282,7.473389626,6.980206966,7.112489223,9.422006607,8.00813961,10.74319553,10.77529144,8.187320709,10.94994354,7.169116974,7.03262043,7.05258131,7.787237167,9.953802109,8.397624969,9.443258286,7.106632233,7.094172001,7.436135292,9.762335777,14.5020113,7.081244469,7.335614681,7.04926157,10.49469852,11.90428162,7.47239542,12.08653831,14.64205265,6.95319128,7.05503273,8.705119133,7.09319067,7.103585243,9.026480675,9.809331894,7.456096649,7.049429893,9.37179184,9.592171669,7.105099678,7.374470234,8.306266785,7.296660423,7.345826149,7.129256725,10.61407661,7.651656151,10.63055038,7.120435238,7.245941162,7.819140911,12.23120594,8.898705482,8.575109482,7.125565052,12.22690201,8.585290909,7.918206215,7.181513786,7.558125973,8.529517174,7.041265488,7.193840981,8.091218948,7.241364002,7.642881393,6.973245144,7.923974037,7.257851124,13.42400551,7.34371233,7.056687832,"Nonsurvivor"
"GSM1317920",7.656069756,7.555586815,7.042310715,7.161687851,10.46269417,8.898146629,10.83469009,11.33035278,8.491280556,9.971450806,7.146327496,7.09646368,7.052289486,8.392897606,7.921435833,8.014066696,8.95454216,7.153204918,7.148620129,7.874303341,9.76862812,14.21644688,7.02175808,7.627936363,7.069066048,10.84535694,11.50496578,7.65440464,13.9907732,14.59689426,7.085483551,7.444728851,9.017325401,7.185655594,7.184464455,9.178632736,10.37807465,8.138529778,7.716161728,9.405341148,9.570367813,7.275372505,7.775249004,8.358950615,7.621453762,7.191041946,7.334206104,10.96123505,7.613801479,10.36870956,7.02391386,7.11212635,8.959679604,11.89624405,9.552453995,7.094425201,7.47249651,11.63926697,8.224981308,8.131768227,7.064052105,7.320016861,7.970160484,7.348808765,7.166092396,7.576725006,7.209185123,8.541942596,7.086605549,8.6918993,7.80337429,13.09999943,7.22555685,7.810907841,"Nonsurvivor"
"GSM1317921",7.412487507,7.681971073,7.00662756,7.207795143,9.539639473,8.206688881,11.43911648,10.63823891,8.074954033,10.22173977,7.110393047,7.266527653,6.996531487,8.172999382,8.968046188,8.211144447,9.120986938,7.021295071,7.285762787,7.820035934,9.438454628,14.56532383,7.179019928,7.276833057,7.052659035,10.30041981,11.28645134,7.42327261,12.89319229,14.34638786,7.136694431,7.081976891,8.79829216,7.244261742,7.254637718,9.780433655,9.341068268,7.868652344,7.116219997,10.11756325,9.668753624,7.07961607,7.105523109,8.000868797,7.28897047,7.090269566,7.538295269,9.985738754,7.800693989,11.0642519,7.281280041,7.092001915,7.747075558,12.06260967,9.072278976,8.68963623,7.148934364,12.70897293,8.918610573,7.994183064,7.096548557,7.673532963,8.446759224,7.135207653,7.395634174,7.795364857,7.088330269,7.894786358,7.052130699,8.341547012,7.357931614,12.93939114,7.221632957,7.09692049,"Nonsurvivor"
"GSM1317922",7.202271461,7.367630005,7.196939468,7.323428631,10.7915678,7.176054001,10.10800934,10.37951946,7.758519173,13.6539793,7.118864536,7.052289486,7.098278522,8.53329277,8.838342667,7.666013718,7.383470535,7.115908623,7.137285233,7.297039032,8.7065382,14.43885326,9.736116409,7.186430931,7.026358128,10.95881081,9.026480675,7.217560291,14.31682491,14.54955006,7.299002647,7.252259731,8.781702995,7.283447266,7.219283581,8.967430115,13.12164688,8.708504677,8.335061073,9.329683304,9.02155304,7.079555988,8.793273926,7.818043232,7.442090988,7.28433466,8.052646637,11.86188698,7.184520721,11.29706478,7.078339577,7.189647198,10.96123505,11.1209116,8.118889809,9.662843704,8.926506996,10.99236298,9.423541069,7.221681595,7.224432468,7.227882862,7.870617867,7.038772583,7.103501797,7.514378548,7.136097431,7.399636745,7.021295071,9.355021477,7.479976177,11.10891438,7.083285332,7.120576859,"Nonsurvivor"
"GSM1317923",7.34869051,7.567838192,7.037719727,7.200577259,10.36233139,8.300972939,11.28108978,10.87730408,8.382411957,9.609920502,7.096327305,7.113962173,7.021618366,8.057888985,7.755692482,7.743670464,8.712235451,7.10284853,7.280972481,7.748056412,9.64410305,14.17344284,7.013667583,7.348293781,7.105455399,10.48101139,10.6209898,7.682395458,13.55254555,14.71159077,7.05491066,7.330846786,8.802474022,7.232703686,7.209272385,9.261269569,9.631896973,7.825657845,7.466704369,9.853117943,9.250299454,7.169149399,7.312202454,7.840898514,7.58033514,7.230818748,7.19875288,10.36532688,8.079267502,10.5497961,7.126703739,7.382266998,8.458341599,11.50808907,10.12431622,7.052790642,7.161082268,12.30735588,8.510215759,7.656779766,7.296828747,8.013134003,8.89324379,7.101737499,7.215755463,7.659576893,7.153409958,8.094388008,7.012771606,8.383538246,7.611769199,12.37127972,7.231477261,7.275655746,"Nonsurvivor"
