"Feature","Mean_Importance"
"CD177",1.39652942404353
"S100A12",1.21419121671604
"MMP8",0.865212653541298
"IL10",0.737791670029859
"MMP9",0.711842318811133
"S100A8",0.679850210584697
"HMGB1",0.649783537691431
"C3AR1",0.621354887145839
"ITGAM",0.555301749952349
"PDCD1",0.524467300656662
"FCGR1A",0.494962644951826
"ARG1",0.475185880356549
"IL1R2",0.43987681788394
"S100A9",0.415449257359922
"TNF",0.400013350681937
"SOCS3",0.371105432955951
"CD14",0.355688586189292
"PTX3",0.351286835353914
"TREM1",0.330950837055512
"BCL2",0.325242637414851
"NLRP3",0.309845469779296
"PLAUR",0.303436098207282
"LCN2",0.294522676058412
"MYD88",0.292481385499702
"CCR2",0.287996662805542
"CXCL8",0.283979356564759
"TNFSF10",0.283604884010415
"MAPK14",0.281290519707755
"CXCL10",0.277171950413127
"TLR2",0.264523925382187
"CX3CR1",0.264197313965648
"NOTCH1",0.26283289396072
"ICAM1",0.255560603536641
"HLA.DRA",0.24546778637783
"OLFM4",0.210783113207415
"CCR7",0.203943973112093
"C5AR1",0.201608512853924
"CCL2",0.194015661427397
"HIF1A",0.185794461180443
"GATA3",0.181515757804025
"TLR4",0.177918134574264
"IL1B",0.173214945448689
"ELANE",0.172629298485462
"CCL25",0.157189670614612
"IL6",0.153576769002705
"P2RX7",0.149709797402861
"IFNG",0.137095067413911
"VCAM1",0.0745313559422227
"LBP",0.0703968053346631
"CALCA",0.0608533408675574
"CCL19",0.0435113731654248
"IFNB1",0.0309024493290583
"IFNA1",0.0038475909922252
"CRP",0.00115288978494624
"IFNA2",0
