"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.591602106862964,0.679777777777778,0.86825,0.5875,0.916,0.893666666666667,0.743523809523809
"NLRP3",0.566859521742137,0.665198412698413,0.8635,0.5725,0.906,0.879833333333333,0.732761904761905
"CCR7",0.578916853397134,0.671293650793651,0.86775,0.5825,0.916,0.8895,0.74802380952381
"CRP",0.610990851564539,0.700412698412698,0.87225,0.6125,0.932,0.908,0.766619047619048
"MAPK14",0.604445344355985,0.703823953823954,0.883,0.6125,0.928,0.8975,0.76677380952381
"CX3CR1",0.606487543109451,0.699158249158249,0.88225,0.605,0.934,0.9065,0.765571428571429
"ELANE",0.616434924809712,0.705079365079365,0.872,0.6125,0.93,0.904666666666667,0.760190476190476
"FCGR1A",0.604541516531119,0.697597912749428,0.87975,0.605,0.924,0.896047619047619,0.760619047619048
"GATA3",0.606757023251134,0.694669552669553,0.86675,0.615,0.91,0.885047619047619,0.759416666666667
"HIF1A",0.588222659743928,0.6864467182649,0.86325,0.59,0.92,0.891880952380952,0.751202380952381
"HLA.DRA",0.584440032789497,0.688760622093955,0.8655,0.595,0.914,0.885333333333333,0.750607142857143
"HMGB1",0.554687879698571,0.673083605736667,0.866,0.5725,0.908,0.867380952380952,0.737869047619048
"ICAM1",0.604603461984892,0.693193843193843,0.858,0.5925,0.924,0.899833333333333,0.748904761904762
"IFNA1",0.614321956994195,0.701261904761905,0.86725,0.615,0.924,0.9045,0.762190476190476
"IFNA2",0.580727971310416,0.686507936507937,0.8665,0.5975,0.918,0.888666666666667,0.75275
"IFNB1",0.576916009478832,0.680126984126984,0.87,0.5875,0.924,0.890666666666667,0.748821428571429
"IFNG",0.602217792580209,0.699412698412698,0.87425,0.6125,0.918,0.888666666666667,0.759071428571429
"IL1B",0.592534135052374,0.682063492063492,0.8595,0.595,0.91,0.890333333333333,0.747190476190476
"IL6",0.617285814169038,0.705444444444444,0.87925,0.62,0.924,0.898333333333333,0.766690476190476
"CXCL8",0.60492287975395,0.705098605098605,0.882,0.61,0.94,0.905666666666667,0.770619047619048
"IL10",0.590041362722657,0.693650793650794,0.8655,0.6125,0.906,0.878666666666667,0.756535714285714
"CXCL10",0.58448484541447,0.688849206349206,0.86075,0.6075,0.906,0.876166666666667,0.754107142857143
"ITGAM",0.616067182373891,0.696531746031746,0.87025,0.5925,0.94,0.923833333333333,0.752511904761905
"ARG1",0.590652297855281,0.679626984126984,0.876,0.59,0.922,0.897166666666667,0.751047619047619
"LBP",0.599976341971992,0.70707872374539,0.87925,0.6175,0.928,0.8975,0.772035714285714
"LCN2",0.6242097335405,0.715162446980629,0.88775,0.62,0.938,0.915547619047619,0.771940476190476
"MMP8",0.608211359049988,0.697606060606061,0.86825,0.605,0.924,0.907380952380952,0.756428571428571
"MMP9",0.597764995283239,0.696960317460317,0.86825,0.61,0.924,0.894833333333333,0.761940476190476
"MYD88",0.595065606642643,0.685145743145743,0.86375,0.595,0.92,0.898380952380952,0.753761904761905
