"MeanDecreaseGini","Feature","Iteration"
0.191784622326418,"OLFM4",1
0.308260523532195,"NLRP3",1
0.19560426501603,"CCR7",1
0,"CRP",1
0.201307894404446,"MAPK14",1
0.111458852258852,"CX3CR1",1
0.0912696728558798,"ELANE",1
0.27704548054117,"FCGR1A",1
0.14106159066117,"GATA3",1
0.13926525198939,"HIF1A",1
0.224713348316929,"HLA.DRA",1
1.25863435047974,"HMGB1",1
0.251028083028083,"ICAM1",1
0,"IFNA1",1
0,"IFNA2",1
0.0805555555555555,"IFNB1",1
0.059982350982351,"IFNG",1
0.185288910092557,"IL1B",1
0.244243089671579,"IL6",1
0.225601056032091,"CXCL8",1
0.612168664668665,"IL10",1
0.186457055489314,"CXCL10",1
0.467186619291478,"ITGAM",1
0.601794101563862,"ARG1",1
0,"LBP",1
0.4949222648527,"LCN2",1
0.974307285959645,"MMP8",1
0.914116522800304,"MMP9",1
0.216103363246827,"MYD88",1
0.0929988887230266,"NOTCH1",1
0.112530743330743,"P2RX7",1
0.600631949946908,"PDCD1",1
0.357699029258043,"PLAUR",1
0.276716356875684,"TREM1",1
1.65692593432651,"CD177",1
0.596128611450081,"PTX3",1
0.0687533156498674,"BCL2",1
0.709842538926465,"S100A8",1
0.225940652914337,"S100A9",1
0.946149147614879,"S100A12",1
0.253796263824727,"CCL2",1
0.0573838383838384,"CCL19",1
0.0967777777777778,"CCL25",1
0.319946232402295,"TLR2",1
0.248573714580081,"TLR4",1
0.731090476494053,"TNF",1
0.55107811412995,"C3AR1",1
0.134253861646526,"C5AR1",1
0.23594222721013,"CCR2",1
0,"VCAM1",1
0.519390880270802,"IL1R2",1
0.0604761904761905,"CALCA",1
0.232492099403864,"TNFSF10",1
0.300315253444286,"SOCS3",1
0.430774356090941,"CD14",1
0.0657318310541699,"OLFM4",2
0.208081424722449,"NLRP3",2
0.107578504828505,"CCR7",2
0,"CRP",2
0.622951183798053,"MAPK14",2
0.240384828492801,"CX3CR1",2
0.210872555785599,"ELANE",2
0.767288489530891,"FCGR1A",2
0.0565473049624522,"GATA3",2
0.286362974727231,"HIF1A",2
0.362171860866234,"HLA.DRA",2
0.751145051778071,"HMGB1",2
0.216553391053391,"ICAM1",2
0.0245,"IFNA1",2
0,"IFNA2",2
0.10547619047619,"IFNB1",2
0.344726384700056,"IFNG",2
0.157862524334585,"IL1B",2
0.0451021527492116,"IL6",2
0.273319239193178,"CXCL8",2
0.0865714285714286,"IL10",2
0.0874390463337832,"CXCL10",2
0.802787152419814,"ITGAM",2
0.622829774575211,"ARG1",2
0.0158241758241758,"LBP",2
0.263614079407183,"LCN2",2
0.96539205005712,"MMP8",2
0.809651647426648,"MMP9",2
0.148487734487734,"MYD88",2
0.107929292929293,"NOTCH1",2
0.122167175232511,"P2RX7",2
0.840912123164516,"PDCD1",2
0.327093525014772,"PLAUR",2
0.185801867961261,"TREM1",2
1.74755858022745,"CD177",2
0.328992864388201,"PTX3",2
0.186719964692978,"BCL2",2
0.892532260137523,"S100A8",2
0.254615434565435,"S100A9",2
1.14439788185262,"S100A12",2
0.146267849109954,"CCL2",2
0,"CCL19",2
0.0658095238095238,"CCL25",2
0.537958960058691,"TLR2",2
0.0755454545454545,"TLR4",2
0.315594810005904,"TNF",2
0.571120282519228,"C3AR1",2
0.138089892783441,"C5AR1",2
0.179263464134432,"CCR2",2
0.0474913244650087,"VCAM1",2
0.362981609164496,"IL1R2",2
0,"CALCA",2
0.147365659702616,"TNFSF10",2
0.417620018884866,"SOCS3",2
0.485891557468019,"CD14",2
0.20708041958042,"OLFM4",3
0.330089484589485,"NLRP3",3
0.229005410507076,"CCR7",3
0,"CRP",3
0.17675769413587,"MAPK14",3
0.212760755264503,"CX3CR1",3
0.335420862155649,"ELANE",3
0.682241236464067,"FCGR1A",3
0.208005866114562,"GATA3",3
0.181290138660828,"HIF1A",3
0.353149141646048,"HLA.DRA",3
0.729582157044433,"HMGB1",3
0.121746331761545,"ICAM1",3
0,"IFNA1",3
0,"IFNA2",3
0,"IFNB1",3
0.113054333157995,"IFNG",3
0.130555555555556,"IL1B",3
0.110405180723692,"IL6",3
0.106841030949727,"CXCL8",3
1.02554334785283,"IL10",3
0.414153084524844,"CXCL10",3
0.845221222817523,"ITGAM",3
0.600375743074623,"ARG1",3
0.11209287774805,"LBP",3
0.33155527744549,"LCN2",3
0.788685039082087,"MMP8",3
0.39081360409313,"MMP9",3
0.1487097505178,"MYD88",3
0.195902363603602,"NOTCH1",3
0.0855946684894053,"P2RX7",3
