"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.578889551202873,0.646388888888889,0.84775,0.5275,0.954,0.9405,0.723392857142857
"P2RX7",0.615521712394701,0.687428571428571,0.8605,0.575,0.962,0.946666666666667,0.749654761904762
"ICAM1",0.603699634160026,0.687413820747154,0.84075,0.575,0.944,0.925333333333333,0.743130952380952
"HIF1A",0.570540277988288,0.659985422740525,0.83975,0.5425,0.924,0.896833333333333,0.719928571428571
"MMP9",0.561332559920424,0.656478781988986,0.8285,0.5475,0.9,0.881,0.71527380952381
"OLFM4",0.571606857447585,0.647388888888889,0.829,0.5475,0.942,0.919833333333333,0.74072619047619
"GATA3",0.567405282315634,0.659595238095238,0.83075,0.5575,0.918,0.893833333333333,0.72497619047619
"CCL2",0.584497024071947,0.666238095238095,0.837,0.56,0.928,0.912666666666667,0.729226190476191
"CALCA",0.575424147868274,0.647865079365079,0.82925,0.54,0.926,0.907833333333333,0.719892857142857
"IFNG",0.565268690704984,0.653388888888889,0.85425,0.5425,0.934,0.912166666666667,0.724071428571429
"MAPK14",0.586851221886362,0.669424402757736,0.8605,0.5525,0.954,0.931333333333333,0.739440476190476
"IL1R2",0.575481990726897,0.664352092352092,0.8495,0.56,0.938,0.915714285714286,0.739119047619048
"MMP8",0.565634642980854,0.655226871893539,0.829,0.5325,0.926,0.899833333333333,0.710833333333333
"ARG1",0.559023919092803,0.620722222222222,0.7985,0.5125,0.904,0.894833333333333,0.693023809523809
"CCR2",0.565405381872114,0.67484126984127,0.84725,0.5875,0.904,0.870666666666667,0.742714285714286
"TNFSF10",0.581272743521895,0.662484126984127,0.82575,0.545,0.944,0.929833333333333,0.72575
"TREM1",0.505928424478633,0.615954835542464,0.824,0.4875,0.904,0.856,0.684904761904762
"IL1B",0.58574486332315,0.681850248516915,0.8325,0.5675,0.926,0.900666666666667,0.731416666666667
"CCR7",0.538704675338954,0.638239538239538,0.8075,0.535,0.894,0.861,0.706190476190476
"LBP",0.570905793519261,0.650261904761905,0.826,0.5475,0.918,0.899166666666667,0.719821428571429
"CCL25",0.603258648760622,0.678920634920635,0.84125,0.58,0.932,0.910333333333333,0.743785714285714
"CRP",0.589102950781266,0.681285714285714,0.84625,0.585,0.916,0.892666666666667,0.73972619047619
"IL6",0.60319529074881,0.680238095238095,0.875,0.5725,0.962,0.940666666666667,0.754428571428571
"IL10",0.577937585275329,0.674880952380952,0.8385,0.57,0.918,0.8955,0.728
"TLR4",0.559776246198938,0.64,0.81375,0.545,0.902,0.879333333333333,0.715428571428571
"TLR2",0.576060431862,0.671596921596922,0.83775,0.575,0.902,0.8805,0.731869047619048
"S100A8",0.570281894953844,0.673645884470627,0.86225,0.5475,0.956,0.919166666666667,0.740892857142857
"LCN2",0.597614675671228,0.681134920634921,0.8405,0.58,0.926,0.907166666666667,0.739571428571429
"NOTCH1",0.59813688690832,0.675285714285714,0.83125,0.575,0.912,0.898,0.728357142857143
"FCGR1A",0.540832967093828,0.632611111111111,0.81625,0.535,0.894,0.867166666666667,0.70577380952381
"VCAM1",0.530111637603699,0.613932980599647,0.82275,0.49,0.924,0.899666666666667,0.692797619047619
"NLRP3",0.522850951498802,0.636620169953503,0.8035,0.535,0.886,0.860666666666667,0.703166666666667
"S100A9",0.52738059399288,0.617986718496923,0.806,0.5025,0.896,0.868833333333333,0.691547619047619
"S100A12",0.553301051100791,0.642685425685426,0.79325,0.5525,0.88,0.863380952380952,0.710119047619048
"PTX3",0.606234414205383,0.694957511624178,0.856,0.5775,0.946,0.922166666666667,0.743130952380952
"CX3CR1",0.555678224720867,0.645895462562129,0.83075,0.5375,0.91,0.8705,0.712047619047619
"CXCL10",0.581216400228916,0.648047619047619,0.812,0.555,0.892,0.883666666666667,0.713535714285714
"CXCL8",0.574794741807539,0.674652958152958,0.82125,0.59,0.89,0.874785714285714,0.731380952380952
"ITGAM",0.630185025010998,0.692531746031746,0.833,0.585,0.94,0.933166666666667,0.74197619047619
"CD14",0.522789326210829,0.618614718614719,0.78825,0.5175,0.874,0.844333333333333,0.689488095238095
"BCL2",0.579650818496384,0.664928571428571,0.8355,0.5725,0.896,0.884166666666667,0.725071428571429
"IFNB1",0.57313693668656,0.665460317460317,0.8655,0.56,0.936,0.916,0.735309523809524
"C3AR1",0.572095519524281,0.675607385811467,0.8395,0.5575,0.926,0.887333333333333,0.728464285714286
"CCL19",0.596855652305183,0.678912698412698,0.8375,0.5775,0.936,0.916166666666667,0.74425
"MYD88",0.572691421311855,0.670537738905086,0.8385,0.5525,0.936,0.903666666666667,0.732916666666667
"SOCS3",0.575804389127372,0.675113378684807,0.83825,0.5525,0.948,0.911833333333333,0.738083333333333
"IFNA2",0.550322788363621,0.628261904761905,0.78325,0.5275,0.882,0.8625,0.688928571428571
"PDCD1",0.517907285427034,0.624626984126984,0.82175,0.525,0.908,0.8735,0.711928571428571
"HMGB1",0.492540714733186,0.587493987493988,0.756,0.475,0.854,0.825333333333333,0.649797619047619
