"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.602591329921526,0.679412698412698,0.86025,0.57,0.954,0.937333333333333,0.746392857142857
"P2RX7",0.585813723939277,0.67711239377906,0.86125,0.565,0.946,0.917166666666667,0.743559523809524
"ICAM1",0.607008778533402,0.681373015873016,0.83625,0.5725,0.936,0.926166666666667,0.738273809523809
"HIF1A",0.602989285198038,0.663700577200577,0.824,0.5575,0.924,0.924119047619048,0.723583333333333
"MMP9",0.539469143873202,0.628119047619048,0.81175,0.5175,0.912,0.889166666666667,0.702226190476191
"OLFM4",0.606810095318388,0.696047779381113,0.86575,0.595,0.932,0.911166666666667,0.753785714285714
"GATA3",0.592536758288627,0.677714285714286,0.85775,0.57,0.928,0.911666666666667,0.732845238095238
"CCL2",0.512001628505977,0.627551020408163,0.79325,0.5225,0.878,0.825,0.69425
"IFNG",0.587414143153276,0.669976190476191,0.83875,0.575,0.924,0.895833333333333,0.739761904761905
"MAPK14",0.562070598043331,0.63834126984127,0.8105,0.54,0.898,0.8795,0.708416666666667
"IL1R2",0.553543906609177,0.649689085256096,0.84625,0.525,0.93,0.898166666666667,0.717535714285714
"MMP8",0.533923586886408,0.62165873015873,0.7985,0.5125,0.894,0.872833333333333,0.689261904761905
"ARG1",0.578088699027402,0.674092970521542,0.82925,0.555,0.938,0.907833333333333,0.735119047619048
"CCR2",0.545059674951302,0.639153439153439,0.808,0.5475,0.866,0.832333333333333,0.700607142857143
"TNFSF10",0.555668125340393,0.634365079365079,0.81675,0.535,0.894,0.879,0.705023809523809
"TREM1",0.559838886236293,0.633920634920635,0.817,0.5175,0.93,0.909333333333333,0.707011904761905
"IL1B",0.534643233430937,0.638231521564855,0.8065,0.53,0.902,0.868833333333333,0.707178571428571
"CCR7",0.580322701356017,0.644888888888889,0.80775,0.5425,0.902,0.890333333333333,0.707654761904762
"CCL25",0.591239879580333,0.669619047619048,0.8425,0.5575,0.944,0.929666666666667,0.733428571428571
"IL6",0.542727410328549,0.628944444444444,0.80575,0.525,0.902,0.877833333333333,0.702285714285714
"IL10",0.558209579732038,0.642730158730159,0.834,0.545,0.916,0.896,0.72352380952381
"TLR4",0.513798894180929,0.630019636720668,0.7735,0.5175,0.854,0.812166666666667,0.67625
"TLR2",0.591054633772374,0.67772918691286,0.82025,0.57,0.898,0.870666666666667,0.718714285714286
"S100A8",0.527679900008595,0.618694885361552,0.79525,0.505,0.894,0.871666666666667,0.687654761904762
"LCN2",0.550850099922629,0.654114026563006,0.84125,0.5275,0.928,0.893,0.711845238095238
"NOTCH1",0.614418071733218,0.686960317460317,0.8445,0.575,0.944,0.928833333333333,0.739345238095238
"FCGR1A",0.578846608087585,0.654714285714286,0.852,0.5525,0.928,0.911666666666667,0.729464285714286
"NLRP3",0.551319152084862,0.637477954144621,0.83825,0.5175,0.932,0.9065,0.710702380952381
"S100A9",0.562634459600899,0.658829273980789,0.8405,0.5525,0.908,0.880047619047619,0.722285714285714
"S100A12",0.540347439457011,0.625613275613276,0.818,0.5125,0.91,0.8815,0.699869047619048
"PTX3",0.596059587943698,0.665079365079365,0.843,0.5675,0.916,0.902333333333333,0.728166666666667
"CX3CR1",0.547311537447921,0.639420634920635,0.79725,0.5425,0.878,0.852833333333333,0.697940476190476
"CXCL10",0.55136355753643,0.645334295334295,0.83325,0.5325,0.922,0.894166666666667,0.716035714285714
"CXCL8",0.57184496237135,0.664373897707231,0.8595,0.555,0.924,0.897666666666667,0.72672619047619
"ITGAM",0.583918362327524,0.667571428571429,0.83025,0.57,0.91,0.898333333333333,0.728869047619048
"CD14",0.582691982293721,0.669760285066408,0.8125,0.56,0.904,0.878666666666667,0.719547619047619
"BCL2",0.553431055372757,0.651698412698413,0.83075,0.555,0.892,0.862,0.713511904761905
"C3AR1",0.60758758472154,0.702611111111111,0.863,0.61,0.94,0.9185,0.76497619047619
"MYD88",0.585559113969435,0.667484126984127,0.85075,0.5725,0.93,0.9095,0.742309523809524
"SOCS3",0.613147576842154,0.691951258617925,0.84875,0.585,0.936,0.915333333333333,0.747880952380952
"PDCD1",0.505798690594227,0.617075517075517,0.76925,0.5025,0.9,0.858,0.6905
"HMGB1",0.572044700749239,0.639722623055956,0.80925,0.525,0.93,0.919166666666667,0.716952380952381
"C5AR1",0.595006321654487,0.686259419592753,0.82725,0.585,0.91,0.894666666666667,0.736714285714286
"ELANE",0.558906878253629,0.627936507936508,0.804,0.525,0.91,0.903,0.707928571428571
"HLA.DRA",0.613060411655253,0.687293650793651,0.8835,0.575,0.968,0.947833333333333,0.756619047619048
"CD177",0.566955793473752,0.652581369248036,0.851,0.5475,0.916,0.8875,0.723226190476191
"TNF",0.572143657626959,0.641380952380952,0.83575,0.53,0.92,0.91,0.708416666666667
