"Feature","Mean_Importance"
"CD177",2.23095573104953
"S100A12",1.80205764248725
"MMP8",1.46508528055627
"S100A8",1.2905449276273
"IL10",1.06258688219158
"CXCL10",0.929193226797519
"C3AR1",0.681591461775816
"IL1R2",0.666286709058672
"HMGB1",0.662596076981346
"S100A9",0.65450586155998
"PLAUR",0.628751510430147
"CCL2",0.624488556597949
"TNFSF10",0.622075178162348
"MYD88",0.587767513290657
"MMP9",0.587383446463526
"TREM1",0.583056753119695
"ITGAM",0.515862457628985
"CXCL8",0.502654005135126
"HLA.DRA",0.488209973201244
"FCGR1A",0.488160590300448
"ICAM1",0.472635081892281
"ARG1",0.455926666069405
"TNF",0.416355757923604
"PDCD1",0.4064215617144
"SOCS3",0.40438007967979
"NOTCH1",0.403907779042227
"CCR2",0.396113827437785
"BCL2",0.392173358710333
"ELANE",0.372816951592292
"CCR7",0.353903961212782
"CX3CR1",0.348719332384891
"C5AR1",0.337374647599219
"OLFM4",0.33715713395718
"NLRP3",0.336084987421863
"CD14",0.32387530840007
"PTX3",0.320634580090226
"GATA3",0.310759712815934
"HIF1A",0.300797554096875
"LCN2",0.280210204504296
"MAPK14",0.274367768381178
"P2RX7",0.268487074386993
"IL1B",0.242898894682367
"TLR2",0.224792195918104
"TLR4",0.215119339691341
"IL6",0.205383770360954
"CCL25",0.19974637534268
"IFNG",0.142600653969086
"CCL19",0.12341915568253
"VCAM1",0.100738192909012
"CALCA",0.0914664898006863
"IFNB1",0.0903962592141708
"LBP",0.0688907742073129
"IFNA1",0.00562761498252183
"CRP",0.00216316951022833
"IFNA2",0
