"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.703275355686525,0.812561327561328,0.92075,0.8,0.878,0.868761904761905,0.86402380952381
"NLRP3",0.710209299979731,0.81710101010101,0.92225,0.805,0.88,0.871761904761905,0.867535714285714
"CCR7",0.676523319174697,0.799059163059163,0.92025,0.7925,0.858,0.850190476190476,0.856714285714286
"CRP",0.731468871778767,0.831505772005772,0.91725,0.82,0.888,0.882261904761905,0.876523809523809
"MAPK14",0.712533448126663,0.821479797979798,0.92125,0.8125,0.874,0.87202380952381,0.87027380952381
"CX3CR1",0.707827462782638,0.818005772005772,0.916,0.82,0.864,0.858095238095238,0.87722619047619
"ELANE",0.698888477310504,0.808516594516595,0.906,0.7925,0.87,0.865476190476191,0.853440476190476
"FCGR1A",0.708154495188637,0.807831168831169,0.926,0.795,0.884,0.879428571428571,0.865035714285714
"GATA3",0.700916814460894,0.813696248196248,0.91775,0.8075,0.87,0.859928571428571,0.86777380952381
"HIF1A",0.708505247762119,0.815429292929293,0.917,0.805,0.876,0.87297619047619,0.867761904761905
"HLA.DRA",0.707297413115156,0.811582251082251,0.915,0.8025,0.88,0.864214285714286,0.871392857142857
"HMGB1",0.717014138171254,0.818106060606061,0.919,0.7975,0.892,0.883880952380952,0.864678571428571
"ICAM1",0.701619628135675,0.81391341991342,0.91325,0.81,0.868,0.860142857142857,0.869214285714286
"IFNA1",0.703173958952508,0.815299422799423,0.92125,0.8125,0.868,0.858928571428571,0.870738095238095
"IFNA2",0.673948884262393,0.796386724386724,0.91675,0.7875,0.862,0.850095238095238,0.852845238095238
"IFNB1",0.684881639791008,0.802765512265512,0.907,0.7975,0.862,0.85402380952381,0.86097619047619
"IFNG",0.677139528644444,0.795836940836941,0.91325,0.7875,0.862,0.85252380952381,0.857238095238095
"IL1B",0.691536689780894,0.806748917748918,0.9185,0.7975,0.87,0.858047619047619,0.861107142857143
"IL6",0.693792392142975,0.80847113997114,0.91875,0.805,0.864,0.857547619047619,0.86575
"CXCL8",0.709407313291651,0.816,0.92225,0.7925,0.894,0.875666666666667,0.859630952380952
"IL10",0.704157483477925,0.818648629148629,0.91125,0.8225,0.858,0.856261904761905,0.87602380952381
"CXCL10",0.669781548400679,0.796487734487734,0.90775,0.7925,0.852,0.844857142857143,0.854785714285714
"ITGAM",0.696062346258919,0.81223088023088,0.91725,0.8075,0.866,0.856809523809524,0.865738095238095
"ARG1",0.715584266901705,0.820529581529582,0.93,0.8075,0.882,0.876761904761905,0.869047619047619
"LBP",0.704091901745393,0.816040404040404,0.914,0.8075,0.872,0.865476190476191,0.867011904761905
"LCN2",0.696200322562991,0.811260461760462,0.91875,0.8025,0.866,0.865404761904762,0.862964285714286
"MMP8",0.690757013886387,0.80275974025974,0.9115,0.785,0.88,0.867595238095238,0.854083333333333
"MMP9",0.700103423048652,0.814873737373737,0.909,0.8075,0.868,0.862642857142857,0.865607142857143
"MYD88",0.691589308080633,0.807542568542569,0.91875,0.8,0.868,0.858714285714286,0.860988095238095
"NOTCH1",0.695621340652768,0.808188311688312,0.917,0.8,0.87,0.862928571428571,0.862857142857143
"P2RX7",0.696241012386066,0.806897546897547,0.91725,0.8025,0.866,0.862809523809524,0.866678571428571
"PDCD1",0.704684969052141,0.814344155844156,0.92175,0.8025,0.878,0.867880952380952,0.864702380952381
"PLAUR",0.684202209095293,0.798847041847042,0.90725,0.7875,0.872,0.857095238095238,0.856916666666667
"TREM1",0.704177741381858,0.815347041847042,0.92325,0.815,0.864,0.859928571428571,0.873642857142857
"CD177",0.637693144670948,0.769693362193362,0.901,0.75,0.858,0.843214285714286,0.829761904761905
"PTX3",0.713367097442838,0.818262626262626,0.921,0.8,0.886,0.879476190476191,0.86522619047619
"BCL2",0.709733090132201,0.821551226551227,0.915,0.82,0.868,0.860190476190476,0.87477380952381
"S100A8",0.694281411614835,0.801939393939394,0.914,0.785,0.88,0.871380952380952,0.857702380952381
"S100A9",0.697767346425056,0.812881673881674,0.92025,0.8075,0.866,0.859809523809524,0.866011904761905
"S100A12",0.663219428931698,0.78762481962482,0.9025,0.7675,0.868,0.856095238095238,0.839761904761905
"CCL2",0.690952242495722,0.813818560788258,0.91075,0.7975,0.87,0.855595238095238,0.862345238095238
"CCL19",0.723956449121094,0.825461038961039,0.9245,0.815,0.882,0.878642857142857,0.875940476190476
"CCL25",0.721296261579929,0.82431240981241,0.91475,0.815,0.884,0.871880952380952,0.875261904761905
