"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.847317753397385,0.960274725274725,0.973214285714286,0.952857142857143,0.895,0.972678571428572,0.885
"P2RX7",0.851426483388584,0.959824175824176,0.973928571428571,0.95,0.905,0.975119047619048,0.883333333333333
"ICAM1",0.858919066930045,0.964128205128205,0.972857142857143,0.96,0.895,0.9725,0.9
"HIF1A",0.86191991536813,0.964796536796537,0.978928571428571,0.964285714285714,0.885,0.970357142857143,0.915666666666667
"MMP9",0.832279467150738,0.956736263736264,0.977857142857143,0.95,0.88,0.968928571428571,0.878333333333333
"OLFM4",0.834642080357834,0.954250749250749,0.9725,0.941428571428571,0.9,0.973869047619048,0.865666666666667
"GATA3",0.846415613984586,0.9581665001665,0.981785714285714,0.951428571428571,0.89,0.971547619047619,0.892333333333333
"CCL2",0.867870409744232,0.9613663003663,0.973214285714286,0.944285714285714,0.94,0.984821428571429,0.876666666666667
"IFNG",0.88874208263553,0.969391941391941,0.985714285714286,0.962857142857143,0.925,0.980654761904762,0.918333333333333
"MAPK14",0.782422223552759,0.928531135531136,0.959642857142857,0.921428571428571,0.835,0.942678571428571,0.841666666666667
"IL1R2",0.888000807247522,0.967501831501831,0.981071428571429,0.95,0.96,0.989642857142857,0.883333333333333
"MMP8",0.878011919984171,0.965355311355311,0.978571428571429,0.951428571428571,0.94,0.984464285714286,0.888333333333333
"ARG1",0.852718308777639,0.959835164835165,0.9775,0.948571428571429,0.91,0.97672619047619,0.881666666666667
"CCR2",0.868312490732129,0.9551665001665,0.967857142857143,0.942857142857143,0.925,0.973214285714286,0.884
"TNFSF10",0.838878490501324,0.958007326007326,0.973214285714286,0.947142857142857,0.9,0.973571428571429,0.866666666666667
"TREM1",0.859252394381578,0.954245421245421,0.971785714285714,0.944285714285714,0.91,0.969226190476191,0.885
"IL1B",0.875202069764525,0.968868131868132,0.983928571428571,0.967142857142857,0.9,0.974464285714286,0.92
"CCR7",0.862907598320377,0.952431901431901,0.9725,0.94,0.92,0.97172619047619,0.883
"CRP",0.862270460759889,0.96185347985348,0.985,0.954285714285714,0.905,0.975654761904762,0.901666666666667
"IL6",0.84510342613538,0.943479853479853,0.961428571428571,0.932857142857143,0.9,0.958928571428571,0.866666666666667
"IL10",0.8661042686737,0.955406593406593,0.970714285714286,0.947142857142857,0.91,0.969047619047619,0.895
"TLR4",0.850150012926605,0.957824175824176,0.973214285714286,0.944285714285714,0.915,0.977619047619048,0.873333333333333
"TLR2",0.839588012015186,0.951201465201465,0.975357142857143,0.948571428571429,0.87,0.959464285714286,0.895
