"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAUR",0.7166969327419,0.80132215007215,0.821656746031746,0.798190476190476,0.769666666666667,0.811,0.742333333333333
"P2RX7",0.789261363219775,0.867437895437895,0.882613095238095,0.865119047619048,0.834166666666667,0.875535714285714,0.815
"ICAM1",0.788116855803378,0.88561371961372,0.915623015873016,0.880297619047619,0.85,0.898595238095238,0.8185
"HIF1A",0.817182566808424,0.87059817959818,0.885668650793651,0.875880952380952,0.850833333333333,0.872059523809524,0.842166666666667
"MMP9",0.783046414962998,0.879517565767566,0.901662698412698,0.876833333333333,0.832333333333333,0.888595238095238,0.817666666666667
"OLFM4",0.765387217352321,0.861931068931069,0.885515873015873,0.868857142857143,0.810166666666667,0.863107142857143,0.818333333333333
"GATA3",0.761517156533782,0.831049173049173,0.84609126984127,0.829130952380952,0.793,0.837285714285714,0.788833333333333
"CCL2",0.765921488711735,0.867839160839161,0.887821428571429,0.870916666666667,0.812666666666667,0.872071428571429,0.809666666666667
"IFNG",0.771718837392751,0.853237512487512,0.873523809523809,0.857345238095238,0.809166666666667,0.855761904761905,0.809833333333333
"MAPK14",0.698725773354813,0.813259629259629,0.834890873015873,0.797047619047619,0.806333333333333,0.83675,0.691333333333333
"IL1R2",0.761999541252728,0.851849594849595,0.875742063492064,0.852642857142857,0.827761904761905,0.862583333333333,0.790166666666667
"MMP8",0.802828168543019,0.905220446220446,0.925079365079365,0.898297619047619,0.893333333333333,0.920440476190476,0.806
"ARG1",0.767882049619556,0.869058053058053,0.884565476190476,0.857940476190476,0.84,0.88702380952381,0.781166666666667
"CCR2",0.758890259423435,0.850571206571207,0.868055555555556,0.84602380952381,0.822666666666667,0.859892857142857,0.777666666666667
"TNFSF10",0.741048048796472,0.844629037629038,0.873297619047619,0.832154761904762,0.824166666666667,0.865297619047619,0.755
"TREM1",0.750662537601836,0.847996864246864,0.873186507936508,0.853892857142857,0.787666666666667,0.849761904761905,0.798
"IL1B",0.782664573433996,0.879617937617938,0.905698412698413,0.873916666666667,0.843333333333333,0.892261904761905,0.8085
"CCR7",0.820003049139303,0.921696497946498,0.93359126984127,0.905738095238095,0.8975,0.943511904761905,0.822333333333333
"CRP",0.747243616327596,0.829521534021534,0.848257936507936,0.814678571428571,0.820833333333333,0.852083333333333,0.756833333333333
"IL6",0.728722292642954,0.811727744477744,0.828998015873016,0.802619047619048,0.790833333333333,0.827190476190476,0.7435
"IL10",0.759506970193458,0.838849872349872,0.867156746031746,0.841238095238095,0.817166666666667,0.844797619047619,0.7855
"TLR4",0.772124102512265,0.844649572649573,0.859361111111111,0.835392857142857,0.833333333333333,0.859154761904762,0.784333333333333
"TLR2",0.761708599224333,0.871110972360972,0.89964880952381,0.874785714285714,0.822166666666667,0.876333333333333,0.800166666666667
"S100A8",0.809940065591314,0.896077894327894,0.911468253968254,0.903440476190476,0.8335,0.893690476190476,0.8585
"LCN2",0.80288329920234,0.898780996780997,0.919329365079365,0.905404761904762,0.829333333333333,0.898738095238095,0.863666666666667
"NOTCH1",0.792786110181928,0.872027417027417,0.886373015873016,0.871392857142857,0.829166666666667,0.877083333333333,0.818833333333333
"FCGR1A",0.742853558883109,0.848805777555778,0.865222222222222,0.846714285714286,0.799166666666667,0.857202380952381,0.773333333333333
"VCAM1",0.779825459633434,0.876996142746143,0.897896825396825,0.877095238095238,0.829,0.884238095238095,0.819833333333333
"NLRP3",0.770123261893146,0.856245088245088,0.874007936507937,0.849880952380952,0.825833333333333,0.867321428571429,0.786833333333333
"S100A9",0.735386430060753,0.830747002997003,0.845992063492063,0.829309523809524,0.790833333333333,0.839047619047619,0.7625
"S100A12",0.750261271962546,0.836991425241425,0.849289682539683,0.843119047619048,0.7785,0.836035714285714,0.793333333333333
"PTX3",0.775626901168443,0.881873182373182,0.894575396825397,0.873178571428571,0.855166666666667,0.898714285714286,0.7945
"CX3CR1",0.725557015993047,0.834579947829948,0.861734126984127,0.836714285714286,0.776666666666667,0.839904761904762,0.769
"CXCL10",0.799841705168764,0.885929403929404,0.898654761904762,0.879666666666667,0.864166666666667,0.896928571428571,0.81
"CXCL8",0.742099870989194,0.857015928515929,0.881083333333333,0.854619047619048,0.805,0.86677380952381,0.787333333333333
"ITGAM",0.705167340774129,0.818397963147963,0.839456349206349,0.8155,0.759166666666667,0.829166666666667,0.737333333333333
"CD14",0.780685915429204,0.873361388611389,0.894313492063492,0.874928571428571,0.818333333333333,0.87672619047619,0.820166666666667
"BCL2",0.797571902788407,0.882434676434676,0.890047619047619,0.871178571428571,0.870833333333333,0.899428571428571,0.804
"IFNB1",0.821914577765905,0.912471528471528,0.932468253968254,0.91347619047619,0.863333333333333,0.916690476190476,0.8585
"C3AR1",0.768258771591647,0.855875957375957,0.867003968253968,0.847904761904762,0.834,0.87,0.771666666666667
"CCL19",0.828826206091151,0.927484154734155,0.949430555555556,0.917690476190476,0.9065,0.944309523809524,0.84
"MYD88",0.776329526954664,0.883931596181596,0.911813492063492,0.865404761904762,0.876666666666667,0.911511904761905,0.772166666666667
"SOCS3",0.741760470749541,0.85353934953935,0.873847222222222,0.847428571428571,0.811833333333333,0.867059523809524,0.767666666666667
"IFNA2",0.773668798007411,0.863225441225441,0.886458333333333,0.863154761904762,0.816666666666667,0.869404761904762,0.809
"PDCD1",0.767710756552759,0.870644938394938,0.886160714285714,0.864642857142857,0.834,0.881845238095238,0.7855
"HMGB1",0.777156832829091,0.859351814851815,0.879912698412698,0.85752380952381,0.830666666666667,0.867130952380952,0.807
"C5AR1",0.725858184084693,0.83023976023976,0.858944444444444,0.83377380952381,0.784833333333333,0.835702380952381,0.7655
"ELANE",0.800473227152371,0.876322122322122,0.889630952380952,0.865142857142857,0.8705,0.892785714285714,0.800833333333333
"IFNA1",0.746861498065513,0.854793428793429,0.879730158730159,0.846833333333333,0.8135,0.871190476190476,0.7755
"HLA.DRA",0.790595157983237,0.889012654012654,0.908886904761905,0.885464285714286,0.855,0.899452380952381,0.814333333333333
"TNF",0.764870323524262,0.866773421023421,0.889656746031746,0.869035714285714,0.813,0.870190476190476,0.8075
"CD177",0.773306834135238,0.876858086358086,0.895412698412698,0.875261904761905,0.829333333333333,0.885047619047619,0.807166666666667
