"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
0.55,0.8,0.8,0.8,0.75,0.8,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,0.944444444444444,1,0.666666666666667,0.857142857142857,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0.597614304667197,0.833333333333333,1,0.714285714285714,1,1,0.5
0.661437827766148,0.933333333333333,1,0.875,1,1,0.5
0.661437827766148,0.933333333333333,0.928571428571429,1,0.5,0.875,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0.790569415042095,0.909090909090909,1,1,0.75,0.833333333333333,1
0.478091443733757,0.727272727272727,1,1,0.4,0.571428571428572,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,0.857142857142857,0.857142857142857,1,1,0.666666666666667
0.661437827766148,0.933333333333333,1,0.875,1,1,0.5
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.790569415042095,0.909090909090909,0.972222222222222,0.833333333333333,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.857142857142857,0.875,0.75,1,1,0.333333333333333
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,0.944444444444444,1,0.666666666666667,0.857142857142857,1
0.597614304667197,0.833333333333333,1,0.714285714285714,1,1,0.5
1,1,1,1,1,1,1
0.357142857142857,0.857142857142857,0.928571428571429,0.857142857142857,0.5,0.857142857142857,0.5
0.755928946018454,0.923076923076923,0.944444444444444,1,0.666666666666667,0.857142857142857,1
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,0.857142857142857,0.857142857142857,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0.755928946018454,0.923076923076923,1,0.857142857142857,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.8,0.888888888888889,0.85,0.8,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,1,1,0.666666666666667,0.857142857142857,1
0.661437827766148,0.933333333333333,0.875,0.875,1,1,0.5
0.661437827766148,0.933333333333333,1,1,0.5,0.875,1
0.755928946018454,0.923076923076923,0.857142857142857,0.857142857142857,1,1,0.666666666666667
0.790569415042095,0.909090909090909,0.944444444444444,0.833333333333333,1,1,0.75
1,1,1,1,1,1,1
0.632455532033676,0.8,1,0.666666666666667,1,1,0.6
1,1,1,1,1,1,1
0.5,0.857142857142857,0.875,0.75,1,1,0.333333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.5,0.833333333333333,0.944444444444444,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.755928946018454,0.923076923076923,1,1,0.666666666666667,0.857142857142857,1
0.5,0.833333333333333,0.888888888888889,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0.55,0.8,0.8,0.8,0.75,0.8,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.790569415042095,0.909090909090909,1,0.833333333333333,1,1,0.75
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.8,0.888888888888889,1,0.8,1,1,0.8
0.755928946018454,0.923076923076923,1,1,0.666666666666667,0.857142857142857,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.790569415042095,0.909090909090909,0.916666666666667,0.833333333333333,1,1,0.75
0,0,0,0,0,0,0
0.790569415042095,0.909090909090909,0.833333333333333,0.833333333333333,1,1,0.75
1,1,1,1,1,1,1
0.661437827766148,0.933333333333333,0.875,0.875,1,1,0.5
1,1,1,1,1,1,1
0.661437827766148,0.933333333333333,0.875,0.875,1,1,0.5
