Gene,Mean_Sepsis,Mean_Control,Direction,W,p_value,effect_size,adjusted_p
CD177.1,8.453201238052083,1.9740470266904762,Up_in_Sepsis,8031,2.37451179838659e-42,0.9918154761904762,2.611962978225249e-41
ARG1,8.497452462979167,3.0630179415238095,Up_in_Sepsis,7989,2.6982443580053096e-39,0.9813988095238095,1.4840343969029203e-38
CD177,7.315457282557292,2.5411372369761906,Up_in_Sepsis,7975,1.7833024291828495e-38,0.9779265873015873,6.538775573670448e-38
ITGAM.2,6.973174295588541,5.443928597785714,Up_in_Sepsis,7743,1.3106208565382149e-29,0.9203869047619048,3.6042073554800907e-29
ITGAM,8.136692694734375,6.6660665774285714,Up_in_Sepsis,7640,6.01750750632675e-27,0.8948412698412699,1.323851651391885e-26
ITGAM.1,9.804002354625,8.68873582352381,Up_in_Sepsis,7577,1.624516760035634e-25,0.8792162698412699,2.978280726731996e-25
FCGR1A,9.202320795692708,6.855902842452381,Up_in_Sepsis,7448,6.300028454854735e-23,0.8472222222222222,9.900044714771727e-23
C3AR1,8.649459225494791,7.037211464333334,Up_in_Sepsis,7305,1.83819179408804e-20,0.8117559523809523,2.527513716871055e-20
FCGR1A.1,4.975587303432292,2.8877333244285714,Up_in_Sepsis,7258,1.0033669777019218e-19,0.8000992063492063,1.2263374171912379e-19
FCGR1A.3,2.842803371697917,2.2905866832619046,Up_in_Sepsis,7123,9.004350731677378e-18,0.7666170634920635,9.904785804845116e-18
FCGR1A.2,2.856330844973958,2.3336854352380954,Up_in_Sepsis,6894,6.551690474957766e-15,0.7098214285714286,6.551690474957766e-15
