"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"C3AR1",0.915447890465791,0.984214439086032,0.996677631578947,0.979473684210526,0.94875,0.989491613649508,0.916188311688312
"CD177",0.91053502310062,0.983430019001612,0.996792763157895,0.979473684210526,0.94125,0.987864992522887,0.914981962481963
"CD177.1",0.927197678137983,0.987126110352426,0.997483552631579,0.987894736842105,0.935,0.986622773149089,0.94693253968254
"ITGAM",0.899553384207946,0.981614089127788,0.996184210526316,0.977894736842105,0.93125,0.985845724845725,0.907097041847042
"ITGAM.1",0.911747622578637,0.983700193237864,0.996677631578947,0.979473684210526,0.94375,0.988373576682948,0.914340548340548
"ITGAM.2",0.908561455086805,0.983187683565152,0.995773026315789,0.979473684210526,0.93875,0.98736158030253,0.914125901875902
"FCGR1A",0.914870284467969,0.984394448683922,0.996611842105263,0.980789473684211,0.94375,0.988445000234474,0.919464285714286
"FCGR1A.1",0.9141003479385,0.98408996494649,0.996611842105263,0.980263157894737,0.94375,0.988362369020264,0.918173881673882
"ARG1",0.907126874475177,0.98244069507249,0.993717105263158,0.976315789473684,0.9475,0.989190604716921,0.904529942279942
"FCGR1A.2",0.91042849903905,0.983441730081745,0.997006578947368,0.979736842105263,0.94,0.98767613420245,0.916398629148629
"FCGR1A.3",0.916301233395926,0.984496630568836,0.997039473684211,0.980263157894737,0.9475,0.989199102034789,0.918209235209235
