"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"GATA3.1",2.50296887965104,4.475295645,"Down_in_Sepsis",45,2.37890325693187e-41,-0.988839285714286,6.89881944510243e-40
"GATA3",4.36075955541667,6.21757552878571,"Down_in_Sepsis",67,8.48889662022946e-40,-0.983382936507937,1.23089000993327e-38
"IL1R2",10.9171750624323,7.25093942792857,"Up_in_Sepsis",7958,1.46544796003424e-37,0.973710317460317,1.41659969469977e-36
"MAPK14.3",8.08907824402083,5.68487273059524,"Up_in_Sepsis",7943,8.19913204966185e-37,0.969990079365079,5.94437073600484e-36
"BCL2.1",2.92080696728646,5.25232368430952,"Down_in_Sepsis",133,3.01059268081386e-36,-0.967013888888889,1.74614375487204e-35
"BCL2",3.01547781030208,5.22394172597619,"Down_in_Sepsis",139,5.63979343414989e-36,-0.965525793650794,2.72590015983911e-35
"MAPK14.4",6.27634915258333,3.96870995180952,"Up_in_Sepsis",7879,4.60239560902396e-34,0.954117063492063,1.90670675230993e-33
"MAPK14.2",6.99171318232292,4.47896202311905,"Up_in_Sepsis",7819,6.3316472368804e-32,0.939236111111111,2.29522212336915e-31
"GATA3.2",2.680386344125,3.41699893885714,"Down_in_Sepsis",292,1.88864620606631e-30,-0.927579365079365,6.08563777510256e-30
"MAPK14",9.64809162871875,8.24078033659524,"Up_in_Sepsis",7754,6.36635391492976e-30,0.923115079365079,1.84624263532963e-29
"MAPK14.5",9.04641510726563,7.4489840027619,"Up_in_Sepsis",7688,3.93861180764113e-28,0.906746031746032,1.03836129474175e-27
"MAPK14.1",7.04081475445833,5.37505443057143,"Up_in_Sepsis",7684,4.98311312950957e-28,0.905753968253968,1.20425233963148e-27
"SOCS3.1",6.67395354395313,3.51310012283333,"Up_in_Sepsis",7652,3.10192500244155e-27,0.89781746031746,6.91967885160039e-27
"IL10",2.56564512698958,2.07589509790476,"Up_in_Sepsis",7259,9.68521943848794e-20,0.800347222222222,2.00622402654393e-19
"SOCS3",2.78009184932812,2.32608002459524,"Up_in_Sepsis",6818,4.60946326641657e-14,0.690972222222222,8.91162898173869e-14
"MYD88.1",8.96918695803125,8.55300037983333,"Up_in_Sepsis",6582,1.07006668649012e-11,0.632440476190476,1.93949586926334e-11
"MYD88.3",4.79982584520312,4.25138322330952,"Up_in_Sepsis",6281,3.65510393614076e-09,0.557787698412698,6.23517730282836e-09
"MYD88",4.15705122978646,3.6322448302619,"Up_in_Sepsis",6042,1.80907196466569e-07,0.498511904761905,2.9146159430725e-07
"HIF1A.6",6.83183200145313,6.26150646264286,"Up_in_Sepsis",5831,3.57972194824142e-06,0.446180555555556,5.46378613152638e-06
"HIF1A",9.20189968603646,8.77497281209524,"Up_in_Sepsis",5803,5.16368710940363e-06,0.439236111111111,7.31799738680007e-06
"HIF1A.7",6.69127162096354,6.14273205097619,"Up_in_Sepsis",5801,5.29923948699315e-06,0.438740079365079,7.31799738680007e-06
"HIF1A.4",5.62650012308333,5.01427068459524,"Up_in_Sepsis",5751,1.00180885925853e-05,0.426339285714286,1.32056622356807e-05
"MYD88.2",4.09686798610417,3.56362470959524,"Up_in_Sepsis",5707,1.72460145194448e-05,0.415426587301587,2.17449748288651e-05
"HIF1A.5",6.69873828033854,6.11383701454762,"Up_in_Sepsis",5703,1.81047426102869e-05,0.414434523809524,2.187656398743e-05
"HIF1A.2",6.34489224445313,5.82581192864286,"Up_in_Sepsis",5593,6.55069824312072e-05,0.387152777777778,7.59880996202004e-05
"HIF1A.3",5.65418618870833,5.0992719852381,"Up_in_Sepsis",5453,0.000293876531576796,0.352430555555556,0.00032778536214335
"HIF1A.1",5.14494017989583,4.68526218573809,"Up_in_Sepsis",5381,0.000600849666193498,0.334573412698413,0.000645357048874497
"BCL2.2",2.60407645501042,2.49098567088095,"Up_in_Sepsis",5081,0.00800541027872375,0.260168650793651,0.00829131778867817
"BCL2.3",2.50291486378125,2.35432404219048,"Up_in_Sepsis",4972,0.0176943018424582,0.233134920634921,0.0176943018424582
