"Feature","Mean_Importance","SD_Importance"
"GATA3.1",26.114016960677,5.84060963363178
"BCL2.1",20.0140208234349,5.42814790235893
"GATA3",18.9098664855976,5.31006226274222
"IL1R2",14.8086781185944,6.30058078341802
"MAPK14.2",14.0113724205839,4.91417316160344
"MAPK14.3",13.8656405763777,5.17769499305308
"BCL2",12.2156831535854,4.73334863470193
"MAPK14.4",11.9958402729524,3.59855697092144
"MAPK14.5",6.29246202416254,3.04414324993947
"MAPK14.1",5.27842428754934,2.692630674249
"MAPK14",5.1006136650494,2.61195946686569
"GATA3.2",3.40003792083427,1.66498604943311
"SOCS3.1",2.66815406562332,1.61510318393636
"IL10",1.60503083638146,0.848978192718634
"MYD88.1",1.07182602737632,0.789955705350009
"SOCS3",0.611723565576089,0.556412246994728
"MYD88.3",0.389732761813837,0.468967526871587
"MYD88.2",0.378614797619031,0.368359853294096
"HIF1A.2",0.361756715355523,0.222778450207992
"MYD88",0.339230795043103,0.264808772170536
"HIF1A.3",0.314402824631927,0.199044990941309
"HIF1A",0.299006353532338,0.217451858539294
"BCL2.3",0.293957427743855,0.249444650151284
"HIF1A.5",0.210872805605155,0.217737701932656
"HIF1A.1",0.143138541421807,0.104078397138135
"BCL2.2",0.136829663864047,0.170947309521847
"HIF1A.4",0.123799100869041,0.143060080464309
"HIF1A.7",0.0944879606754179,0.120665564300523
"HIF1A.6",0.0553432449999009,0.081738739090866
