"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"S100A12",11.9061108685208,8.53748053669048,"Up_in_Sepsis",8040,3.22891010072842e-43,0.994047619047619,3.39035560576485e-41
"CD177.1",8.45320123805208,1.97404702669048,"Up_in_Sepsis",8031,2.37451179838659e-42,0.991815476190476,1.24661869415296e-40
"GATA3.1",2.50296887965104,4.475295645,"Down_in_Sepsis",45,2.37890325693187e-41,-0.988839285714286,8.32616139926155e-40
"GATA3",4.36075955541667,6.21757552878571,"Down_in_Sepsis",67,8.48889662022946e-40,-0.983382936507937,2.22833536281023e-38
"ARG1",8.49745246297917,3.06301794152381,"Up_in_Sepsis",7989,2.69824435800531e-39,0.98139880952381,5.66631315181115e-38
"CD177",7.31545728255729,2.54113723697619,"Up_in_Sepsis",7975,1.78330242918285e-38,0.977926587301587,3.12077925106999e-37
"IL1R2",10.9171750624323,7.25093942792857,"Up_in_Sepsis",7958,1.46544796003424e-37,0.973710317460317,2.19817194005136e-36
"MAPK14.3",8.08907824402083,5.68487273059524,"Up_in_Sepsis",7943,8.19913204966185e-37,0.969990079365079,1.07613608151812e-35
"BCL2.1",2.92080696728646,5.25232368430952,"Down_in_Sepsis",133,3.01059268081386e-36,-0.967013888888889,3.51235812761617e-35
"BCL2",3.01547781030208,5.22394172597619,"Down_in_Sepsis",139,5.63979343414989e-36,-0.965525793650794,5.92178310585739e-35
"CX3CR1",7.82209613069792,10.4586379358095,"Down_in_Sepsis",158,3.769623926271e-35,-0.960813492063492,3.59827738416778e-34
"MAPK14.4",6.27634915258333,3.96870995180952,"Up_in_Sepsis",7879,4.60239560902396e-34,0.954117063492063,4.02709615789596e-33
"MMP8",8.00979046575,2.55705266183333,"Up_in_Sepsis",7863,1.848434139489e-33,0.95014880952381,1.49296603574111e-32
"HLA.DRA.1",9.66270504749479,11.3153777690476,"Down_in_Sepsis",209,3.62110354107599e-33,-0.948164682539683,2.715827655807e-32
"HLA.DRA",9.76926062797917,11.4347092380952,"Down_in_Sepsis",221,9.67207804817916e-33,-0.945188492063492,6.77045463372541e-32
"MAPK14.2",6.99171318232292,4.47896202311905,"Up_in_Sepsis",7819,6.3316472368804e-32,0.939236111111111,4.15514349920276e-31
"CCR7",6.10907024576562,8.7041589232381,"Down_in_Sepsis",249,8.57129858869871e-32,-0.938244047619048,5.29403736360802e-31
"MMP9",11.2620303112187,8.28617971669048,"Up_in_Sepsis",7810,1.24673367790528e-31,0.937003968253968,7.27261312111413e-31
"GATA3.2",2.680386344125,3.41699893885714,"Down_in_Sepsis",292,1.88864620606631e-30,-0.927579365079365,1.04372553493138e-29
"MAPK14",9.64809162871875,8.24078033659524,"Up_in_Sepsis",7754,6.36635391492976e-30,0.923115079365079,3.34233580533812e-29
"ITGAM.2",6.97317429558854,5.44392859778571,"Up_in_Sepsis",7743,1.31062085653821e-29,0.920386904761905,6.55310428269107e-29
"MMP8.1",6.56934432452604,2.17245113385714,"Up_in_Sepsis",7692,3.10821495088069e-28,0.907738095238095,1.48346622655669e-27
"MAPK14.5",9.04641510726563,7.4489840027619,"Up_in_Sepsis",7688,3.93861180764113e-28,0.906746031746032,1.79806191218399e-27
"MAPK14.1",7.04081475445833,5.37505443057143,"Up_in_Sepsis",7684,4.98311312950957e-28,0.905753968253968,2.18011199416044e-27
"SOCS3.1",6.67395354395313,3.51310012283333,"Up_in_Sepsis",7652,3.10192500244155e-27,0.89781746031746,1.30280850102545e-26
"ITGAM",8.13669269473437,6.66606657742857,"Up_in_Sepsis",7640,6.01750750632675e-27,0.89484126984127,2.43014726217042e-26
"ITGAM.1",9.804002354625,8.68873582352381,"Up_in_Sepsis",7577,1.62451676003563e-25,0.87921626984127,6.31756517791635e-25
"MMP8.3",6.17254399015104,2.44222829714286,"Up_in_Sepsis",7570,2.30245554109789e-25,0.877480158730159,8.63420827911707e-25
"LCN2",9.55884012007292,5.74869940214286,"Up_in_Sepsis",7569,2.41943824914459e-25,0.877232142857143,8.76003504000628e-25
"S100A8",12.8929399751562,11.0232013238095,"Up_in_Sepsis",8023,9.98991264548724e-24,0.989831349206349,3.49646942592053e-23
"FCGR1A",9.20232079569271,6.85590284245238,"Up_in_Sepsis",7448,6.30002845485474e-23,0.847222222222222,2.1338806056766e-22
"OLFM4",7.10289504179167,2.74130647559524,"Up_in_Sepsis",7446,6.8619650087203e-23,0.84672619047619,2.25158226848635e-22
"C3AR1",8.64945922549479,7.03721146433333,"Up_in_Sepsis",7305,1.83819179408804e-20,0.811755952380952,5.84879207209831e-20
"IL10",2.56564512698958,2.07589509790476,"Up_in_Sepsis",7259,9.68521943848794e-20,0.800347222222222,2.99102365012128e-19
"FCGR1A.1",4.97558730343229,2.88773332442857,"Up_in_Sepsis",7258,1.00336697770192e-19,0.800099206349206,3.01010093310577e-19
"MMP8.2",5.13006193785937,2.11720206452381,"Up_in_Sepsis",7248,1.42625270124366e-19,0.797619047619048,4.15990371196068e-19
"TLR2.1",5.27287318638542,3.91234383292857,"Up_in_Sepsis",7145,4.48072840456581e-18,0.772073412698413,1.27155806075516e-17
"FCGR1A.3",2.84280337169792,2.2905866832619,"Up_in_Sepsis",7123,9.00435073167738e-18,0.766617063492063,2.48804428112138e-17
"TLR4",5.35086121038542,4.43814192680952,"Up_in_Sepsis",7100,1.84302812814134e-17,0.760912698412698,4.96199880653438e-17
"HMGB1.6",3.02225530589063,3.84114440330952,"Down_in_Sepsis",1118,1.61936916675112e-15,-0.722718253968254,4.2508440627217e-15
"TLR2",8.51648224974479,7.49520330142857,"Up_in_Sepsis",6920,3.2789251743543e-15,0.716269841269841,8.39724739773662e-15
"OLFM4.1",4.86263506470833,2.51369515304762,"Up_in_Sepsis",6905,4.89619995950491e-15,0.712549603174603,1.22404998987623e-14
"FCGR1A.2",2.85633084497396,2.3336854352381,"Up_in_Sepsis",6894,6.55169047495777e-15,0.709821428571429,1.59983139504783e-14
"TLR2.2",10.1816469093177,9.60372525057143,"Up_in_Sepsis",6847,2.21674683489881e-14,0.698164682539683,5.28996403782671e-14
"SOCS3",2.78009184932812,2.32608002459524,"Up_in_Sepsis",6818,4.60946326641657e-14,0.690972222222222,1.07554142883053e-13
"MYD88.1",8.96918695803125,8.55300037983333,"Up_in_Sepsis",6582,1.07006668649012e-11,0.632440476190476,2.44254352351005e-11
"ELANE",4.92001079675521,3.26880090483333,"Up_in_Sepsis",6507,5.09399758716616e-11,0.613839285714286,1.1380207375584e-10
"TLR4.1",8.04350205258333,7.18402015361905,"Up_in_Sepsis",6461,1.2786394861465e-10,0.602430555555556,2.79702387594546e-10
"TLR4.2",6.86139375978646,6.13235461795238,"Up_in_Sepsis",6381,5.94954856251048e-10,0.582589285714286,1.2749032633951e-09
"PTX3",3.41697881661458,2.53636567307143,"Up_in_Sepsis",6321,1.7926638974824e-09,0.567708333333333,3.76459418471304e-09
"MYD88.3",4.79982584520312,4.25138322330952,"Up_in_Sepsis",6281,3.65510393614076e-09,0.557787698412698,7.52521398617216e-09
"TNFSF10.2",9.69028640548438,9.1898812455,"Up_in_Sepsis",6103,7.06233764274191e-08,0.513640873015873,1.42604894709212e-07
"MYD88",4.15705122978646,3.6322448302619,"Up_in_Sepsis",6042,1.80907196466569e-07,0.498511904761905,3.5840104960358e-07
"TNFSF10",9.61175971679167,9.10699879726191,"Up_in_Sepsis",6019,2.55520448425334e-07,0.49280753968254,4.96845316382593e-07
"C5AR1.1",3.51489097379687,3.17366030190476,"Up_in_Sepsis",6004,3.19195271111421e-07,0.489087301587302,6.09372790303623e-07
"TNF",3.49987544682813,3.78686031497619,"Down_in_Sepsis",2113,6.88923400908225e-07,-0.47594246031746,1.29173137670292e-06
"HIF1A.6",6.83183200145313,6.26150646264286,"Up_in_Sepsis",5831,3.57972194824142e-06,0.446180555555556,6.59422464149735e-06
"HIF1A",9.20189968603646,8.77497281209524,"Up_in_Sepsis",5803,5.16368710940363e-06,0.439236111111111,9.34805424978243e-06
"HIF1A.7",6.69127162096354,6.14273205097619,"Up_in_Sepsis",5801,5.29923948699315e-06,0.438740079365079,9.43084993447934e-06
"P2RX7.4",2.45619943074479,2.67430672952381,"Down_in_Sepsis",2265,5.43816515624538e-06,-0.438244047619048,9.51678902342942e-06
"HIF1A.4",5.62650012308333,5.01427068459524,"Up_in_Sepsis",5751,1.00180885925853e-05,0.426339285714286,1.72442508560895e-05
"P2RX7.1",3.00543668990104,3.39506150788095,"Down_in_Sepsis",2315,1.02720823485008e-05,-0.425843253968254,1.73962684934289e-05
"MYD88.2",4.09686798610417,3.56362470959524,"Up_in_Sepsis",5707,1.72460145194448e-05,0.415426587301587,2.8743357532408e-05
"TNFSF10.1",9.25658537373958,8.92364967509524,"Up_in_Sepsis",5702,1.83256508765199e-05,0.414186507936508,2.96029744928398e-05
"HIF1A.5",6.69873828033854,6.11383701454762,"Up_in_Sepsis",5703,1.81047426102869e-05,0.414434523809524,2.96029744928398e-05
"NLRP3",5.68977997895833,5.10449681119048,"Up_in_Sepsis",5685,2.24936278341998e-05,0.409970238095238,3.57853170089542e-05
"NLRP3.1",3.78086085019271,3.298133224,"Up_in_Sepsis",5666,2.82052461094068e-05,0.405257936507937,4.42022513654882e-05
"IL8",3.46822884143229,4.01358449390476,"Down_in_Sepsis",2440,4.60375566343641e-05,-0.39484126984127,7.10874036265916e-05
"P2RX7.3",2.39128581171354,2.58127430047619,"Down_in_Sepsis",2450,5.16274893912132e-05,-0.392361111111111,7.85635708127157e-05
"HIF1A.2",6.34489224445313,5.82581192864286,"Up_in_Sepsis",5593,6.55069824312072e-05,0.387152777777778,9.82604736468109e-05
"HIF1A.3",5.65418618870833,5.0992719852381,"Up_in_Sepsis",5453,0.000293876531576796,0.352430555555556,0.000434606138247375
"ICAM1.1",4.74846920072396,4.32691295457143,"Up_in_Sepsis",5383,0.000589329628848773,0.335069444444444,0.000859439042071127
"HIF1A.1",5.14494017989583,4.68526218573809,"Up_in_Sepsis",5381,0.000600849666193498,0.334573412698413,0.000864235821237223
"HMGB1.2",7.74633397263021,7.5050254982381,"Up_in_Sepsis",5245,0.0020973517189919,0.300843253968254,0.00297597203370473
"BCL2.2",2.60407645501042,2.49098567088095,"Up_in_Sepsis",5081,0.00800541027872375,0.260168650793651,0.0112075743902133
"CCR2.1",4.32827305623437,4.7282333687619,"Down_in_Sepsis",3017,0.0103362617372799,-0.251736111111111,0.0142803616107156
"IL8.1",2.25354920185938,2.24779325866667,"Up_in_Sepsis",3061,0.0142301185241429,-0.240823412698413,0.0194047070783767
"P2RX7.2",2.43119564332813,2.5366486902619,"Down_in_Sepsis",3077,0.0159358465827049,-0.236855158730159,0.0214521011690258
"PLAUR",6.75686524164063,7.10780216011905,"Down_in_Sepsis",3088,0.0172096156582505,-0.234126984126984,0.0228735397989406
"BCL2.3",2.50291486378125,2.35432404219048,"Up_in_Sepsis",4972,0.0176943018424582,0.233134920634921,0.0232237711682264
"CCR2",6.81903055097396,7.29492800197619,"Down_in_Sepsis",3098,0.0184435813327739,-0.231646825396825,0.0239083461721143
"C5AR1",7.88381130503125,7.77850815057143,"Up_in_Sepsis",4960,0.0192202648401478,0.23015873015873,0.0246113147343356
"PLAUR.4",6.48615825847396,6.806063367,"Down_in_Sepsis",3203,0.0367623071520508,-0.205605158730159,0.0465065331441606
"HMGB1.5",7.58350386492187,7.43664676038095,"Up_in_Sepsis",4855,0.0381625458430456,0.204117063492063,0.047703182303807
"TREM1",8.08388333411458,8.65414992892857,"Down_in_Sepsis",3248,0.0484030950221836,-0.194444444444444,0.059792058556815
"HMGB1.4",7.92932872434375,7.81309081066667,"Up_in_Sepsis",4781,0.0594527968388856,0.185763888888889,0.0725877170707324
"TREM1.1",7.83204354766146,8.39286515342857,"Down_in_Sepsis",3358,0.0901650863537046,-0.167162698412698,0.108819931806195
"CCR2.2",2.98484549140625,3.03028171764286,"Down_in_Sepsis",3362,0.0921060200605148,-0.166170634920635,0.109899228481296
"P2RX7",2.70296001819271,2.78599911652381,"Down_in_Sepsis",3393,0.108299927156296,-0.158482142857143,0.127769576982147
"PLAUR.3",6.39280447784375,6.67484368390476,"Down_in_Sepsis",3404,0.114556105911634,-0.155753968253968,0.133648790230239
"ICAM1.2",2.70952297880729,2.55394705388095,"Up_in_Sepsis",4652,0.119280728985239,0.153769841269841,0.137631610367583
"IL1B",6.81779172181771,6.722688254,"Up_in_Sepsis",4590,0.161188617431736,0.138392857142857,0.183965269894916
"PDCD1.1",2.69955639308333,2.62286527095238,"Up_in_Sepsis",4575,0.172816253501443,0.134672619047619,0.195115124920984
"PLAUR.2",6.23942406525521,6.156458801,"Up_in_Sepsis",4543,0.199681649756063,0.126736111111111,0.223048651323262
"PDCD1",2.61501175493229,2.52143663992857,"Up_in_Sepsis",4529,0.212342357771451,0.123263888888889,0.234694184905288
"CCR2.3",2.47270015661979,2.49882104145238,"Down_in_Sepsis",3653,0.342123447591046,-0.0939980158730159,0.374197520802706
"PLAUR.1",5.38116955349479,5.56044565973809,"Down_in_Sepsis",3659,0.349847104572445,-0.0925099206349206,0.378700474021719
"CD14.1",8.97858373159375,8.9612634935,"Up_in_Sepsis",4386,0.375022530535026,0.0877976190476191,0.401809854144671
"HMGB1.1",6.03361954829167,6.068440699,"Down_in_Sepsis",4304,0.495837416194637,0.0674603174603175,0.525888168691282
