Gene,Mean_Sepsis,Mean_Control,Direction,W,p_value,effect_size,adjusted_p
TREM1,8.083883334114583,8.654149928928572,Down_in_Sepsis,3248,0.048403095022183575,-0.19444444444444445,0.059792058556815006
HMGB1.4,7.92932872434375,7.813090810666667,Up_in_Sepsis,4781,0.05945279683888561,0.1857638888888889,0.07258771707073243
TREM1.1,7.832043547661458,8.392865153428572,Down_in_Sepsis,3358,0.0901650863537046,-0.1671626984126984,0.1088199318061952
CCR2.2,2.98484549140625,3.030281717642857,Down_in_Sepsis,3362,0.09210602006051481,-0.1661706349206349,0.10989922848129607
P2RX7,2.7029600181927083,2.7859991165238096,Down_in_Sepsis,3393,0.1082999271562964,-0.15848214285714288,0.12776957698214744
PLAUR.3,6.39280447784375,6.674843683904762,Down_in_Sepsis,3404,0.11455610591163379,-0.15575396825396826,0.13364879023023943
ICAM1.2,2.709522978807292,2.5539470538809526,Up_in_Sepsis,4652,0.11928072898523896,0.15376984126984128,0.1376316103675834
IL1B,6.817791721817708,6.722688254,Up_in_Sepsis,4590,0.16118861743173618,0.13839285714285715,0.1839652698949163
PDCD1.1,2.6995563930833333,2.622865270952381,Up_in_Sepsis,4575,0.17281625350144306,0.13467261904761904,0.19511512492098412
PLAUR.2,6.239424065255208,6.156458801,Up_in_Sepsis,4543,0.19968164975606317,0.1267361111111111,0.22304865132326204
PDCD1,2.6150117549322918,2.5214366399285715,Up_in_Sepsis,4529,0.21234235777145105,0.1232638888888889,0.23469418490528804
CCR2.3,2.4727001566197915,2.498821041452381,Down_in_Sepsis,3653,0.34212344759104585,-0.09399801587301587,0.3741975208027064
PLAUR.1,5.381169553494792,5.560445659738095,Down_in_Sepsis,3659,0.34984710457244533,-0.09250992063492064,0.37870047402171914
CD14.1,8.97858373159375,8.9612634935,Up_in_Sepsis,4386,0.37502253053502627,0.08779761904761905,0.40180985414467096
HMGB1.1,6.033619548291667,6.068440699,Down_in_Sepsis,4304,0.4958374161946371,0.06746031746031746,0.5258881686912817
HMGB1.3,7.528948088234375,7.5447709451666665,Down_in_Sepsis,4278,0.5380472035023077,0.06101190476190475,0.5649495636774231
IL8.2,2.6604555690677083,2.617336395666667,Up_in_Sepsis,3835,0.6221662032469407,-0.048859126984126984,0.6468064489200869
CD14,9.358191552671874,9.390303473380953,Down_in_Sepsis,4186,0.7003099260937421,0.03819444444444445,0.720907276861205
NOTCH1,5.867104901109375,5.988561730380952,Down_in_Sepsis,3922,0.783664163322607,-0.027281746031746032,0.7970415707696581
ICAM1,3.2044105640416665,3.0145122000714286,Up_in_Sepsis,4139,0.78945069866709,0.026537698412698416,0.7970415707696581
HMGB1,4.408105704088542,4.425628220547619,Down_in_Sepsis,4013,0.9630069939645992,-0.004712301587301588,0.9630069939645992
