Gene,Mean_Sepsis,Mean_Control,Direction,W,p_value,effect_size,adjusted_p
S100A12,11.906110868520834,8.537480536690476,Up_in_Sepsis,8040,3.2289101007284248e-43,0.9940476190476191,3.390355605764846e-41
CD177.1,8.453201238052083,1.9740470266904762,Up_in_Sepsis,8031,2.37451179838659e-42,0.9918154761904762,1.2466186941529597e-40
GATA3.1,2.502968879651042,4.475295645,Down_in_Sepsis,45,2.378903256931871e-41,-0.9888392857142857,8.326161399261548e-40
GATA3,4.360759555416666,6.217575528785714,Down_in_Sepsis,67,8.488896620229455e-40,-0.9833829365079365,2.228335362810232e-38
ARG1,8.497452462979167,3.0630179415238095,Up_in_Sepsis,7989,2.6982443580053096e-39,0.9813988095238095,5.66631315181115e-38
CD177,7.315457282557292,2.5411372369761906,Up_in_Sepsis,7975,1.7833024291828495e-38,0.9779265873015873,3.1207792510699864e-37
IL1R2,10.917175062432293,7.2509394279285715,Up_in_Sepsis,7958,1.465447960034242e-37,0.9737103174603174,2.198171940051363e-36
MAPK14.3,8.089078244020833,5.684872730595238,Up_in_Sepsis,7943,8.199132049661849e-37,0.9699900793650794,1.0761360815181177e-35
BCL2.1,2.9208069672864583,5.252323684309524,Down_in_Sepsis,133,3.010592680813859e-36,-0.9670138888888888,3.512358127616169e-35
BCL2,3.0154778103020834,5.22394172597619,Down_in_Sepsis,139,5.6397934341498924e-36,-0.9655257936507936,5.921783105857387e-35
CX3CR1,7.822096130697917,10.458637935809524,Down_in_Sepsis,158,3.769623926271004e-35,-0.9608134920634921,3.5982773841677765e-34
MAPK14.4,6.276349152583333,3.9687099518095237,Up_in_Sepsis,7879,4.602395609023957e-34,0.9541170634920635,4.027096157895962e-33
MMP8,8.00979046575,2.557052661833333,Up_in_Sepsis,7863,1.8484341394889986e-33,0.9501488095238095,1.492966035741114e-32
HLA.DRA.1,9.662705047494791,11.315377769047618,Down_in_Sepsis,209,3.621103541075995e-33,-0.9481646825396826,2.715827655806996e-32
HLA.DRA,9.7692606279791665,11.434709238095238,Down_in_Sepsis,221,9.67207804817916e-33,-0.9451884920634921,6.770454633725412e-32
MAPK14.2,6.991713182322917,4.478962023119047,Up_in_Sepsis,7819,6.331647236880401e-32,0.9392361111111112,4.155143499202763e-31
CCR7,6.109070245765625,8.704158923238095,Down_in_Sepsis,249,8.571298588698707e-32,-0.9382440476190476,5.294037363608025e-31
MMP9,11.26203031121875,8.286179716690476,Up_in_Sepsis,7810,1.2467336779052791e-31,0.9370039682539683,7.272613121114128e-31
GATA3.2,2.680386344125,3.4169989388571427,Down_in_Sepsis,292,1.8886462060663122e-30,-0.9275793650793651,1.043725534931383e-29
MAPK14,9.64809162871875,8.240780336595238,Up_in_Sepsis,7754,6.366353914929755e-30,0.9231150793650793,3.3423358053381217e-29
ITGAM.2,6.973174295588541,5.443928597785714,Up_in_Sepsis,7743,1.3106208565382149e-29,0.9203869047619048,6.553104282691075e-29
MMP8.1,6.569344324526042,2.172451133857143,Up_in_Sepsis,7692,3.1082149508806934e-28,0.9077380952380952,1.4834662265566946e-27
MAPK14.5,9.046415107265625,7.448984002761905,Up_in_Sepsis,7688,3.938611807641127e-28,0.9067460317460317,1.7980619121839928e-27
MAPK14.1,7.040814754458333,5.375054430571429,Up_in_Sepsis,7684,4.983113129509566e-28,0.9057539682539683,2.180111994160435e-27
SOCS3.1,6.673953543953125,3.5131001228333334,Up_in_Sepsis,7652,3.1019250024415547e-27,0.8978174603174603,1.302808501025453e-26
ITGAM,8.136692694734375,6.6660665774285714,Up_in_Sepsis,7640,6.01750750632675e-27,0.8948412698412699,2.4301472621704182e-26
ITGAM.1,9.804002354625,8.68873582352381,Up_in_Sepsis,7577,1.624516760035634e-25,0.8792162698412699,6.317565177916355e-25
MMP8.3,6.172543990151041,2.442228297142857,Up_in_Sepsis,7570,2.302455541097885e-25,0.8774801587301587,8.63420827911707e-25
LCN2,9.558840120072917,5.748699402142857,Up_in_Sepsis,7569,2.41943824914459e-25,0.8772321428571428,8.760035040006275e-25
S100A8,12.89293997515625,11.023201323809523,Up_in_Sepsis,8023,9.98991264548724e-24,0.9898313492063492,3.496469425920534e-23
FCGR1A,9.202320795692708,6.855902842452381,Up_in_Sepsis,7448,6.300028454854735e-23,0.8472222222222222,2.1338806056766037e-22
OLFM4,7.102895041791666,2.741306475595238,Up_in_Sepsis,7446,6.861965008720303e-23,0.8467261904761905,2.2515822684863493e-22
C3AR1,8.649459225494791,7.037211464333334,Up_in_Sepsis,7305,1.83819179408804e-20,0.8117559523809523,5.848792072098308e-20
IL10,2.5656451269895832,2.075895097904762,Up_in_Sepsis,7259,9.685219438487943e-20,0.8003472222222222,2.9910236501212765e-19
FCGR1A.1,4.975587303432292,2.8877333244285714,Up_in_Sepsis,7258,1.0033669777019218e-19,0.8000992063492063,3.0101009331057656e-19
MMP8.2,5.130061937859375,2.1172020645238097,Up_in_Sepsis,7248,1.4262527012436607e-19,0.7976190476190476,4.1599037119606767e-19
TLR2.1,5.272873186385417,3.9123438329285714,Up_in_Sepsis,7145,4.480728404565807e-18,0.7720734126984127,1.2715580607551613e-17
FCGR1A.3,2.842803371697917,2.2905866832619046,Up_in_Sepsis,7123,9.004350731677378e-18,0.7666170634920635,2.4880442811213806e-17
TLR4,5.350861210385417,4.438141926809524,Up_in_Sepsis,7100,1.8430281281413412e-17,0.7609126984126984,4.961998806534381e-17
HMGB1.6,3.022255305890625,3.841144403309524,Down_in_Sepsis,1118,1.6193691667511242e-15,-0.722718253968254,4.2508440627217006e-15
TLR2,8.516482249744792,7.495203301428571,Up_in_Sepsis,6920,3.2789251743542983e-15,0.7162698412698413,8.397247397736617e-15
OLFM4.1,4.862635064708333,2.513695153047619,Up_in_Sepsis,6905,4.896199959504913e-15,0.7125496031746031,1.2240499898762282e-14
