"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"MAPK14",0.978855071324947,0.996181442549864,0.999786184210526,0.996842105263158,0.97875,0.995634278002699,0.987194444444444
"OLFM4",0.982110905601005,0.996855456823878,0.999884868421053,0.997894736842105,0.98,0.995890688259109,0.990972222222222
"OLFM4.1",0.977485389540094,0.99591806031806,0.999819078947368,0.996315789473684,0.97875,0.995653846153846,0.985111111111111
"PTX3",0.980972209443391,0.996581248888098,0.999802631578947,0.997631578947368,0.97875,0.995641025641026,0.990606060606061
"NOTCH1",0.976466493625195,0.995788740894004,0.999703947368421,0.996052631578947,0.97875,0.995620782726046,0.983138888888889
"HIF1A",0.976820674339601,0.995777596021287,0.999736842105263,0.996315789473684,0.9775,0.995371120107962,0.985217171717172
"HIF1A.1",0.976665403985251,0.995785046153467,0.999835526315789,0.996052631578947,0.97875,0.995634278002699,0.983638888888889
"HIF1A.2",0.978855071324947,0.996181442549864,0.999802631578947,0.996842105263158,0.97875,0.995634278002699,0.987194444444444
"IL8",0.981015212475666,0.9965779793464,0.999835526315789,0.997368421052632,0.98,0.995890688259109,0.989416666666667
"SOCS3",0.979648079769019,0.996307606551298,0.999802631578947,0.996842105263158,0.98,0.995883940620783,0.987217171717172
"SOCS3.1",0.979612386374055,0.996311547911548,0.999868421052632,0.996315789473684,0.9825,0.996410256410256,0.984666666666667
"MMP9",0.978204691621975,0.996040985453098,0.999736842105263,0.996315789473684,0.98,0.995877192982456,0.984856060606061
"TREM1",0.980103485726431,0.99645846045846,0.999851973684211,0.997631578947368,0.9775,0.995397435897436,0.990444444444444
"IL1B",0.97779785955513,0.996068762437183,0.999819078947368,0.997368421052632,0.975,0.994890688259109,0.989194444444444
"MYD88",0.975922424433664,0.99565494799179,0.999786184210526,0.996052631578947,0.9775,0.995383940620783,0.983722222222222
"MYD88.1",0.978158280857272,0.99604810921653,0.999835526315789,0.996578947368421,0.97875,0.995634278002699,0.986083333333333
"C3AR1",0.976725315017427,0.995787901694751,0.999802631578947,0.996578947368421,0.97625,0.995141025641026,0.986383838383838
"BCL2",0.975992512668073,0.995654997254997,0.999736842105263,0.995789473684211,0.97875,0.995653846153846,0.982666666666667
"BCL2.1",0.980631210509742,0.996598860598861,0.999786184210526,0.998157894736842,0.97625,0.995141025641026,0.992444444444444
"TNF",0.976920288762987,0.995777504884354,0.999868421052632,0.996315789473684,0.9775,0.995384615384615,0.98549494949495
"CX3CR1",0.97890487853664,0.996181396981397,0.999868421052632,0.996842105263158,0.97875,0.995641025641026,0.987333333333333
