Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff
S100A12,3.39035560576485e-41,1,10.7776144431863,2,1
CD177.1,1.24661869415296e-40,2,10.1680115157789,6,4
GATA3.1,8.32616139926155e-40,3,12.6422660107402,1,2
GATA3,2.22833536281023e-38,4,10.21690984473,5,1
ARG1,5.66631315181115e-38,5,9.16621993928124,7,2
CD177,3.12077925106999e-37,6,8.98542271127429,8,2
IL1R2,2.1981719400513598e-36,7,6.99123941073552,11,4
MAPK14.3,1.07613608151812e-35,8,7.14277767468637,9,1
BCL2.1,3.51235812761617e-35,9,10.4511328467082,3,6
BCL2,5.92178310585739e-35,10,7.08060970635525,10,0
CX3CR1,3.59827738416778e-34,11,4.16761153298705,14,3
MAPK14.4,4.02709615789596e-33,12,5.65786307896651,13,1
MMP8,1.49296603574111e-32,13,2.46310003604693,21,8
HLA.DRA.1,2.715827655807e-32,14,3.55358369678129,15,1
HLA.DRA,6.77045463372541e-32,15,3.39553777963178,17,2
MAPK14.2,4.15514349920276e-31,16,6.38393268999907,12,4
CCR7,5.29403736360802e-31,17,3.40698686817186,16,1
MMP9,7.27261312111413e-31,18,2.57518266716886,20,2
GATA3.2,1.04372553493138e-29,19,1.56247209227834,24,5
MAPK14,3.34233580533812e-29,20,2.41040025416354,22,2
ITGAM.2,6.55310428269107e-29,21,1.68401888061854,23,2
MMP8.1,1.4834662265566899e-27,22,1.26301731114203,26,4
MAPK14.5,1.79806191218399e-27,23,2.97843562028147,18,5
MAPK14.1,2.18011199416044e-27,24,2.88695864262114,19,5
SOCS3.1,1.3028085010254499e-26,25,1.17933708795525,27,2
ITGAM,2.43014726217042e-26,26,1.55875317004335,25,1
ITGAM.1,6.317565177916349e-25,27,0.987708335510244,28,1
MMP8.3,8.63420827911707e-25,28,0.687443799977468,29,1
LCN2,8.760035040006279e-25,29,0.47655696137628,33,4
S100A8,3.49646942592053e-23,30,10.3782377959118,4,26
FCGR1A,2.1338806056766e-22,31,0.549254035881012,32,1
OLFM4,2.2515822684863497e-22,32,0.258714299125963,38,6
C3AR1,5.848792072098309e-20,33,0.651676462505196,30,3
IL10,2.99102365012128e-19,34,0.291277330672973,36,2
FCGR1A.1,3.01010093310577e-19,35,0.259413963824268,37,2
MMP8.2,4.1599037119606796e-19,36,0.407009612870946,35,1
TLR2.1,1.2715580607551601e-17,37,0.55848349743378,31,6
FCGR1A.3,2.48804428112138e-17,38,0.145363391296269,46,8
TLR4,4.96199880653438e-17,39,0.16728148131234,41,2
HMGB1.6,4.2508440627217e-15,40,0.210177164090817,39,1
TLR2,8.39724739773662e-15,41,0.449740236203919,34,7
OLFM4.1,1.2240499898762301e-14,42,0.106798088844204,50,8
FCGR1A.2,1.59983139504783e-14,43,0.103851406603853,52,9
TLR2.2,5.2899640378267105e-14,44,0.191063780758164,40,4
SOCS3,1.07554142883053e-13,45,0.117399799297391,48,3
MYD88.1,2.4425435235100496e-11,46,0.106162695772825,51,5
ELANE,1.1380207375584e-10,47,0.0498130918830303,74,27
TLR4.1,2.79702387594546e-10,48,0.0839880604297283,58,10
TLR4.2,1.2749032633951e-9,49,0.077055899640988,63,14
PTX3,3.76459418471304e-9,50,0.0251743115066351,90,40
MYD88.3,7.52521398617216e-9,51,0.0595366284713558,68,17
TNFSF10.2,1.42604894709212e-7,52,0.0487247057718091,75,23
MYD88,3.5840104960358e-7,53,0.0683968313439705,65,12
TNFSF10,4.96845316382593e-7,54,0.0604619906631907,67,13
C5AR1.1,6.09372790303623e-7,55,0.0151622544648228,98,43
TNF,1.29173137670292e-6,56,0.0694042040007502,64,8
HIF1A.6,6.59422464149735e-6,57,0.0197881270124854,95,38
HIF1A,9.34805424978243e-6,58,0.084054205223216,57,1
HIF1A.7,9.43084993447934e-6,59,0.0260160580446503,88,29
P2RX7.4,9.51678902342942e-6,60,0.0230910372299667,92,32
HIF1A.4,1.72442508560895e-5,61,0.0334740316160829,83,22
P2RX7.1,1.73962684934289e-5,62,0.0168158680593109,97,35
MYD88.2,2.8743357532408e-5,63,0.0405761579672693,77,14
TNFSF10.1,2.96029744928398e-5,64,0.0548171202191142,71,7
HIF1A.5,2.96029744928398e-5,65,0.0512076991824427,73,8
NLRP3,3.57853170089542e-5,66,0.0420937737406193,76,10
NLRP3.1,4.42022513654882e-5,67,0.0381328913151224,80,13
IL8,7.10874036265916e-5,68,0.0390198261798781,78,10
P2RX7.3,7.85635708127157e-5,69,0.0332429739988021,84,15
HIF1A.2,9.82604736468109e-5,70,0.0827235204746992,59,11
HIF1A.3,4.3460613824737e-4,71,0.0840875087032609,56,15
ICAM1.1,8.5943904207112e-4,72,0.0282943848131561,86,14
HIF1A.1,8.6423582123722e-4,73,0.0574136008585448,69,4
HMGB1.2,0.00297597203370473,74,0.0215627206259738,94,20
BCL2.2,0.0112075743902133,75,0.0389151089583891,79,4
CCR2.1,0.0142803616107156,76,0.135348951905275,47,29
IL8.1,0.0194047070783767,77,0.00957164820760409,105,28
P2RX7.2,0.0214521011690258,78,0.0102066497124493,104,26
PLAUR,0.0228735397989406,79,0.0808095258141682,60,19
BCL2.3,0.0232237711682264,80,0.0857047461533057,54,26
CCR2,0.0239083461721143,81,0.0795077305003991,61,20
C5AR1,0.0246113147343356,82,0.152424568399982,45,37
PLAUR.4,0.0465065331441606,83,0.0669280758607645,66,17
HMGB1.5,0.047703182303807,84,0.0113087117997684,102,18
TREM1,0.059792058556815,85,0.165796896226902,42,43
HMGB1.4,0.0725877170707324,86,0.0183094638623802,96,10
TREM1.1,0.108819931806195,87,0.164644517764463,44,43
CCR2.2,0.109899228481296,88,0.0359810462311454,82,6
P2RX7,0.127769576982147,89,0.0129503616855801,101,12
PLAUR.3,0.133648790230239,90,0.0918751480411349,53,37
ICAM1.2,0.137631610367583,91,0.0331924264638577,85,6
IL1B,0.183965269894916,92,0.0855410970234466,55,37
PDCD1.1,0.195115124920984,93,0.0227539413190927,93,0
PLAUR.2,0.223048651323262,94,0.0518139600944355,72,22
PDCD1,0.234694184905288,95,0.025187021781244,89,6
CCR2.3,0.374197520802706,96,0.0111694152383571,103,7
PLAUR.1,0.378700474021719,97,0.165266317599307,43,54
CD14.1,0.401809854144671,98,0.0560569779788633,70,28
HMGB1.1,0.525888168691282,99,0.0232082237480673,91,8
HMGB1.3,0.564949563677423,100,0.0275852689585123,87,13
IL8.2,0.646806448920087,101,0.0138956535894021,100,1
CD14,0.720907276861205,102,0.0782470652786662,62,40
NOTCH1,0.797041570769658,103,0.108807503807158,49,54
ICAM1,0.797041570769658,104,0.0378102108850931,81,23
HMGB1,0.963006993964599,105,0.0144963337705888,99,6
