"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"S100A12",11.9061108685208,8.53748053669048,"Up_in_Sepsis",8040,3.22891010072842e-43,0.994047619047619,1.58216594935693e-41
"CD177.1",8.45320123805208,1.97404702669048,"Up_in_Sepsis",8031,2.37451179838659e-42,0.991815476190476,5.81755390604715e-41
"GATA3.1",2.50296887965104,4.475295645,"Down_in_Sepsis",45,2.37890325693187e-41,-0.988839285714286,3.88554198632206e-40
"GATA3",4.36075955541667,6.21757552878571,"Down_in_Sepsis",67,8.48889662022946e-40,-0.983382936507937,1.03988983597811e-38
"ARG1",8.49745246297917,3.06301794152381,"Up_in_Sepsis",7989,2.69824435800531e-39,0.98139880952381,2.6442794708452e-38
"CD177",7.31545728255729,2.54113723697619,"Up_in_Sepsis",7975,1.78330242918285e-38,0.977926587301587,1.45636365049933e-37
"IL1R2",10.9171750624323,7.25093942792857,"Up_in_Sepsis",7958,1.46544796003424e-37,0.973710317460317,1.02581357202397e-36
"MAPK14.3",8.08907824402083,5.68487273059524,"Up_in_Sepsis",7943,8.19913204966185e-37,0.969990079365079,5.02196838041788e-36
"BCL2.1",2.92080696728646,5.25232368430952,"Down_in_Sepsis",133,3.01059268081386e-36,-0.967013888888889,1.63910045955421e-35
"BCL2",3.01547781030208,5.22394172597619,"Down_in_Sepsis",139,5.63979343414989e-36,-0.965525793650794,2.76349878273345e-35
"MAPK14.4",6.27634915258333,3.96870995180952,"Up_in_Sepsis",7879,4.60239560902396e-34,0.954117063492063,2.05015804401976e-33
"MAPK14.2",6.99171318232292,4.47896202311905,"Up_in_Sepsis",7819,6.3316472368804e-32,0.939236111111111,2.58542262172616e-31
"GATA3.2",2.680386344125,3.41699893885714,"Down_in_Sepsis",292,1.88864620606631e-30,-0.927579365079365,7.1187433920961e-30
"MAPK14",9.64809162871875,8.24078033659524,"Up_in_Sepsis",7754,6.36635391492976e-30,0.923115079365079,2.22822387022541e-29
"ITGAM.2",6.97317429558854,5.44392859778571,"Up_in_Sepsis",7743,1.31062085653821e-29,0.920386904761905,4.2813614646915e-29
"MAPK14.5",9.04641510726563,7.4489840027619,"Up_in_Sepsis",7688,3.93861180764113e-28,0.906746031746032,1.2061998660901e-27
"MAPK14.1",7.04081475445833,5.37505443057143,"Up_in_Sepsis",7684,4.98311312950957e-28,0.905753968253968,1.4363090785057e-27
"SOCS3.1",6.67395354395313,3.51310012283333,"Up_in_Sepsis",7652,3.10192500244155e-27,0.89781746031746,8.44412917331312e-27
"ITGAM",8.13669269473437,6.66606657742857,"Up_in_Sepsis",7640,6.01750750632675e-27,0.89484126984127,1.55188351478953e-26
"ITGAM.1",9.804002354625,8.68873582352381,"Up_in_Sepsis",7577,1.62451676003563e-25,0.87921626984127,3.9800660620873e-25
"S100A8",12.8929399751562,11.0232013238095,"Up_in_Sepsis",8023,9.98991264548724e-24,0.989831349206349,2.33097961728036e-23
"FCGR1A",9.20232079569271,6.85590284245238,"Up_in_Sepsis",7448,6.30002845485474e-23,0.847222222222222,1.40318815585401e-22
"C3AR1",8.64945922549479,7.03721146433333,"Up_in_Sepsis",7305,1.83819179408804e-20,0.811755952380952,3.91614773523104e-20
"IL10",2.56564512698958,2.07589509790476,"Up_in_Sepsis",7259,9.68521943848794e-20,0.800347222222222,1.96659927629577e-19
"FCGR1A.1",4.97558730343229,2.88773332442857,"Up_in_Sepsis",7258,1.00336697770192e-19,0.800099206349206,1.96659927629577e-19
