Gene,Mean_Sepsis,Mean_Control,Direction,W,p_value,effect_size,adjusted_p
S100A12,11.906110868520834,8.537480536690476,Up_in_Sepsis,8040,3.2289101007284248e-43,0.9940476190476191,1.5821659493569283e-41
CD177.1,8.453201238052083,1.9740470266904762,Up_in_Sepsis,8031,2.37451179838659e-42,0.9918154761904762,5.817553906047145e-41
GATA3.1,2.502968879651042,4.475295645,Down_in_Sepsis,45,2.378903256931871e-41,-0.9888392857142857,3.885541986322056e-40
GATA3,4.360759555416666,6.217575528785714,Down_in_Sepsis,67,8.488896620229455e-40,-0.9833829365079365,1.0398898359781082e-38
ARG1,8.497452462979167,3.0630179415238095,Up_in_Sepsis,7989,2.6982443580053096e-39,0.9813988095238095,2.6442794708452034e-38
CD177,7.315457282557292,2.5411372369761906,Up_in_Sepsis,7975,1.7833024291828495e-38,0.9779265873015873,1.456363650499327e-37
IL1R2,10.917175062432293,7.2509394279285715,Up_in_Sepsis,7958,1.465447960034242e-37,0.9737103174603174,1.0258135720239694e-36
MAPK14.3,8.089078244020833,5.684872730595238,Up_in_Sepsis,7943,8.199132049661849e-37,0.9699900793650794,5.0219683804178824e-36
BCL2.1,2.9208069672864583,5.252323684309524,Down_in_Sepsis,133,3.010592680813859e-36,-0.9670138888888888,1.6391004595542124e-35
BCL2,3.0154778103020834,5.22394172597619,Down_in_Sepsis,139,5.6397934341498924e-36,-0.9655257936507936,2.7634987827334475e-35
MAPK14.4,6.276349152583333,3.9687099518095237,Up_in_Sepsis,7879,4.602395609023957e-34,0.9541170634920635,2.0501580440197623e-33
MAPK14.2,6.991713182322917,4.478962023119047,Up_in_Sepsis,7819,6.331647236880401e-32,0.9392361111111112,2.5854226217261635e-31
GATA3.2,2.680386344125,3.4169989388571427,Down_in_Sepsis,292,1.8886462060663122e-30,-0.9275793650793651,7.118743392096099e-30
MAPK14,9.64809162871875,8.240780336595238,Up_in_Sepsis,7754,6.366353914929755e-30,0.9231150793650793,2.2282238702254143e-29
ITGAM.2,6.973174295588541,5.443928597785714,Up_in_Sepsis,7743,1.3106208565382149e-29,0.9203869047619048,4.281361464691502e-29
MAPK14.5,9.046415107265625,7.448984002761905,Up_in_Sepsis,7688,3.938611807641127e-28,0.9067460317460317,1.206199866090095e-27
MAPK14.1,7.040814754458333,5.375054430571429,Up_in_Sepsis,7684,4.983113129509566e-28,0.9057539682539683,1.4363090785056983e-27
SOCS3.1,6.673953543953125,3.5131001228333334,Up_in_Sepsis,7652,3.1019250024415547e-27,0.8978174603174603,8.444129173313121e-27
ITGAM,8.136692694734375,6.6660665774285714,Up_in_Sepsis,7640,6.01750750632675e-27,0.8948412698412699,1.5518835147895304e-26
